"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",율길초등학교,경기도 가평군 상면 청군로 2090,경기도 가평군 상면 율길리 454-1,37.8379021666,127.2885708139,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",연하초등학교,경기도 가평군 상면 비룡로 2199-19,경기도 가평군 상면 연하리 452-1,37.8032619130,127.3425266628,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",목동초등학교 명지분교,경기도 가평군 북면 가화로 2680,경기도 가평군 북면 적목리 160-1,37.9710459000,127.4543583477,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",미원초등학교 위곡분교,경기도 가평군 설악면 한서로 233,경기도 가평군 설악면 위곡리 718-1,37.670627,127.5153328131,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",미원초등학교 장락분교,경기도 가평군 설악면 미사리로 588,경기도 가평군 설악면 미사리 290-3,37.7038883364,127.540163,가평군,가평경찰서,N,0,,2019-09-16
"어린이집",홍익어린이집,경기도 가평군 가평읍 석봉로153번길 16,경기도 가평군 가평읍 대곡리 285-13,37.8287027102,127.509530,가평군,가평경찰서,N,0,,2019-09-16
"어린이집",가평어린이집,경기도 가평군 가평읍 가화로 163,경기도 가평군 가평읍 읍내리 625-2,37.833753,127.5110176109,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,경기도 가평군 가평읍 상색리 171-2,37.8054031635,127.4849864799,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",대성초등학교,경기도 가평군 청평면 경춘로 75,경기도 가평군 청평면 대성리 399-16,37.6831243971,127.377674,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",상천초등학교,경기도 가평군 청평면 상천역로19번길 38,경기도 가평군 청평면 상천리 1299-4,37.7701146752,127.4560861152,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",가평초등학교,경기도 가평군 가평읍 향교로 23,경기도 가평군 가평읍 읍내리 553,37.8313791414,127.507266,가평군,가평경찰서,Y,2,,2019-09-16
"초등학교",가평마장초등학교,경기도 가평군 가평읍 각담말길 15,경기도 가평군 가평읍 마장리 357,37.8599734991,127.5142938264,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",청평초등학교,경기도 가평군 청평면 잠곡로 27,경기도 가평군 청평면 청평리 395,37.737828,127.421893,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",상면초등학교,경기도 가평군 상면 청군로 700-22,경기도 가평군 상면 임초리 445-3,37.7760888680,127.371188,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",목동초등학교,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45,37.8793460548,127.5481190862,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",방일초등학교,경기도 가평군 설악면 양방가루재길 76,경기도 가평군 설악면 방일리 50,37.629278,127.4994458421,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,경기도 가평군 조종면 현리 276,37.8215144691,127.3489304709,가평군,가평경찰서,Y,1,,2019-09-16
"초등학교",미원초등학교,경기도 가평군 설악면 신천중앙로120번길 11,경기도 가평군 설악면 신천리 486,37.6795259621,127.4907362172,가평군,가평경찰서,Y,1,,2019-09-16
"어린이집",통큰 에듀파크 어린이집,경기도 가평군 청평면 구청평로 58,경기도 가평군 청평면 청평리 626-10,37.732518,127.413742,가평군,가평경찰서,N,0,,2019-09-16
