"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",무원초교,경기도 고양시 덕양구 무원로 47 (행신동),경기도 고양시 덕양구 행신동 696,37.6176968,126.8316617,경기도 고양시청,고양경찰서,Y,1,15~28,2019-12-23
"초등학교",한뫼초교,경기도 고양시 일산서구 고양대로 629 (일산동),경기도 고양시 일산서구 일산동 960-9,37.68657978,126.7667071,경기도 고양시청,일산서부경찰서,Y,2,9~25,2019-12-23
"유치원",숲속유치원,경기도 고양시 덕양구 흥도로 240(도내동),경기도 고양시 덕양구 도내동 839-8,37.628175,126.8578745,경기도 고양시청,고양경찰서,N,0,10,2019-12-23
"유치원",성실유치원,경기도 고양시 덕양구 동헌로 387(고양동),경기도 고양시 덕양구 고양동 407-15,37.7071736,126.8951107,경기도 고양시청,고양경찰서,N,0,7,2019-12-23
"유치원",오늘유치원,경기도 고양시 일산서구 성저로 62 (대화동),경기도 고양시 일산서구 대화동 2068,37.684628,126.7540385,경기도 고양시청,일산서부경찰서,N,0,13~15,2019-12-23
"유치원",에꼴데쁘띠유치원,경기도 고양시 일산동구 위시티2로 11번길 22-30(식사동),경기도 고양시 일산동구 식사동 1540,37.6768287,126.8139442,경기도 고양시청,일산동부경찰서,Y,1,6,2019-12-23
"유치원",성모,경기도 고양시 일산서구 원일로 57 (일산동),경기도 고양시 일산서구 일산동 600-47,37.68773414,126.7691025,경기도 고양시청,일산서부경찰서,N,0,9~25,2019-12-23
"초등학교",한산초교,경기도 고양시 일산서구 하이파크1로 56 (덕이동),경기도 고양시 일산서구 덕이동 379-28,37.69594778,126.7532619,경기도 고양시청,일산서부경찰서,Y,2,15~25,2019-12-23
"초등학교",신원초교,경기도 고양시 덕양구 신원3로 21 (신원동),경기도 고양시 덕양구 신원동 601,37.66780594,126.8858855,경기도 고양시청,고양경찰서,Y,2,15~52.5,2019-12-23
"초등학교",지도초교,경기도 고양시 덕양구 성신로 49 (화정동),경기도 고양시 덕양구 화정동 1132,37.628255,126.8337585,경기도 고양시청,고양경찰서,Y,4,20,2019-12-23
"유치원",미래,경기도 고양시 덕양구 호국로 819 (주교동),경기도 고양시 덕양구 주교동 621-4,37.6588205,126.838314,경기도 고양시청,고양경찰서,Y,1,16,2019-12-23
"초등학교",행주초교,경기도 고양시 덕양구 행주로17번길 70 (행주내동),경기도 고양시 덕양구 행주내동 175,37.60331776,126.8247318,경기도 고양시청,고양경찰서,Y,1,4~7,2019-12-23
"어린이집",준성자연어린이집,경기도 고양시 덕양구 통일로 799번길 7(관산동),경기도 고양시 덕양구 관산동 238-15,37.68840548,126.861833,경기도 고양시청,고양경찰서,N,0,6~8,2019-12-23
"초등학교",모당초교,경기도 고양시 일산동구 하늘마을로 144 (중산동),경기도 고양시 일산동구 중산동 1684,37.67952149,126.7807725,경기도 고양시청,일산동부경찰서,Y,2,20~25,2019-12-23
"초등학교",백석초교,경기도 고양시 일산동구 강촌로 140 (백석동),경기도 고양시 일산동구 백석동 1188,37.65213962,126.7890573,경기도 고양시청,일산동부경찰서,Y,3,25~35,2019-12-23
"어린이집",화전,경기도 고양시 덕양구 화랑로 1-1 (화전동),경기도 고양시 덕양구 화전동 226-6,37.599429,126.872732,경기도 고양시청,고양경찰서,N,0,10,2019-12-23
"유치원",늘푸른무지개,경기도 고양시 덕양구 지도로104번길 39 (토당동),경기도 고양시 덕양구 토당동 897-4,37.626853,126.826025,경기도 고양시청,고양경찰서,Y,1,8,2019-12-23
"초등학교",도래울초교,경기도 고양시 덕양구 도래울3로5(도내동),경기도 고양시 덕양구 도내동 1012,37.63174002,126.8705787,경기도 고양시청,고양경찰서,Y,2,22~30,2019-12-23
"초등학교",행신초교,경기도 고양시 덕양구 중앙로 527 (행신동),경기도 고양시 덕양구 행신동 983-1,37.62194539,126.8364549,경기도 고양시청,고양경찰서,Y,2,15~42,2019-12-23
"학원",마두동학원가,경기도 고양시 일산동구 일산로 218 (마두동),,37.65581694,126.789778,경기도 고양시청,일산동부경찰서,Y,4,35,2019-12-23
