"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",경안초등학교,경기도 광주시 경안로 163,경기도 광주시 경안동 152-101,37.4115157038,127.2477630283,경기도 광주시청,광주경찰서,Y,15,12,2019-09-25
"유치원",경안초등학교 병설유치원,경기도 광주시 경안로 163,경기도 광주시 경안동 152-101,37.4115157038,127.2477630283,경기도 광주시청,광주경찰서,Y,15,12,2019-09-25
"어린이집",이화어린이집,경기도 광주시 경안로88번길 9-5,경기도 광주시 경안동 189-43,37.4073425,127.2510565,경기도 광주시청,광주경찰서,Y,8,9,2019-09-25
"유치원",성모유치원,경기도 광주시 경안안길 44,경기도 광주시 경안동 84-1,37.4119347834,127.2540809534,경기도 광주시청,광주경찰서,Y,5,8,2019-09-25
"유치원",한솔유치원,경기도 광주시 경안안길40번길 19-13,경기도 광주시 경안동 161-25,37.4109613,127.2526002,경기도 광주시청,광주경찰서,Y,3,7,2019-09-25
"초등학교",쌍령초등학교,경기도 광주시 경충대로 1422번길 71,경기도 광주시 쌍령동 353-95,37.3989242437,127.2810832334,경기도 광주시청,광주경찰서,Y,8,10,2019-09-25
"유치원",쌍령초등학교 병설유치원,경기도 광주시 경충대로 1422번길 71,경기도 광주시 쌍령동 353-95,37.3989242437,127.2810832334,경기도 광주시청,광주경찰서,Y,8,10,2019-09-25
"초등학교",광남초등학교,경기도 광주시 고불로46번길 15,경기도 광주시 중대동 16-66,37.394032,127.2304632763,경기도 광주시청,광주경찰서,Y,11,4,2019-09-25
"유치원",광남초등학교 병설유치원,경기도 광주시 고불로46번길 15,경기도 광주시 중대동 16-66,37.394032,127.2304632763,경기도 광주시청,광주경찰서,Y,11,4,2019-09-25
"초등학교",곤지암초등학교,경기도 광주시 곤지암읍 곤지암로 70-13,경기도 광주시 곤지암읍 곤지암리 453-2,37.3496692050,127.3381347393,경기도 광주시청,광주경찰서,Y,7,14,2019-09-25
"유치원",곤지암초등학교 병설유치원,경기도 광주시 곤지암읍 곤지암로 70-13,경기도 광주시 곤지암읍 곤지암리 453-2,37.3496692050,127.3381347393,경기도 광주시청,광주경찰서,Y,7,14,2019-09-25
"초등학교",만선초등학교,경기도 광주시 곤지암읍 상탑길 9,경기도 광주시 곤지암읍 만선리 8-4,37.3664025173,127.4111175052,경기도 광주시청,광주경찰서,Y,5,8,2019-09-25
"유치원",만선초등학교 병설유치원,경기도 광주시 곤지암읍 상탑길 9,경기도 광주시 곤지암읍 만선리 8-4,37.3664025173,127.4111175052,경기도 광주시청,광주경찰서,Y,5,8,2019-09-25
