"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",구리초등학교(병설),경기도 구리시 경춘로276번길 51,경기도 구리시 수택동 553번지,37.6012147,127.1476936,경기도 구리시청,구리경찰서,Y,3,6,2019-12-24
"초등학교",수택초등학교(병설),경기도 구리시 검배로136번길 41,경기도 구리시 토평동 1007번지,37.5919572022,127.1525370246,경기도 구리시청,구리경찰서,Y,3,6,2019-12-24
"초등학교",토평초등학교(병설),경기도 구리시 벌말로129번길 17-1,경기도 구리시 토평동 611-3,37.5878240374,127.1463549,경기도 구리시청,구리경찰서,Y,1,6,2019-12-24
"초등학교",장자초등학교(병설),경기도 구리시 장자대로 40,경기도 구리시 교문동 824,37.5868389842,127.1352807910,경기도 구리시청,구리경찰서,Y,1,7,2019-12-24
"초등학교",도림초등학교(병설),경기도 구리시 아차산로 431,경기도 구리시 교문동 396-1,37.5932852446,127.1299162,경기도 구리시청,구리경찰서,Y,2,22,2019-12-24
"초등학교",교문초등학교(병설),경기도 구리시 안골로19번길 16,경기도 구리시 교문동 732,37.598212,127.1335892194,경기도 구리시청,구리경찰서,Y,1,6,2019-12-24
"초등학교",동구초등학교(병설),경기도 구리시 건원대로76번길 45,경기도 구리시 인창동 664-3,37.6091179,127.1415864781,경기도 구리시청,구리경찰서,Y,1,6,2019-12-24
"초등학교",구지초등학교(병설),경기도 구리시 건원대로76번길 40,경기도 구리시 인창동 666-3,37.6072328,127.1422203,경기도 구리시청,구리경찰서,Y,1,6,2019-12-24
"초등학교",부양초등학교(병설),경기도 구리시 장자대로 89-2,경기도 구리시 수택동 854-1,37.5904426874,127.1416506282,경기도 구리시청,구리경찰서,Y,1,6,2019-12-24
"초등학교",건원초등학교(병설),경기도 구리시 동구릉로80번길 15,경기도 구리시 인창동 514,37.6072947106,127.1355986943,경기도 구리시청,구리경찰서,Y,2,4,2019-12-24
"초등학교",갈매초등학교(병설),경기도 구리시 경춘북로182번길 65,경기도 구리시 갈매동 336,37.62842749,127.116007,경기도 구리시청,구리경찰서,Y,2,30,2019-12-24
"초등학교",산마루초등학교(병설),경기도 구리시 갈매순환로 133,경기도 구리시 갈매동 산74,37.6318036723,127.1203627967,경기도 구리시청,구리경찰서,Y,3,24,2019-12-24
"유치원",자닮유치원,경기도 구리시 동구릉로53번길 144,경기도 구리시 인창동 651-40,37.6101221775,127.1306381,경기도 구리시청,구리경찰서,N,0,6,2019-12-24
"초등학교",백문초등학교(병설),경기도 구리시 장자대로13번길 12,경기도 구리시 교문동 808-1,37.5886005762,127.1327658895,경기도 구리시청,구리경찰서,Y,2,6,2019-12-24
"초등학교",동인초등학교(병설),경기도 구리시 동구릉로103번길 37,경기도 구리시 인창동 465-48,37.6109294657,127.1338629,경기도 구리시청,구리경찰서,Y,2,5,2019-12-24
"초등학교",인창초등학교,경기도 구리시 동구릉로 37-13,경기도 구리시 인창동 546-9,37.60501786,127.1316626,경기도 구리시청,구리경찰서,Y,3,14,2019-12-24
"초등학교",내양초등학교(병설),경기도 구리시 동구릉로 485,경기도 구리시 사노동 393-2,37.6405944444,127.139398,경기도 구리시청,구리경찰서,Y,2,23,2019-12-24
"유치원",두레자연유치원,경기도 구리시 한다리길4번길 92,경기도 구리시 교문동 702,37.5838409514,127.125011,경기도 구리시청,구리경찰서,N,0,8,2019-12-24
"학원",세일학원일원,경기도 구리시 체육관로74번길,경기도 구리시 수택동 849-9,37.5913818230,127.1398860566,경기도 구리시청,구리경찰서,Y,3,8,2019-12-24
