"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원","한마음,그림유치원",경기도 군포시 고산로539번길 11,경기도 군포시 산본동 1148번지,37.3624385,126.9222011395,경기도 군포시,군포경찰서,Y,1,15.5,2019-09-18
"유치원",산본유치원,경기도 군포시 고산로 646-20,경기도 군포시 산본동 1092번지,37.36771025,126.9321662,경기도 군포시,군포경찰서,Y,1,15.5,2019-09-18
"유치원",에덴유치원,경기도 군포시 금산로106번길 6,경기도 군포시 산본동 213-1번지,37.37129892,126.9368369,경기도 군포시,군포경찰서,Y,1,5.5,2019-09-18
"유치원",우성유치원,경기도 군포시 고산로677번길 24-22,경기도 군포시 산본동 1059번지,37.37336206,126.9331817,경기도 군포시,군포경찰서,Y,1,16,2019-09-18
"유치원",청운유치원,경기도 군포시 산본천로 119-13,경기도 군포시 산본동 1052-1번지,37.36557544,126.9334961,경기도 군포시,군포경찰서,Y,1,13.5,2019-09-18
"유치원",소아유치원,경기도 군포시 한세로4번길 21,경기도 군포시 당정동 1003-3번지,37.34446212,126.9507587,경기도 군포시,군포경찰서,Y,1,10,2019-09-18
"유치원",군포유치원,경기도 군포시 당산로 13,경기도 군포시 당동 774-8번지,37.3527983,126.9441111,경기도 군포시,군포경찰서,Y,1,10,2019-09-18
"어린이집",산본어린이집,경기도 군포시 산본로369번길 26,경기도 군포시 산본동 1120-7번지,37.36197383,126.9283054,경기도 군포시,군포경찰서,Y,1,8,2019-09-18
"어린이집",다올어린이집,경기도 군포시 군포로499번길 15,경기도 군포시 당동 771번지,37.3513720,126.9434494,경기도 군포시,군포경찰서,Y,1,8,2019-09-18
"어린이집",군포근로복지공단어린이집,경기도 군포시 당산로 190,경기도 군포시 금정동 702-11번지,37.36739806,126.9414596,경기도 군포시,군포경찰서,Y,1,10,2019-09-18
"어린이집",군포시립군포1동어린이집,경기도 군포시 당산로7번길 7,경기도 군포시 당동 773번지,37.35229259,126.9436435,경기도 군포시,군포경찰서,Y,2,8,2019-09-18
"어린이집",나무오리어린이집,경기도 군포시 고산로 240-3,경기도 군포시 당동 922-26번지,37.34618269,126.9456963,경기도 군포시,군포경찰서,Y,1,5,2019-09-18
"어린이집",숲속반디어린이집,경기도 군포시 금당로69번길 19,경기도 군포시 당동 947-4번지,37.3532687,126.9395840,경기도 군포시,군포경찰서,Y,1,6.5,2019-09-18
"어린이집",신나는피노키오어린이집,경기도 군포시 고산로228번안길 8,경기도 군포시 당동 913-11번지,37.34727496,126.9462154,경기도 군포시,군포경찰서,Y,1,6,2019-09-18
"유치원",푸른꿈유치원,경기도 군포시 오금로 71,경기도 군포시 금정동 872-6번지,37.3552533,126.9352249,경기도 군포시,군포경찰서,Y,1,18,2019-09-18
"어린이집",동심어린이집,경기도 군포시 번영로 567,경기도 군포시 금정동 720-2번지,37.3613795,126.9386119,경기도 군포시,군포경찰서,Y,1,11,2019-09-18
"초등학교",군포초교,경기도 군포시 군포로 463,경기도 군포시 당동 795-4번지,37.34828593,126.9423672,경기도 군포시,군포경찰서,Y,8,5,2019-09-18
"초등학교",금정초교,경기도 군포시 금정로 40,경기도 군포시 금정동 703번지,37.3667331,126.9411737,경기도 군포시,군포경찰서,Y,2,10,2019-09-18
"초등학교",군포양정초교,경기도 군포시 오금로 131,경기도 군포시 금정동 850-1번지,37.3595138,126.9406667,경기도 군포시,군포경찰서,Y,5,16,2019-09-18
"어린이집",대야행복한어린이집,경기도 군포시 대야2로7번길 3,경기도 군포시 대야미동 652-6번지,37.32863943,126.9199843,경기도 군포시,군포경찰서,Y,1,7.5,2019-09-18
"초등학교",흥진초교,경기도 군포시 오금로 15-40,경기도 군포시 금정동 875-5번지,37.3538894,126.9283690,경기도 군포시,군포경찰서,Y,2,7,2019-09-18
"초등학교",둔전초교,경기도 군포시 고산로 542,경기도 군포시 산본동 1146-18번지,37.3613906,126.9243848,경기도 군포시,군포경찰서,Y,3,22,2019-09-18
"초등학교",능내초교,경기도 군포시 수리산로 37,경기도 군포시 산본동 1152-5번지,37.35487098,126.9214376,경기도 군포시,군포경찰서,Y,5,8.5,2019-09-18
"초등학교",궁내초교,경기도 군포시 수리산로 187,경기도 군포시 산본동 1149-3번지,37.3645669,126.9201675,경기도 군포시,군포경찰서,Y,3,8.5,2019-09-18
"초등학교",둔대초교,경기도 군포시 호수로 305-14,경기도 군포시 둔대동 219번지,37.3271896,126.9110673,경기도 군포시,군포경찰서,Y,2,13.5,2019-09-18
"초등학교",광정초교,경기도 군포시 산본로386번길 5-20,경기도 군포시 산본동 1092-2번지,37.36595937,126.9305923,경기도 군포시,군포경찰서,Y,5,8.5,2019-09-18
"초등학교",신흥초교,경기도 군포시 고산로 470,경기도 군포시 산본동 1145-12번지,37.35645849,126.9265778,경기도 군포시,군포경찰서,Y,2,22.5,2019-09-18
"초등학교",수리초교,경기도 군포시 수리산로 125,경기도 군포시 산본동 1150-1번지,37.36039221,126.9180809,경기도 군포시,군포경찰서,Y,4,8.5,2019-09-18
"초등학교",태을초교,경기도 군포시 산본로 451-49,경기도 군포시 산본동 1089번지,37.37203321,126.9263326,경기도 군포시,군포경찰서,Y,9,16,2019-09-18
"초등학교",군포옥천초교,경기도 군포시 용호2로54번길 12,경기도 군포시 당동 884번지,37.34382021,126.9453654,경기도 군포시,군포경찰서,Y,2,8,2019-09-18
"초등학교",용호초교,경기도 군포시 용호2로 12,경기도 군포시 당동 876번지,37.34225378,126.9407752,경기도 군포시,군포경찰서,Y,3,13,2019-09-18
"초등학교",오금초교,경기도 군포시 번영로 366,경기도 군포시 산본동 1156-22번지,37.3479419,126.9260337,경기도 군포시,군포경찰서,Y,4,8,2019-09-18
"초등학교",당동초교,경기도 군포시 용호1로 34,경기도 군포시 당동 967번지,37.34602293,126.9395341,경기도 군포시,군포경찰서,Y,4,17,2019-09-18
"초등학교",당정초교,경기도 군포시 고산로151번길 26-24,경기도 군포시 당정동 972-1번지,37.34633279,126.9547141,경기도 군포시,군포경찰서,Y,5,8,2019-09-18
"초등학교",군포대야초교,경기도 군포시 대야2로 148,경기도 군포시 대야미동 220-4번지,37.3289923,126.9150545,경기도 군포시,군포경찰서,Y,3,8,2019-09-18
"초등학교",한얼초교,경기도 군포시 산본천로 136,경기도 군포시 산본동 212-5번지,37.36595343,126.935717,경기도 군포시,군포경찰서,Y,2,27.5,2019-09-18
"초등학교",군포신기초등학교,경기도 군포시 삼성로28번길 3,경기도 군포시 부곡동 1208번지,37.3383545,126.9324601,경기도 군포시,군포경찰서,Y,4,14.2,2019-09-18
"유치원",리라유치원,경기도 군포시 당산로156번길 19,경기도 군포시 금정동 904-1번지,37.36548198,126.9441614,경기도 군포시,군포경찰서,Y,1,8,2019-09-18
"유치원",홍하유치원,경기도 군포시 번영로550번길 15,경기도 군포시 금정동 850번지,37.35911434,126.9385448,경기도 군포시,군포경찰서,Y,1,8.5,2019-09-18
"유치원",숲속해아뜰유치원,경기도 군포시 번영로 12,경기도 군포시 부곡동 1110-1번지,37.3234127269,126.9401263157,경기도 군포시,군포경찰서,Y,4,16.5,2019-09-18
"어린이집",군포시립당정동어린이집,경기도 군포시 이당로 158,경기도 군포시 당정동 564-5번지,37.3492411,126.9577525,경기도 군포시,군포경찰서,Y,1,17,2019-09-18
"초등학교",산본초교,경기도 군포시 산본로386번길 60,경기도 군포시 산본동 209번지,37.3686998,126.9346150,경기도 군포시,군포경찰서,Y,3,7,2019-09-18
"초등학교",군포화산초교,경기도 군포시 오금로 48,경기도 군포시 금정동 871-5번지,37.35329693,126.934532,경기도 군포시,군포경찰서,Y,2,15,2019-09-18
"초등학교",도장초교,경기도 군포시 번영로 371,경기도 군포시 산본동 1155-5번지,37.3485461,126.9236111,경기도 군포시,군포경찰서,Y,3,10,2019-09-18
"초등학교",곡란초교,경기도 군포시 고산로677번길 24-42,경기도 군포시 산본동 1058번지,37.37425424,126.9338315,경기도 군포시,군포경찰서,Y,4,10,2019-09-18
"초등학교",관모초교,경기도 군포시 곡란로8번길 35-22,경기도 군포시 산본동 1054번지,37.3761587,126.9380702,경기도 군포시,군포경찰서,Y,5,5.5,2019-09-18
"초등학교",부곡중앙초교,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1113번지,37.3231429243,126.941137433,경기도 군포시,군포경찰서,Y,3,10,2019-09-18
"유치원",파란마음하얀마음유치원,경기도 군포시 수리산로 35,경기도 군포시 산본동 1152-7번지,37.3556152651,126.9211614,경기도 군포시,군포경찰서,Y,1,14,2019-09-18
"어린이집",아사랑어린이집,경기도 군포시 군포로601번길 6,경기도 군포시 당동 835-12번지,37.35979992,126.9476964,경기도 군포시,군포경찰서,Y,1,4,2019-09-18
"초등학교",송안초교,경기도 군포시 송부로 73번길 7,경기도 군포시 도마교동 458-2,37.3176304,126.9210199,경기도 군포시,군포경찰서,Y,10,18,2019-09-18
"유치원",천사몬테소리유치원,경기도 군포시 수리산로 216,경기도 군포시 궁내동 1119-1,37.36586652,126.9230194430,경기도 군포시,군포경찰서,Y,8,9,2019-09-18
