"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",운유초,경기도 김포시 김포한강2로 239 (장기동),,37.64674397,126.6603869519,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",푸른솔초,경기도 김포시 김포한강2로 306 (장기동),,37.65159276,126.665717,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",청수초,경기도 김포시 김포한강11로 256 (운양동),,37.65389212,126.678697,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",마산서초(가칭),경기도 김포시 김포한강9로12번길 7-30,,37.63947947,126.6276484,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",가현초,경기도 김포시 김포한강2로 83 (장기동),,37.63808092,126.6740029,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",하늘빛초,경기도 김포시 김포한강11로 374 (운양동),,37.65406215,126.6898222636,경기도 김포시청,김포경찰서,Y,2,15,2019-11-08
"특수학교",새솔학교,경기도 김포시 김포한강3로 315 (장기동),,37.64056921,126.6558072,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",금란초병설유치원,경기도 김포시 고촌읍 장곡로 42,,37.60765658,126.7511373,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",마송초병설유치원,경기도 김포시 통진읍 흥신로 315,,37.6844415313,126.6063017832,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"초등학교",은여울초(도곡초),경기도 김포시 김포한강8로 173-48,,37.63792749,126.6390591673,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",수남초병설유치원,경기도 김포시 대곶면 수남로21번길 24,,37.62889841,126.5883851,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"유치원",옹정초병설유치원,경기도 김포시 통진읍 옹정로185번길 26,,37.6940911779,126.5638952,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"유치원",개곡초병설유치원,경기도 김포시 월곶면 애기봉로 445,,37.73204354,126.5936346,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"유치원",하성초병설유치원,경기도 김포시 하성면 애기봉로 857,,37.72067128,126.6325732,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"유치원",금성초병설유치원,경기도 김포시 하성면 하성로795번길 26,,37.74486147,126.6324577,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"유치원",서암초병설유치원,경기도 김포시 통진읍 서암로184번길 9,,37.6999976,126.605205,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"초등학교",감정1초,경기도 김포시 태장로 821 (장기동),,37.6354153200,126.6793542391,경기도 김포시청,김포경찰서,Y,1,16,2019-11-08
"유치원",양곡초병설유치원,경기도 김포시 양촌읍 양곡로 548,,37.6558419320,126.6220146170,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"유치원",대곶초병설유치원,경기도 김포시 대곶면 율생중앙로36번길 19,,37.65206256,126.5848110297,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"유치원",월곶초병설유치원,경기도 김포시 월곶면 군하로276번길 28,,37.71771201,126.5521777,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",신풍초병설유치원,경기도 김포시 풍무로208번길 14 (풍무동),,37.6130276316,126.7265847408,경기도 김포시청,김포경찰서,Y,1,5,2019-11-08
"유치원",대명초병설유치원,경기도 김포시 대곶면 대곶로20번길 17,,37.64842523,126.5535793,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",석정초병설유치원,경기도 김포시 대곶면 대곶로331번길 10,,37.67365061,126.5541217,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",학운초병설유치원,경기도 김포시 양촌읍 황금로70번길 13,,37.6202983387,126.624863,경기도 김포시청,김포경찰서,Y,2,8,2019-11-08
"유치원",신안유치원,경기도 김포시 감정로38번길 29 (감정동),,37.61923435,126.699348,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"유치원",예원유치원,경기도 김포시 풍년로 22 (사우동),,37.62297814,126.7245553,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"유치원",리라유치원,경기도 김포시 통진읍 김포대로2344번길 109-1,,37.69712567,126.592491,경기도 김포시청,김포경찰서,N,0,3,2019-11-08
"유치원",예일유치원,경기도 김포시 고촌읍 태리로190번길 40,,37.59582248,126.7524877348,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",풍무초병설유치원,경기도 김포시 풍무로96번길 71 (풍무동),,37.6050882033,126.7266294,경기도 김포시청,김포경찰서,Y,2,9,2019-11-08
"유치원",금파초병설유치원,경기도 김포시 김포대로926번길 74 (북변동),,37.6242415925,126.7167791756,경기도 김포시청,김포경찰서,Y,1,12,2019-11-08
"유치원",감정초병설유치원,경기도 김포시 중봉로 11 (감정동),,37.62347161,126.6953321078,경기도 김포시청,김포경찰서,Y,1,21,2019-11-08
"유치원",운양초병설유치원,경기도 김포시 전원로38번길 99 (운양동),,37.6462123934,126.6900825,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",유현초병설유치원,경기도 김포시 유현로33번길 50 (풍무동),,37.5989930176,126.7262239168,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"유치원",양도초병설유치원,경기도 김포시 풍무로93번길 31 (풍무동),,37.6029113993,126.7204503,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"유치원",통진초병설유치원,경기도 김포시 통진읍 조강로 116,,37.6938866918,126.5944192260,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",고촌초병설유치원,경기도 김포시 고촌읍 신곡로29번길 30,,37.60614156,126.7733717,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"유치원",고창초병설유치원,경기도 김포시 김포한강1로98번길 35 (장기동),,37.64594838,126.6725487,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",김포서초병설유치원,경기도 김포시 봉화로 188 (북변동),,37.62902748,126.7017265,경기도 김포시청,김포경찰서,Y,1,12,2019-11-08
"유치원",장기초병설유치원,경기도 김포시 김포한강2로 173 (장기동),,37.6424329,126.6644191,경기도 김포시청,김포경찰서,Y,1,17,2019-11-08
"유치원",신곡초병설유치원,경기도 김포시 고촌읍 수기로 67-30,,37.5967116534,126.7664399510,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",꿈나무유치원,경기도 김포시 봉화로 157-22 (북변동),,37.62627671,126.7031223,경기도 김포시청,김포경찰서,Y,1,5,2019-11-08
"유치원",자연아이유치원,경기도 김포시 통진읍 마송로 65-38,,37.68275899,126.6004146,경기도 김포시청,김포경찰서,N,0,3,2019-11-08
"유치원",김포은솔유치원,경기도 김포시 김포한강8로 299,,37.64462635,126.6356102,경기도 김포시청,김포경찰서,Y,1,16,2019-11-08
"어린이집",대곶어린이집,경기도 김포시 대곶면 율생중앙로 15,,37.64964581,126.5829049,경기도 김포시청,김포경찰서,Y,2,6,2019-11-08
"어린이집",고촌어린이집,경기도 김포시 고촌읍 상미로55번길 12,,37.62082069,126.7469074,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"어린이집",무지개어린이집,경기도 김포시 통진읍 서암로 348,,37.71134879,126.6150407,경기도 김포시청,김포경찰서,N,0,3,2019-11-08
"유치원",다사랑유치원,경기도 김포시 옹주물로 220,,37.6218874,126.6899338,경기도 김포시청,김포경찰서,Y,1,3,2019-11-08
"어린이집",하나로어린이집,경기도 김포시 감정로 3-1 (감정동),,37.62282236,126.7011659,경기도 김포시청,김포경찰서,N,0,4,2019-11-08
"유치원",사과나무유치원,경기도 김포시 김포대로1216번길 39-28(운양동),,37.64144989,126.6900779,경기도 김포시청,김포경찰서,Y,1,11,2019-11-08
"초등학교",개곡초교,경기도 김포시 월곶면 애기봉로 445,,37.73204354,126.5936346,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"초등학교",하성초교,경기도 김포시 하성면 애기봉로 857,,37.72067128,126.6325732,경기도 김포시청,김포경찰서,Y,1,9,2019-11-08
"초등학교",풍무초교,경기도 김포시 풍무로96번길 71 (풍무동),,37.6050882033,126.7266294,경기도 김포시청,김포경찰서,Y,2,9,2019-11-08
"초등학교",감정초교,경기도 김포시 중봉로 11 (감정동),,37.62347161,126.6953321078,경기도 김포시청,김포경찰서,Y,1,21,2019-11-08
"초등학교",운양초교,경기도 김포시 전원로38번길 99 (운양동),,37.6462123934,126.6900825,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"초등학교",신풍초교,경기도 김포시 풍무로208번길 14 (풍무동),,37.6130276316,126.7265847408,경기도 김포시청,김포경찰서,Y,1,5,2019-11-08
"초등학교",신양초교,경기도 김포시 양촌읍 양곡3로 47,,37.6557027719,126.6338864,경기도 김포시청,김포경찰서,Y,1,11,2019-11-08
"유치원",중앙유치원,경기도 김포시 승가로 14 (풍무동),,37.60680049,126.7208108,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",조은유치원,경기도 김포시 북변중로23번길 38 (북변동),,37.62333567,126.7101854,경기도 김포시청,김포경찰서,Y,2,6,2019-11-08
"유치원",영재유치원,경기도 김포시 풍무로 194 (풍무동),,37.61238078,126.7253414073,경기도 김포시청,김포경찰서,Y,1,18,2019-11-08
"유치원",다솜유치원,경기도 김포시 풍무로 36 (풍무동),,37.59854081,126.721054,경기도 김포시청,김포경찰서,N,0,6,2019-11-08
"유치원",화인유치원,경기도 김포시 전원로 27 (장기동),,37.64684805,126.6828897,경기도 김포시청,김포경찰서,Y,2,9,2019-11-08
"유치원",예그랑유치원,경기도 김포시 유현로 19 (풍무동),,37.59754327,126.7246268,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"유치원",이화몬테소리유치원,경기도 김포시 양도로 18 (풍무동),,37.60581319,126.7245001767,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"유치원",예은유치원,경기도 김포시 김포한강2로 130 (장기동),,37.6405926446,126.6696634,경기도 김포시청,김포경찰서,N,0,11,2019-11-08
"유치원",진명유치원,경기도 김포시 금파로 159 (사우동),,37.62601916,126.7258175,경기도 김포시청,김포경찰서,Y,1,3,2019-11-08
"유치원",참조은유치원,경기도 김포시 돌문로86번길 12-17 (사우동),,37.62157249,126.7153983114,경기도 김포시청,김포경찰서,Y,3,7,2019-11-08
"유치원",하늘빛유치원,경기도 김포시 풍무로69번길 47 (풍무동),,37.60244569,126.7188808,경기도 김포시청,김포경찰서,Y,2,6,2019-11-08
"유치원",예진유치원,경기도 김포시 걸포로 24 (걸포동),,37.63387458,126.7082729169,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",통진푸른유치원,경기도 김포시 통진읍 조강로56번길 116-19,,37.6948908806,126.6046500874,경기도 김포시청,김포경찰서,Y,1,4,2019-11-08
"유치원",누리유치원,경기도 김포시 고촌읍 신곡로 114-16,,37.60798987,126.7674294,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"유치원",효성유치원,경기도 김포시 고촌읍 장곡로 2-25,,37.6064010383,126.7549637,경기도 김포시청,김포경찰서,Y,2,10,2019-11-08
"유치원",프라임유치원,경기도 김포시 양촌읍 양곡2로 5-14,,37.65184576,126.6264918,경기도 김포시청,김포경찰서,Y,1,4,2019-11-08
"유치원",모담유치원,경기도 김포시 모담공원로28번길 36,,37.6507369,126.6841922,경기도 김포시청,김포경찰서,Y,2,4,2019-11-08
"초등학교",대명초교,경기도 김포시 대곶면 대곶로20번길 17,,37.64842523,126.5535793,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
"초등학교",나비초,경기도 김포시 김포한강10로134번길 70 (구래동),,37.6402676922,126.6259956337,경기도 김포시청,김포경찰서,Y,1,15,2019-11-08
"유치원",가현도담유치원,경기도 김포시 김포한강8로194번길 20-8,,37.63886117,126.6451083,경기도 김포시청,김포경찰서,Y,1,4,2019-11-08
"유치원",샘재유치원,경기도 김포시 모담공원로167번길 90,,37.6478865566,126.6991655,경기도 김포시청,김포경찰서,N,0,4,2019-11-08
"유치원",프라임운양유치원,경기도 김포시 김포한강11로438번길 96,,37.65098683,126.6977977,경기도 김포시청,김포경찰서,Y,1,8,2019-11-08
"유치원",에릭한유치원,경기도 김포시 김포한강2로 266,,37.64809487,126.6631506,경기도 김포시청,김포경찰서,N,0,4,2019-11-08
"어린이집",김포어린이집,경기도 김포시 북변1로16번길 17 (북변동),,37.62766916,126.7043896,경기도 김포시청,김포경찰서,Y,3,8,2019-11-08
"어린이집",경희어린이집,경기도 김포시 김포대로 1037-19 (북변동),,37.63079911,126.7055249,경기도 김포시청,김포경찰서,Y,1,4,2019-11-08
"어린이집",벧엘어린이집,경기도 김포시 하성면 석평로165번길 9,,37.72570327,126.6501765,경기도 김포시청,김포경찰서,N,0,3,2019-11-08
"어린이집",전원어린이집,경기도 김포시 대곶면 불당로 110-25,,37.6674947238,126.6080455,경기도 김포시청,김포경찰서,Y,1,3,2019-11-08
"어린이집",사우어린이집,경기도 김포시 돌문로 10 (사우동),,37.61829977,126.7218580213,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"어린이집",서암어린이집,경기도 김포시 통진읍 서암로 120,,37.69559283,126.6015578912,경기도 김포시청,김포경찰서,Y,1,7,2019-11-08
"어린이집",북변어린이집,경기도 김포시 김포대로926번길 14 (북변동),,37.62486108,126.7145657,경기도 김포시청,김포경찰서,Y,2,12,2019-11-08
"어린이집",사랑뜰어린이집,경기도 김포시 북변중로25번길 16 (북변동),,37.62450296,126.7114679,경기도 김포시청,김포경찰서,Y,2,4,2019-11-08
"어린이집",해맑은어린이집,경기도 김포시 봉화로51번길 74-4 (사우동),,37.61693972,126.7127763,경기도 김포시청,김포경찰서,Y,1,6,2019-11-08
"어린이집",하나어린이집,경기도 김포시 통진읍 도이곶로 9,,37.68551027,126.612902,경기도 김포시청,김포경찰서,Y,1,3,2019-11-08
"어린이집",정훈어린이집,,경기도 김포시 풍무동 235,37.61177773,126.7261508,경기도 김포시청,김포경찰서,Y,1,3,2019-11-08
"어린이집",백상어린이집,경기도 김포시 해평로 143 (장기동),,37.65211285,126.6599283,경기도 김포시청,김포경찰서,N,0,3,2019-11-08
"어린이집",장기어린이집,경기도 김포시 김포한강2로 144 (장기동),,37.64337664,126.6690025,경기도 김포시청,김포경찰서,N,0,7,2019-11-08
"어린이집",늘푸른어린이집,경기도 김포시 김포대로1216번길 152 (걸포동),,37.6437917,126.6957023,경기도 김포시청,김포경찰서,Y,1,10,2019-11-08
