"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",별가람초등학교,경기도 남양주시 별내3로173,경기도 남양주시 별내동 920,37.654168,127.124473,경기도 남양주시청,남양주경찰서,Y,5,20,2018-08-24
"초등학교",남양주월산초등학교,경기도 남양주시 화도읍 경춘로 2290번길 50,경기도 남양주시 화도읍 월산리 73-65,37.653665,127.340276,경기도 남양주시청,남양주경찰서,Y,7,12,2018-08-24
"유치원",예닮유치원,경기도 남양주시 별내면 송산로 663-43,경기도 남양주시 별내면 광전리 162,37.697841,127.122973,경기도 남양주시청,남양주경찰서,N,0,4,2018-08-24
"어린이집",푸른강산어린이집,경기도 남양주시 양진로 926번길 58-13,경기도 남양주시 진접읍 연평리 175-3,37.705971,127.183928,경기도 남양주시청,남양주경찰서,N,0,8,2018-08-24
"어린이집",새보화어린이집,경기도 남양주시 별내면 송산로 373,경기도 남양주시 별내면 광전리 606,37.675706,127.133338,경기도 남양주시청,남양주경찰서,N,0,4~5,2018-08-24
"초등학교",미금초등학교,경기도 남양주시 미금로 56번길 32-13,경기도 남양주시 도농동 산16,37.608651,127.154078,경기도 남양주시청,남양주경찰서,Y,7,6,2018-08-24
"어린이집",보라어린이집,경기도 남양주시 와부읍 수레로 27번길 8,경기도 남양주시 덕소리 195-10,37.588257,127.215801,경기도 남양주시청,남양주경찰서,N,0,5,2018-08-24
"어린이집",힘멜에듀센터어린이집,경기도 남양주시 덕소로 97번길 69,경기도 남양주시 덕소리 145-4,37.589275,127.220399,경기도 남양주시청,남양주경찰서,Y,4,15,2018-08-24
"초등학교",금교초등학교,경기도 남양주시 미금로 194,경기도 남양주시 도농동 2-1,37.614237,127.161596,경기도 남양주시청,남양주경찰서,Y,3,6,2018-08-24
"초등학교",도농초등학교,경기도 남양주시 도농로 72,경기도 남양주시 도농동 2-2,37.612395,127.157424,경기도 남양주시청,남양주경찰서,Y,4,6,2018-08-24
"초등학교",경은특수학교,경기도 남양주시 별내면 송산로 679,경기도 남양주시 광전리145,37.698957,127.122182,경기도 남양주시청,남양주경찰서,Y,3,4,2018-08-24
