"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",신천초등학교,경기도 동두천시 생연로9번길 20,경기도 동두천시 지행동 685,37.8942832,127.0477840,경기도 동두천시청,동두천경찰서,Y,2,8,2019-08-31
"초등학교",지행초등학교,경기도 동두천시 행선로 40,경기도 동두천시 지행동 322-10,37.8918921,127.0618285,경기도 동두천시청,동두천경찰서,Y,1,16,2019-08-31
"초등학교",소요초등학교,경기도 동두천시 봉동로 64,경기도 동두천시 상봉암동 237-2,37.9484697,127.0539505,경기도 동두천시청,동두천경찰서,Y,1,16,2019-08-31
"초등학교",송내초등학교,경기도 동두천시 중앙로 52,경기도 동두천시 송내동 665-4,37.8860983,127.0524390,경기도 동두천시청,동두천경찰서,Y,1,15,2019-08-31
"초등학교",이담초등학교,경기도 동두천시 이담로 21,경기도 동두천시 지행동 717-7,37.8894005,127.0508790,경기도 동두천시청,동두천경찰서,Y,1,15,2019-08-31
"초등학교",동보초등학교,경기도 동두천시 강변로 640번길 31,경기도 동두천시 동두천동 213,37.9245419,127.0519994,경기도 동두천시청,동두천경찰서,Y,1,8,2019-08-31
"초등학교",보산초등학교,경기도 동두천시 중앙로 427,경기도 동두천시 생연동 160-14,37.9147641,127.0639025,경기도 동두천시청,동두천경찰서,Y,1,16,2019-08-31
"초등학교",동두천초등학교,경기도 동두천시 평화로 2460번길 4,경기도 동두천시 생연동 469-2,37.9078682,127.0596482,경기도 동두천시청,동두천경찰서,Y,2,15,2019-08-31
"초등학교",탑동초등학교,경기도 동두천시 탑신로 61,경기도 동두천시 탑동동 395-1,37.8916728,127.1039838,경기도 동두천시청,동두천경찰서,Y,1,7,2019-08-31
"초등학교",사동초등학교,경기도 동두천시 생연로 51,경기도 동두천시 생연동 783,37.8974777,127.0486842,경기도 동두천시청,동두천경찰서,Y,2,8,2019-08-31
"초등학교",생연초등학교,경기도 동두천시 생골로 19,경기도 동두천시 생연동 411,37.9011338,127.0589129,경기도 동두천시청,동두천경찰서,Y,1,15,2019-08-31
"유치원",신천초등학교 병설유치원,경기도 동두천시 생연로9번길 20,경기도 동두천시 지행동 685,37.8942832,127.0477840,경기도 동두천시청,동두천경찰서,Y,1,8,2019-08-31
"유치원",지행초등학교 병설유치원,경기도 동두천시 행선로 40,경기도 동두천시 지행동 322-10,37.8918921,127.0618285,경기도 동두천시청,동두천경찰서,Y,1,16,2019-08-31
"유치원",소요초등학교 병설유치원,경기도 동두천시 봉동로 64,경기도 동두천시 상봉암동 237-2,37.9484697,127.0539505,경기도 동두천시청,동두천경찰서,Y,1,16,2019-08-31
"유치원",송내초등학교 병설유치원,경기도 동두천시 중앙로 52,경기도 동두천시 송내동 665-4,37.8860983,127.0524390,경기도 동두천시청,동두천경찰서,Y,1,15,2019-08-31
"유치원",이담초등학교 병설유치원,경기도 동두천시 이담로 21,경기도 동두천시 지행동 717-7,37.8894005,127.0508790,경기도 동두천시청,동두천경찰서,Y,1,15,2019-08-31
"유치원",동보초등학교 병설유치원,경기도 동두천시 강변로 640번길 31,경기도 동두천시 동두천동 213,37.9245419,127.0519994,경기도 동두천시청,동두천경찰서,Y,1,8,2019-08-31
