"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",소일초교,,경기도 부천시 소사본동 401-1,37.4691623,126.8025254,경기도 부천시청,부천원미경찰서,Y,14,12,2019-09-10
"초등학교",부안초교,경기도 부천시 괴안동 106,경기도 부천시 괴안동 106,37.481465,126.810838767,경기도 부천시청,부천원미경찰서,Y,22,7,2019-09-10
"초등학교",송일초교,경기도 부천시 송내동 397,경기도 부천시 송내동 397,37.4831477,126.762512,경기도 부천시청,부천원미경찰서,Y,28,7,2019-09-10
"초등학교",고강초교,경기도 부천시 고강본 384,경기도 부천시 고강본 384,37.503526,126.766322,경기도 부천시청,부천원미경찰서,Y,19,6,2019-09-10
"초등학교",까치울교,경기도 부천시 작동 125,경기도 부천시 작동 125,37.514306,126.814173,경기도 부천시청,부천원미경찰서,Y,15,15,2019-09-10
"유치원",동원유치원,경기도 부천시 도당동 129-1,경기도 부천시 도당동 129-1,37.518868,126.794836,경기도 부천시청,부천원미경찰서,Y,5,6,2019-09-10
"유치원",미리내유치원,경기도 부천시 중1동 1179,경기도 부천시 중1동 1179,37.499888,126.773393,경기도 부천시청,부천원미경찰서,Y,3,12,2019-09-10
"유치원",광서유치원,경기도 부천시 상동 520-12,경기도 부천시 상동 520-12,37.513424,126.752133,경기도 부천시청,부천원미경찰서,Y,5,6,2019-09-10
"유치원",세화유치원,경기도 부천시 상1동 392,경기도 부천시 상1동 392,37.494980,126.749590,경기도 부천시청,부천원미경찰서,Y,5,12,2019-09-10
"유치원",무지개유치원,경기도 부천시 괴안동 120-3,경기도 부천시 괴안동 120-3,37.480750,126.813946,경기도 부천시청,부천원미경찰서,Y,3,8,2019-09-10
"어린이집",부천삼성어린이집,경기도 부천시 여월동 10-39,경기도 부천시 여월동 10-39,37.516954,126.803271,경기도 부천시청,부천원미경찰서,Y,5,5,2019-09-10
"초등학교",덕산초교,경기도 부천시 오정 115-3,경기도 부천시 오정 115-3,37.528322,126.795928,경기도 부천시청,부천원미경찰서,Y,16,9,2019-09-10
"유치원",사랑아트유치원,경기도 부천시 석천로 110번길 61(중동),경기도 부천시 석천로 110번길 61(중동),37.496765,126.765065,경기도 부천시청,부천원미경찰서,Y,4,6,2019-09-10
"유치원",오정유치원,경기도 부천시 원종로 9번길 44(원종동),경기도 부천시 원종로 9번길 44(원종동),37.526006,126.801249,경기도 부천시청,부천원미경찰서,Y,9,6,2019-09-10
