"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",중원초등학교,경기도 성남시 중원구 사기말골로 31번길 46,경기도 성남시 중원구 상대원동 153,37.4383140,127.1676657,경기도 성남시청,성남중원경찰서,Y,3,4~6,2019-03-15
"초등학교",하원초등학교,경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광1동 2412,37.446255,127.1697043,경기도 성남시청,성남중원경찰서,Y,2,4~12,2019-03-15
"초등학교",중부초등학교,경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행1동 1932-7,37.451546,127.164951,경기도 성남시청,성남중원경찰서,Y,4,8~12,2019-03-15
"초등학교",상대원초등학교,경기도 성남시 중원구 순환로 214번길 16,경기도 성남시 중원구 상대원1동 54,37.4421303,127.1816411,경기도 성남시청,성남중원경찰서,Y,3,4~8,2019-03-15
"초등학교",도촌초등학교,경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 646,37.4145683,127.1580235,경기도 성남시청,성남중원경찰서,Y,4,8~14,2019-03-15
"초등학교",구미초등학교,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,37.3375532,127.1181828,경기도 성남시청,분당경찰서,Y,3,15~30,2019-03-15
"초등학교",내정초등학교,경기도 성남시 분당구 내정로 174번길 19,경기도 성남시 분당구 수내동 57,37.3727960,127.1219231,경기도 성남시청,분당경찰서,Y,2,15,2019-03-15
"초등학교",돌마초등학교,경기도 성남시 분당구 야탑로 97번길 7,경기도 성남시 분당구 야탑동 515,37.4091119,127.1299645,경기도 성남시청,분당경찰서,Y,3,7~18,2019-03-15
"초등학교",미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.347353,127.115173,경기도 성남시청,분당경찰서,Y,5,30,2019-03-15
"초등학교",백현초등학교,경기도 성남시 분당구 백현로 144번길 26,경기도 성남시 분당구 정자동 76,37.3720886,127.1109413,경기도 성남시청,분당경찰서,Y,2,8,2019-03-15
"초등학교",분당초등학교,경기도 성남시 분당구 중앙공원로 32번길 20,경기도 성남시 분당구 서현동 92-1,37.3788350,127.1298413,경기도 성남시청,분당경찰서,Y,3,9,2019-03-15
"유치원",경희유치원,경기도 성남시 수정구 남문로 59,경기도 성남시 수정구 태평3동 3919-1,37.445982,127.133454,경기도 성남시청,성남수정경찰서,Y,5,8,2019-03-15
"유치원",미래유치원,경기도 성남시 수정구 수정로 332번길 6-4,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시청,성남수정경찰서,Y,4,4,2019-03-15
