"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",원천초교,경기도 수원시 영통구 매영로 103,경기도 수원시 영통구 매탄동 1212,37.268478,127.053769,경기도 수원시청,남부경찰서,Y,5,8~20,2019-08-27
"초등학교",이의초교,경기도 수원시 영통구 법조로150번길 47,경기도 수원시 영통구 하동 993,37.293078,127.0755377,경기도 수원시청,남부경찰서,Y,5,6~25,2019-08-27
"초등학교",잠원초교,경기도 수원시 영통구 태장로54번길 11,경기도 수원시 영통구 망포동 687,37.2383238,127.0523988,경기도 수원시청,남부경찰서,Y,8,15~24,2019-08-27
"초등학교",원일초교,경기도 수원시 영통구 중부대로448번길 84,경기도 수원시 영통구 원천동 549-1,37.2676166,127.060258,경기도 수원시청,남부경찰서,Y,1,22,2019-08-27
"초등학교",중앙기독초,경기도 수원시 영통구 월드컵로 70,경기도 수원시 영통구 원천동 134-3,37.2749601,127.057689,경기도 수원시청,남부경찰서,Y,4,15~24,2019-08-27
"초등학교",태장초교,경기도 수원시 영통구 태장로71번길 30,경기도 수원시 영통구 망포동 371,37.240873,127.054624,경기도 수원시청,남부경찰서,Y,2,10~14,2019-08-27
"초등학교",황곡초교,경기도 수원시 영통구 영통로 518,경기도 수원시 영통구 영통동 948-3,37.2654882,127.0783402,경기도 수원시청,남부경찰서,Y,1,22~25,2019-08-27
"초등학교",효동초교,경기도 수원시 영통구 매탄로126번길 27,경기도 수원시 영통구 매탄동 1248,37.262512,127.045747,경기도 수원시청,남부경찰서,Y,2,23,2019-08-27
"초등학교",청명초교,경기도 수원시 영통구 봉영로1744번길 41,경기도 수원시 영통구 영통동 1053-6,37.265631,127.0852984,경기도 수원시청,남부경찰서,Y,7,15~18,2019-08-27
"초등학교",다솔초교,경기도 수원시 장안구 이목로 24-35,경기도 수원시 장안구 정자동 946,37.308697,126.987668,경기도 수원시청,중부경찰서,Y,2,8~16,2019-08-27
"초등학교",대평초교,경기도 수원시 장안구 대평로 111,경기도 수원시 장안구 정자동 871-2,37.2976635,126.990765,경기도 수원시청,중부경찰서,Y,8,32,2019-08-27
"초등학교",동신초교,경기도 수원시 장안구 만석로68번길 46,경기도 수원시 장안구 정자동 870-3,37.295672,126.989177,경기도 수원시청,중부경찰서,Y,10,20~25,2019-08-27
"초등학교",명인초교,경기도 수원시 장안구 대평로52번길 21,경기도 수원시 장안구 정자동 884-7,37.2941408,126.994889,경기도 수원시청,중부경찰서,Y,2,6~8,2019-08-27
"초등학교",상률초교,경기도 수원시 장안구 덕영대로417번길 98,경기도 수원시 장안구 율전동 142-22,37.304769,126.9694658,경기도 수원시청,중부경찰서,Y,2,6~12,2019-08-27
"초등학교",송림초교,경기도 수원시 장안구 대평로51번길 65,경기도 수원시 장안구 정자동 889-1,37.2911359,126.9913840,경기도 수원시청,중부경찰서,Y,10,12~22,2019-08-27
"초등학교",효원초교,경기도 수원시 영통구 효원로358번길 16,경기도 수원시 영통구 매탄동 1155,37.2592223,127.039915,경기도 수원시청,남부경찰서,Y,2,6~38,2019-08-27
"초등학교",송정초교,경기도 수원시 장안구 송정로 41,경기도 수원시 장안구 송죽동 404,37.2969782,127.0015485,경기도 수원시청,중부경찰서,Y,5,20,2019-08-27
"초등학교",송죽초교,경기도 수원시 장안구 송원로41번길 34,경기도 수원시 장안구 송죽동 502,37.3006956,127.0058871,경기도 수원시청,중부경찰서,Y,5,8~20,2019-08-27
"초등학교",수성초교,경기도 수원시 장안구 금당로 19,경기도 수원시 장안구 조원동 843,37.3055852,127.0147612,경기도 수원시청,중부경찰서,Y,5,15,2019-08-27
"초등학교",송원초교,경기도 수원시 장안구 수일로 185,경기도 수원시 장안구 조원동 872,37.3082905,127.010125,경기도 수원시청,중부경찰서,Y,2,8,2019-08-27
"초등학교",수일초교,경기도 수원시 장안구 수일로 85,경기도 수원시 장안구 파장동 411,37.3107797,127.0007647,경기도 수원시청,중부경찰서,Y,5,13,2019-08-27
"초등학교",율전초교,경기도 수원시 장안구 율전로 113,경기도 수원시 장안구 율전동 308-6,37.299827,126.9689562,경기도 수원시청,중부경찰서,Y,2,10~12,2019-08-27
"초등학교",정자초교,경기도 수원시 장안구 장안로 191,경기도 수원시 장안구 정자동 873,37.299561,126.9952334,경기도 수원시청,중부경찰서,Y,7,22~32,2019-08-27
"초등학교",정천초교,경기도 수원시 장안구 화산로 83,경기도 수원시 장안구 천천동 335,37.2909354,126.9826902,경기도 수원시청,중부경찰서,Y,2,20,2019-08-27
"초등학교",영화초교,경기도 수원시 장안구 경수대로 838,경기도 수원시 장안구 조원동 556,37.296861,127.016372,경기도 수원시청,중부경찰서,Y,2,13,2019-08-27
"초등학교",조원초교,경기도 수원시 장안구 금당로 53,경기도 수원시 장안구 조원동 390,37.3029088,127.0168051,경기도 수원시청,중부경찰서,Y,2,12,2019-08-27
"초등학교",천일초교,경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570,37.300958,126.9780155,경기도 수원시청,중부경찰서,Y,10,15~20,2019-08-27
"초등학교",천천초교,경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,37.300584,126.982581,경기도 수원시청,중부경찰서,Y,9,14,2019-08-27
"초등학교",파장초교,경기도 수원시 장안구 경수대로1081번길 32-9,경기도 수원시 장안구 파장동 574,37.3088806,126.992357,경기도 수원시청,중부경찰서,Y,6,8,2019-08-27
"초등학교",한일초교,경기도 수원시 장안구 수일로 150,경기도 수원시 장안구 조원동 882,37.3069016,127.005812,경기도 수원시청,중부경찰서,Y,2,20,2019-08-27
"초등학교",효천초교,경기도 수원시 장안구 천천로21번길 11,경기도 수원시 장안구 정자동 923,37.2935542,126.9868257,경기도 수원시청,중부경찰서,Y,2,26,2019-08-27
"초등학교",남창초교,경기도 수원시 팔달구 행궁로 44-9,경기도 수원시 팔달구 남창동 126,37.2782018,127.0143786,경기도 수원시청,중부경찰서,Y,8,8,2019-08-27
"초등학교",매산초교,경기도 수원시 팔달구 향교로 93,경기도 수원시 팔달구 매산로3가 13,37.2720326,127.010756,경기도 수원시청,서부경찰서,Y,13,8,2019-08-27
"초등학교",수원초교,경기도 수원시 팔달구 팔달로110번길 26,경기도 수원시 팔달구 고등동 19,37.2777140,127.004348,경기도 수원시청,서부경찰서,Y,9,8~10,2019-08-27
"초등학교",연무초교,경기도 수원시 팔달구 창룡대로103번길 60,경기도 수원시 팔달구 매향동 7-1,37.2870522,127.0218721,경기도 수원시청,중부경찰서,Y,2,8~16,2019-08-27
"초등학교",우만초교,경기도 수원시 팔달구 창룡대로210번길 20,경기도 수원시 팔달구 우만동 300-3,37.2912588,127.0325545,경기도 수원시청,중부경찰서,Y,9,25,2019-08-27
