"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",예원 유치원,경기도 안산시 상록구 건건4길 24,경기도 안산시 상록구 팔곡일동 279-3,37.303202,126.899500,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,6,3~6,2019-10-01
"유치원",예은 유치원,경기도 안산시 상록구 팔곡두레길 71,경기도 안산시 상록구 팔곡이동 385,37.2974127509,126.882779,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"유치원",세라 유치원,경기도 안산시 상록구 팔곡두레길 71,경기도 안산시 상록구 팔곡이동 385,37.2974127509,126.882779,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"유치원",신안 유치원,경기도 안산시 상록구 안산대학로 155,경기도 안산시 상록구 일동 752,37.3103808782,126.8760634407,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,3~6,2019-10-01
"유치원",미림 유치원,경기도 안산시 상록구 실록1길 5,경기도 안산시 상록구 일동 658,37.3058014411,126.864218,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"유치원",대안 유치원,경기도 안산시 상록구 안산대학로 115-1,경기도 안산시 상록구 일동 603-11,37.3105042443,126.870102,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"유치원",서원 유치원,경기도 안산시 상록구 성호로 70,경기도 안산시 상록구 일동 601,37.3126108873,126.8652978736,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,8~12,2019-10-01
"유치원",이솝 유치원,경기도 안산시 상록구 성호로 70,경기도 안산시 상록구 일동 601,37.3126108873,126.8652978736,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"어린이집",하늘숲 어린이집,경기도 안산시 상록구 성호로 92-13,경기도 안산시 상록구 일동 581-13,37.3136685681,126.8636083516,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"유치원",우리들 유치원,경기도 안산시 상록구 호동로 54,경기도 안산시 상록구 일동 574,37.316355,126.863449,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"유치원",안산1대학석학 유치원,경기도 안산시 상록구 구룡동길 4-5,경기도 안산시 상록구 일동 125-1,37.3119481022,126.868838,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",동방 어린이집,경기도 안산시 상록구 구룡로 67-1,경기도 안산시 상록구 일동 110-11,37.3152380623,126.8715655424,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,3~6,2019-10-01
"어린이집",동심 어린이집,경기도 안산시 상록구 이동공원로 43,경기도 안산시 상록구 이동 710-9,37.309752,126.849480,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"어린이집",또래 어린이집,경기도 안산시 상록구 삼태기2길 18,경기도 안산시 상록구 이동 683-1,37.308054,126.846345,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",리베 어린이집,경기도 안산시 상록구 석호로 6,경기도 안산시 상록구 이동 665-1,37.3106170597,126.846936,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,5~8,2019-10-01
"유치원",시냇가 푸른나무 유치원,경기도 안산시 상록구 석호로 6,경기도 안산시 상록구 이동 665-1,37.3106170597,126.846936,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",아미 어린이집,경기도 안산시 상록구 안산천남1로 70,경기도 안산시 상록구 이동 664-1,37.3101720989,126.8428947231,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"어린이집",누리예능 어린이집,경기도 안산시 상록구 송호로 11-9,경기도 안산시 상록구 이동 653-1,37.3125418384,126.847011,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"어린이집",하나린 어린이집,경기도 안산시 상록구 조구나리1길 6-3,경기도 안산시 상록구 이동 630-1,37.3132544040,126.843462,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"어린이집",에이앤이 지혜어린이집,경기도 안산시 상록구 안산대학로 35,경기도 안산시 상록구 이동 608,37.3061347665,126.8626112848,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,8~12,2019-10-01
"유치원",부곡 유치원,경기도 안산시 상록구 안산대학로 35,경기도 안산시 상록구 이동 608,37.3061347665,126.8626112848,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"어린이집",일동하늘 어린이집,경기도 안산시 상록구 안산천서로3길 6-7,경기도 안산시 상록구 월피동 523,37.3331500351,126.8441106803,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"어린이집",시립감골 어린이집,경기도 안산시 상록구 안산천서로3길 6-7,경기도 안산시 상록구 월피동 523,37.3331500351,126.8441106803,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"어린이집",시립루씨 어린이집,경기도 안산시 상록구 안산천서로4길 11,경기도 안산시 상록구 월피동 488,37.335735,126.847475,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"어린이집",꿈이큰 어린이집,경기도 안산시 상록구 시낭로2길 21,경기도 안산시 상록구 월피동 471-1,37.336647,126.854438,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",동화사랑 어린이집,경기도 안산시 상록구 월피로1길 12,경기도 안산시 상록구 월피동 465-1,37.3355052698,126.853939,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,3~6,2019-10-01
"어린이집",부암 어린이집,경기도 안산시 상록구 부루지성모길 14,경기도 안산시 상록구 월피동 462-1,37.3343430098,126.852532,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"어린이집",시립부곡 어린이집,경기도 안산시 상록구 부루지성모길 13-1,경기도 안산시 상록구 월피동 460-15,37.334130,126.852106,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"유치원",뿌리 유치원,경기도 안산시 상록구 부루지4길 4,경기도 안산시 상록구 월피동 451-9,37.332956,126.852688,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"특수학교",한국선진학교,경기도 안산시 상록구 월피로 42,경기도 안산시 상록구 월피동 448-1,37.3324342209,126.8507921600,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"어린이집",시립본오 어린이집,경기도 안산시 상록구 안산천동로 170,경기도 안산시 상록구 월피동 446-1,37.3303346982,126.843712,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"초등학교",안산 초등학교,경기도 안산시 상록구 원당골5길 14,경기도 안산시 상록구 수암동 484-11,37.3634751413,126.8814758991,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"유치원",안산 초등학교 병설유치원,경기도 안산시 상록구 원당골5길 15,경기도 안산시 상록구 수암동 480-5,37.363808,126.881057,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"초등학교",석호 초등학교,경기도 안산시 상록구 수암2길 13-7,경기도 안산시 상록구 수암동 177,37.3649602296,126.878144,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,8~12,2019-10-01
"유치원",석호 초등학교 병설유치원,경기도 안산시 상록구 수암2길 13-7,경기도 안산시 상록구 수암동 177,37.3649602296,126.878144,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"초등학교",정재 초등학교,경기도 안산시 상록구 삼일로 670,경기도 안산시 상록구 성포동 594-3,37.3270063648,126.850784,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,8~12,2019-10-01
"초등학교",상록 초등학교,경기도 안산시 상록구 삼일로 670,경기도 안산시 상록구 성포동 594-3,37.3270063648,126.850784,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"초등학교",부곡 초등학교,경기도 안산시 상록구 안산천동로 90,경기도 안산시 상록구 성포동 592-1,37.3243468672,126.842617,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,8~12,2019-10-01
"초등학교",이호 초등학교,경기도 안산시 상록구 성포로 47,경기도 안산시 상록구 성포동 591-1,37.3241012376,126.8477713777,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"유치원",이호 초등학교 병설유치원,경기도 안산시 상록구 화랑로 530,경기도 안산시 상록구 성포동 587-1,37.320071,126.846829,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"초등학교",성안 초등학교,경기도 안산시 상록구 성안3길 9,경기도 안산시 상록구 사동 1557-2,37.302421,126.838747,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,3~6,2019-10-01
"유치원",성안 초등학교 병설유치원,경기도 안산시 상록구 삼리로 24,경기도 안산시 상록구 사동 1553,37.3035648132,126.8395381636,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"초등학교",학현 초등학교,경기도 안산시 상록구 삼리로 119,경기도 안산시 상록구 사동 1535,37.3048267995,126.8538651601,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"유치원",학현 초등학교 병설유치원,경기도 안산시 상록구 삼리로 119,경기도 안산시 상록구 사동 1535,37.3048267995,126.8538651601,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"초등학교",팔곡 초등학교,경기도 안산시 상록구 해양2로 28,경기도 안산시 상록구 사동 1512-1,37.2945211781,126.8237454539,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,5~8,2019-10-01
"유치원",팔곡 초등학교 병설유치원,경기도 안산시 상록구 해양1로 48,경기도 안산시 상록구 사동 1510-1,37.2947144709,126.8181014195,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,5~8,2019-10-01
"초등학교",청석 초등학교,경기도 안산시 상록구 선진로 100,경기도 안산시 상록구 사동 1506-1,37.2796033241,126.852544,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"초등학교",해양 초등학교,경기도 안산시 상록구 선진로 69,경기도 안산시 상록구 사동 1475-3,37.278041,126.849950,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,3~6,2019-10-01
"초등학교",초당 초등학교,경기도 안산시 상록구 평안로1안길 24,경기도 안산시 상록구 사동 1415-26,37.282524,126.850487,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",근화 어린이집,경기도 안산시 상록구 장화2길 44,경기도 안산시 상록구 사동 1406-8,37.2832288308,126.852311,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"초등학교",광덕 초등학교,경기도 안산시 상록구 장화2길 54,경기도 안산시 상록구 사동 1401-2,37.283258,126.853420,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"유치원",광덕 초등학교 병설유치원,경기도 안산시 상록구 초당로 25,경기도 안산시 상록구 사동 1389,37.2855014008,126.8510021521,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,4,8~12,2019-10-01
"유치원",본오유치원,경기도 안산시 상록구 항호2길 57-15,경기도 안산시 상록구 사동 1367-1,37.288819,126.843732,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"초등학교",매화 초등학교,경기도 안산시 상록구 감골1로 46,경기도 안산시 상록구 사동 1344-2,37.2890569609,126.8524927674,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"유치원",매화 초등학교 병설유치원,경기도 안산시 상록구 감골2로 11,경기도 안산시 상록구 사동 1344,37.2903454517,126.8539518156,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"어린이집",신성 어린이집,경기도 안산시 상록구 시곡2길 1,경기도 안산시 상록구 사동 1335-10,37.2947234690,126.856035,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"초등학교",반월 초등학교,경기도 안산시 상록구 감골공원길 16,경기도 안산시 상록구 사동 1319-21,37.2936260804,126.851733,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,3~6,2019-10-01
"유치원",반월 초등학교 병설유치원,경기도 안산시 상록구 이화4길 21,경기도 안산시 상록구 사동 1255-1,37.301215,126.855555,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"초등학교",창촌 초등학교,경기도 안산시 상록구 이화3길 22-13,경기도 안산시 상록구 사동 1242-7,37.3001059914,126.857319,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"유치원",창촌 초등학교 병설유치원,경기도 안산시 상록구 석호로 113,경기도 안산시 상록구 사동 1193,37.3012372979,126.8483137537,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,8~12,2019-10-01
"초등학교",시곡 초등학교,경기도 안산시 상록구 석호로 113,경기도 안산시 상록구 사동 1193,37.3012372979,126.8483137537,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,5,3~6,2019-10-01
"유치원",자연 유치원,경기도 안산시 상록구 충장로 670,경기도 안산시 상록구 부곡동 719-3,37.3363657309,126.8561376906,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,8~12,2019-10-01
"초등학교",본원 초등학교,경기도 안산시 상록구 충장로 670,경기도 안산시 상록구 부곡동 719-3,37.3363657309,126.8561376906,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,2,3~6,2019-10-01
"어린이집",해냄 어린이집,경기도 안산시 상록구 녹지로 50-1,경기도 안산시 상록구 부곡동 713-5,37.337012,126.857100,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,3,3~6,2019-10-01
"어린이집",꿈을주는 어린이집,경기도 안산시 상록구 부곡로 73,경기도 안산시 상록구 부곡동 680,37.329165,126.860430,경기도 안산시 상록구 경제교통과,안산상록경찰서,Y,1,8~12,2019-10-01
