"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",산평초등학교,경기도 안성시 서운면 서운로 58,경기도 안성시 서운면 산평리 160-2,36.9199536876,127.2614758481,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",산평초교병설유치원,경기도 안성시 서운면 서운로 58,경기도 안성시 서운면 산평리 160-2,36.9199536876,127.2614758481,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",현매초교병설유치원,경기도 안성시 서운면 매향길 61,경기도 안성시 서운면 현매리 193,36.9359679645,127.2300779650,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",현매초등학교,경기도 안성시 서운면 매향길 61 현매초등학교,경기도 안성시 서운면 현매리 193,36.9358564399,127.2301295,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"어린이집",낙원어린이집,경기도 안성시 공단2로 32,경기도 안성시 신소현동 159,37.0166504768,127.2533162,경기도 안성시,안성경찰서,Y,1,9,2019-09-27
"유치원",양성초교병설유치원,경기도 안성시 양성면 옥단길 43,경기도 안성시 양성면 동항리 420,37.0621745208,127.1952165256,경기도 안성시,안성경찰서,Y,1,12,2019-09-27
"유치원",행복한유치원,경기도 안성시 양성면 상마정앞길 90,경기도 안성시 양성면 삼암리 450-6,37.0202208967,127.1949383,경기도 안성시,안성경찰서,Y,1,6,2019-09-27
"유치원",공도초교병설유치원,경기도 안성시 공도읍 공도1로 9 공도초등학교,경기도 안성시 용두리 187-1,36.9997505,127.1675774,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",용머리초등학교,경기도 안성시 공도읍 기업단지로 61,경기도 안성시 용두리 516,37.0027461,127.1594454,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"유치원",원곡초교병설유치원,경기도 안성시 원곡면 가천중앙1길 51-17,경기도 안성시 원곡면 내가천리 40-2,37.0418408316,127.1277386477,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",성은분교,경기도 안성시 원곡면 통심길 92,경기도 안성시 원곡면 성은리 35-1,37.0773001085,127.1601862028,경기도 안성시,안성경찰서,Y,1,3,2019-09-27
"어린이집",인지어린이집,경기도 안성시 인지2길 16-8,경기도 안성시 인지동 461-3,37.0047564200,127.2664398173,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",죽화초교병설유치원,경기도 안성시 일죽면 죽화로 297,경기도 안성시 일죽면 화곡리 730,37.1077465192,127.4582669793,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",죽화초등학교,경기도 안성시 일죽면 죽화로 297,경기도 안성시 일죽면 화곡리 730,37.1077465192,127.4582669793,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"유치원",광선초교병설유치원,경기도 안성시 죽산면 개좌길 16,경기도 안성시 죽산면 두교리 203-1,37.0081650033,127.4331389358,경기도 안성시,안성경찰서,Y,1,5,2019-09-27
"초등학교",죽산초등학교,경기도 안성시 죽산면 죽산초교길 43,경기도 안성시 죽산면 죽산405-2,37.0784769760,127.4211905171,경기도 안성시,안성경찰서,Y,1,20,2019-09-27
"초등학교",만정초등학교,경기도 안성시 공도읍 송원길 12,경기도 안성시 공도읍 만정리 783-1,37.0069424380,127.1717368435,경기도 안성시,안성경찰서,Y,2,7,2019-09-27
"유치원",문기초교병설유치원,경기도 안성시 공도읍 서동대로 4424,경기도 안성시 공도읍 양기리 332-25,37.0076141599,127.1942431,경기도 안성시,안성경찰서,Y,2,20,2019-09-27
"초등학교",문기초등학교,경기도 안성시 공도읍 서동대로 4424,경기도 안성시 공도읍 양기리 332-25번지,37.0076141599,127.1942431,경기도 안성시,안성경찰서,Y,2,20,2019-09-27
"유치원",늘푸른유치원,경기도 안성시 가사길 87-6,경기도 안성시 가사동 21-5,37.0156028,127.2862355,경기도 안성시,안성경찰서,Y,1,25,2019-09-27
"어린이집",문정어린이집,경기도 안성시 가현길 24,경기도 안성시 가현동 137-1,37.003215,127.2853497418,경기도 안성시,안성경찰서,Y,1,3,2019-09-27
"유치원",고삼초교병설유치원,경기도 안성시 고삼면 고삼호수로 37,경기도 안성시 고삼면 가유리 329-1,37.0826962436,127.2645574848,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"어린이집",대자연어린이집,경기도 안성시 공도읍 송원길 27,경기도 안성시 공도읍 만정리 780-3,37.0073309,127.173132,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"유치원",엄마사랑유치원,경기도 안성시 공도읍 공도3로 19,경기도 안성시 공도읍 만정리 805-1,37.0013510251,127.170029,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"어린이집",아이생각어린이집,경기도 안성시 공도읍 기업단지로 41,경기도 안성시 공도읍 용두리 238-3,37.0012025002,127.1601747172,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",용머리초교병설유치원,경기도 안성시 공도읍 기업단지로 57,경기도 안성시 공도읍 용두리 517-2,37.0027367580,127.1583713683,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",개산초등학교,경기도 안성시 금광면 외개산길 42,경기도 안성시 금광면 개산리 168-3,36.9844762183,127.3020199542,경기도 안성시,안성경찰서,Y,1,9,2019-09-27
"유치원",금광초교병설유치원,경기도 안성시 금광면 금광초교길 54,경기도 안성시 금광면 금광리 107-1,36.9999232773,127.3242802605,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",금광초등학교,경기도 안성시 금광면 금광초교길 54,경기도 안성시 금광면 금광리 107-1,36.9999232773,127.3242802605,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"유치원",금광조령분교병설유치원,경기도 안성시 금광면 사흥길 59,경기도 안성시 금광면 사흥리 631-2,37.0011458742,127.3578903728,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",양진초등학교,경기도 안성시 공도읍 진사1길 14,경기도 안성시 공도읍 진사리 124-1,36.9892827393,127.1404427303,경기도 안성시,안성경찰서,Y,2,8,2019-09-27
"유치원",안성초교병설유치원,경기도 안성시 혜산로 13,경기도 안성시 구포동 170,37.0122683900,127.2725336143,경기도 안성시,안성경찰서,Y,2,15,2019-09-27
"초등학교",안성초등학교,경기도 안성시 혜산로 13,경기도 안성시 구포동 170,37.0122683900,127.2725336143,경기도 안성시,안성경찰서,Y,2,15,2019-09-27
"유치원",백성초교병설유치원,경기도 안성시 백성2길 59,경기도 안성시 금산동 119,37.0111716851,127.2666240089,경기도 안성시,안성경찰서,Y,2,15,2019-09-27
"초등학교",백성초등학교,경기도 안성시 백성2길 59,경기도 안성시 금산동 119번지,37.0111716851,127.2666240089,경기도 안성시,안성경찰서,Y,2,15,2019-09-27
"초등학교",서운초등학교,경기도 안성시 서운면 서운초교길 24,경기도 안성시 서운면 동촌리 146-2,36.9464634436,127.2549876407,경기도 안성시,안성경찰서,Y,2,8,2019-09-27
"유치원",서운초교병설유치원,경기도 안성시 서운면 서운초교길 24,경기도 안성시 서운면 동촌리 146-2,36.9464634436,127.2549876407,경기도 안성시,안성경찰서,Y,2,8,2019-09-27
"초등학교",내혜홀초등학교,경기도 안성시 내혜홀3길 29,경기도 안성시 아양동 292-1,37.0062907589,127.2653475,경기도 안성시,안성경찰서,Y,2,6,2019-09-27
"유치원",일죽초교병설유치원,경기도 안성시 일죽면 주래본죽로 72,경기도 안성시 일죽면 주천리 300,37.091681,127.4817141283,경기도 안성시,안성경찰서,Y,2,7,2019-09-27
"초등학교",일죽초등학교,경기도 안성시 일죽면 주래본죽로 72,경기도 안성시 일죽면 주천리 300,37.091681,127.4817141283,경기도 안성시,안성경찰서,Y,2,7,2019-09-27
"유치원",광덕초교병설유치원,경기도 안성시 대덕면 내리1길 25,경기도 안성시 대덕면 내리 697,37.0010572200,127.2214365,경기도 안성시,안성경찰서,Y,3,8,2019-09-27
"어린이집",서운어린이집,경기도 안성시 서운면 서운로 277-3,경기도 안성시 서운면 신촌리 274-5,36.9378629,127.2606211556,경기도 안성시,안성경찰서,N,0,8,2019-09-27
"유치원",안성유치원,경기도 안성시 실왕길 12,경기도 안성시 당왕동 303-13,37.0246301458,127.2666350741,경기도 안성시,안성경찰서,Y,1,5,2019-09-27
"유치원",비룡초교병설유치원,경기도 안성시 비룡로 78,경기도 안성시 당왕동 536-2,37.0150763567,127.2628531400,경기도 안성시,안성경찰서,Y,1,12,2019-09-27
"초등학교",비룡초등학교,경기도 안성시 비룡로 78,경기도 안성시 당왕동 536-2,37.0150763567,127.2628531400,경기도 안성시,안성경찰서,Y,1,12,2019-09-27
"초등학교",대덕초등학교,경기도 안성시 대덕면 모산로 84,경기도 안성시 대덕면 모산리 463,37.0273658480,127.2448779487,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",대덕초교병설유치원,경기도 안성시 대덕면 모산로 84,경기도 안성시 대덕면 모산리 463,37.0273658480,127.2448779487,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",명덕초교병설유치원,경기도 안성시 대덕면 미륵로 16,경기도 안성시 대덕면 진현리 285-1,37.0507124566,127.2626226,경기도 안성시,안성경찰서,Y,1,15,2019-09-27
"초등학교",명덕초등학교,경기도 안성시 대덕면 미륵로 16 명덕초등학교,경기도 안성시 대덕면 진현리 285번지,37.0502933,127.2627906,경기도 안성시,안성경찰서,Y,1,15,2019-09-27
"어린이집",봉남어린이집,경기도 안성시 강변남로 36,경기도 안성시 도기동 55-7,37.0006001561,127.2714269293,경기도 안성시,안성경찰서,Y,1,9,2019-09-27
"유치원",개정초교병설유치원,경기도 안성시 미양면 미양로 72,경기도 안성시 미양면 개정리 304-1,36.9607344204,127.1886557147,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",보체초등학교,경기도 안성시 미양면 보체길 47,경기도 안성시 미양면 보체리 31-5,36.9739667585,127.2383277648,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",보체초교병설유치원,경기도 안성시 미양면 보체길 47,경기도 안성시 미양면 보체리 31-5,36.9739667585,127.2383277648,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",미양초교병설유치원,경기도 안성시 미양면 양지길 40,경기도 안성시 미양면 양지리 201,36.9750209372,127.2127608014,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",서삼초등학교,경기도 안성시 보개면 보개원삼로 1001,경기도 안성시 보개면 남풍리 1070,37.0870942295,127.3089827,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"유치원",서삼초교병설유치원,경기도 안성시 보개면 보개원삼로 1001,경기도 안성시 보개면 남풍리 1070,37.0870942295,127.3089827,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",동신초등학교,경기도 안성시 보개면 사갑뜰길 6,경기도 안성시 보개면 동신리 229-2번지,37.0122729723,127.3047367181,경기도 안성시,안성경찰서,Y,1,3,2019-09-27
"초등학교",보개초등학교,경기도 안성시 보개면 보개원삼로 649,경기도 안성시 보개면 이전리 347-2,37.0602254781,127.2958033264,경기도 안성시,안성경찰서,Y,1,6,2019-09-27
"초등학교",가율분교,경기도 안성시 보개면 보개원삼로 649,경기도 안성시 보개면 이전리 347-2번지,37.0602254781,127.2958033264,경기도 안성시,안성경찰서,Y,1,15,2019-09-27
"유치원",삼죽초교병설유치원,경기도 안성시 삼죽면 삼죽초교길 20,경기도 안성시 삼죽면 덕산리 263,37.0764567300,127.3744648010,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"유치원",마전초교병설유치원,경기도 안성시 삼죽면 서동대로 5915,경기도 안성시 삼죽면 마전리 37-1,37.0307066441,127.3413414429,경기도 안성시,안성경찰서,Y,1,21,2019-09-27
"유치원",미곡초교병설유치원,경기도 안성시 양성면 안성맞춤대로 2304-9,경기도 안성시 양성면 노곡리 443,37.1106748195,127.2450334208,경기도 안성시,안성경찰서,Y,2,8,2019-09-27
"어린이집",상미어린이집,경기도 안성시 도구머리길 81,경기도 안성시 도기동 385-1,36.9949945501,127.2605642277,경기도 안성시,안성경찰서,Y,1,3,2019-09-27
"초등학교",개정초등학교,경기도 안성시 미양면 미양로 72,경기도 안성시 미양면 개정리 304-1,36.9607344204,127.1886557147,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"유치원",성모유치원,경기도 안성시 미양면 마산길 5,경기도 안성시 미양면 양지리 168-1,36.9751364242,127.2166649503,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"초등학교",미양초등학교,경기도 안성시 미양면 양지길 40,경기도 안성시 미양면 양지리 201번지,36.9750209372,127.2127608014,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"유치원",동신초교병설유치원,경기도 안성시 보개면 사갑뜰길 6,경기도 안성시 보개면 동신리 229-2,37.0122729723,127.3047367181,경기도 안성시,안성경찰서,Y,1,3,2019-09-27
"유치원",보개초교병설유치원,경기도 안성시 보개면 보개원삼로 649,경기도 안성시 보개면 이전리 347-2,37.0602254781,127.2958033264,경기도 안성시,안성경찰서,Y,1,6,2019-09-27
"초등학교",삼죽초등학교,경기도 안성시 삼죽면 삼죽초교길 20,경기도 안성시 삼죽면 덕산리 263,37.0764567300,127.3744648010,경기도 안성시,안성경찰서,Y,1,7,2019-09-27
"초등학교",마전초등학교,경기도 안성시 삼죽면 서동대로 5915,경기도 안성시 삼죽면 마전리 37-1번지,37.0307066441,127.3413414429,경기도 안성시,안성경찰서,Y,1,21,2019-09-27
"초등학교",양성초등학교,경기도 안성시 양성면 옥단길 43,경기도 안성시 양성면 동항리 420,37.0621745208,127.1952165256,경기도 안성시,안성경찰서,Y,1,8,2019-09-27
"초등학교",공도초등학교,경기도 안성시 공도읍 공도1로 9 공도초등학교,경기도 안성시 용두리 187-1,36.9997505,127.1675774,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",원곡초등학교,경기도 안성시 원곡면 가천중앙1길 51-17,경기도 안성시 원곡면 내가천리 40-2,37.0418408316,127.1277386477,경기도 안성시,안성경찰서,Y,1,10,2019-09-27
"초등학교",방초초등학교,경기도 안성시 일죽면 사실로 86,경기도 안성시 일죽면 방초리 459번지,37.1198372712,127.4337383194,경기도 안성시,안성경찰서,Y,1,9,2019-09-27
"초등학교",광선초등학교,경기도 안성시 죽산면 개좌길 16,경기도 안성시 죽산면 두교리 203-1,37.0081650033,127.4331389358,경기도 안성시,안성경찰서,Y,1,5,2019-09-27
"유치원",죽산초교병설유치원,경기도 안성시 죽산면 죽산초교길 43,경기도 안성시 죽산면 죽산리 405-2,37.0784769760,127.4211905171,경기도 안성시,안성경찰서,Y,1,20,2019-09-27
