"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",덕현초등학교,경기도 안양시 동안구 갈산로 34,경기도 안양시 동안구 호계동 1101,37.3754765,126.9625619,경기도 안양시청,동안경찰서,Y,15,8m,2019-09-09
"초등학교",관악초등학교,경기도 안양시 동안구 일동로 201,경기도 안양시 동안구 관양동 367-2,37.4064548,126.9684185,경기도 안양시청,동안경찰서,Y,5,5~8m,2019-09-09
"초등학교",귀인초등학교,경기도 안양시 동안구 귀인로 248,,37.3864395,126.9663302,경기도 안양시청,동안경찰서,Y,14,18m,2019-09-09
"초등학교",나눔초등학교,경기도 안양시 동안구 흥안대로 414번길 22,경기도 안양시 동안구 평촌동 109-1,37.3904949,126.975422,경기도 안양시청,동안경찰서,Y,9,6~17m,2019-09-09
"초등학교",달안초등학교,경기도 안양시 동안구 동안로 178,경기도 안양시 동안구 비산동 1109-1,37.3943567,126.9499285,경기도 안양시청,동안경찰서,Y,12,15m,2019-09-09
"초등학교",덕천초등학교,경기도 안양시 만안구 전파로 27,경기도 안양시 만안구 안양동 192-5,37.3919388,126.9359835,경기도 안양시청,만안경찰서,Y,19,7~14m,2019-09-09
"초등학교",관양초등학교,경기도 안양시 동안구 관평로 336번길 23,경기도 안양시 동안구 관양동 1407,37.4066862,126.9603142,경기도 안양시청,동안경찰서,Y,15,4~8m,2019-09-09
"초등학교",범계초등학교,경기도 안양시 동안구 동안로 90,경기도 안양시 동안구 호계동 1052-1,37.3875019,126.9540487,경기도 안양시청,동안경찰서,Y,2,17m,2019-09-09
"초등학교",부흥초등학교,경기도 안양시 동안구 달안로 37,경기도 안양시 동안구 비산동 1102-8,37.3946939,126.9466193,경기도 안양시청,동안경찰서,Y,5,16m,2019-09-09
"초등학교",안양남초등학교,경기도 안양시 동안구 흥안대로 275,경기도 안양시 동안구 호계동 1215,37.3797021,126.9685931,경기도 안양시청,동안경찰서,Y,4,6~10m,2019-09-09
"초등학교",안양서초등학교,경기도 안양시 만안구 양화로 37번길 32,경기도 안양시 만안구 안양동 922,37.3967235,126.9108537,경기도 안양시청,만안경찰서,Y,15,7m,2019-09-09
"초등학교",양지초등학교,경기도 안양시 만안구 병목안로 130번길 69,,37.3919424,126.9046969,경기도 안양시청,만안경찰서,Y,10,6m,2019-09-09
"초등학교",인덕원초등학교,경기도 안양시 동안구 관양로 311(관양동),경기도 안양시 동안구 관양동 210,37.3971226,126.979532,경기도 안양시청,동안경찰서,Y,14,7m,2019-09-09
"초등학교",해오름초등학교,경기도 안양시 동안구 동편로 117,경기도 안양시 동안구 관양동 1671,37.41056398,126.9693756,경기도 안양시청,동안경찰서,Y,8,12m,2019-09-09
"초등학교",호암초등학교,경기도 안양시 만안구 예술공원로 103번길 73,경기도 안양시 만안구 석수동 221-40,37.4208216,126.9164743,경기도 안양시청,만안경찰서,Y,23,5m,2019-09-09
"초등학교",화창초등학교,경기도 안양시 만안구 양화로 217번길 30,경기도 안양시 만안구 석수동 348-7,37.4120068,126.903596,경기도 안양시청,만안경찰서,Y,11,4~6m,2019-09-09
"유치원",안양샘유치원(공립),경기도 안양시 동안구 흥안대로 223번길 30-3,경기도 안양시 동안구 호계동 1233,37.37698021,126.9662054,경기도 안양시청,동안경찰서,Y,4,8m,2019-09-09
"유치원",모심유치원,경기도 안양시 동안구 귀인로 199,경기도 안양시 동안구 평촌동 899-2,37.3858344,126.9609936,경기도 안양시청,동안경찰서,Y,5,20m,2019-09-09
"유치원",비산성모유치원,경기도 안양시 동안구 경수대로 952-1,경기도 안양시 동안구 비산동 478-10,37.368309,126.9570327,경기도 안양시청,동안경찰서,Y,4,6m,2019-09-09
"유치원",성은유치원,경기도 안양시 동안구 일동로 126번길 9,경기도 안양시 동안구 관양동 1416,37.4077206,126.9618991,경기도 안양시청,동안경찰서,Y,5,4m,2019-09-09
"어린이집",샤론어린이집,경기도 안양시 만안구 창박로 15-19,경기도 안양시 만안구 안양동 1094-2,37.3844873,126.9049194,경기도 안양시청,만안경찰서,Y,4,6m,2019-09-09
"어린이집",자연어린이집,경기도 안양시 만안구 석수로 512,경기도 안양시 만안구 석수동 423-24,37.4334964,126.9006363,경기도 안양시청,만안경찰서,Y,4,8m,2019-09-09
"어린이집",한우리어린이집,경기도 안양시 동안구 비산로 29,경기도 안양시 동안구 비산동 547-8,37.4000543,126.931804,경기도 안양시청,동안경찰서,Y,14,6~7m,2019-09-09
"특수학교",해솔학교,경기도 안양시 만안구 호암로 30번길 61,경기도 안양시 만안구 석수동 1-3,37.4347083,126.9135046,경기도 안양시청,만안경찰서,Y,5,5m,2019-09-09
"초등학교",동안초등학교,경기도 안양시 동안구 관평로 138번길 36,경기도 안양시 동안구 평촌동 898-1,37.3893632,126.9645602,경기도 안양시청,동안경찰서,Y,4,17m,2019-09-09
"초등학교",만안초등학교,경기도 안양시 만안구 안양로 384번길 13,경기도 안양시 만안구 안양동 848-1,37.4065518,126.9167917,경기도 안양시청,만안경찰서,Y,15,5~12m,2019-09-09
"초등학교",명학초등학교,경기도 안양시 만안구 명학로 55(안양동),경기도 안양시 만안구 안양동 349-13,37.3801342,126.9343008,경기도 안양시청,만안경찰서,Y,18,5m,2019-09-09
"초등학교",민백초등학교,경기도 안양시 동안구 부림로 22,경기도 안양시 동안구 평촌동 933-1,37.3863029,126.9705229,경기도 안양시청,동안경찰서,Y,6,16m,2019-09-09
"초등학교",박달초등학교,경기도 안양시 만안구 삼봉로 38,경기도 안양시 만안구 박달동 128-7,37.400864,126.9021998,경기도 안양시청,만안경찰서,Y,10,8m,2019-09-09
"초등학교",벌말초등학교,경기도 안양시 동안구 학의로 408번길 25,경기도 안양시 동안구 평촌동 75-8,37.3938003,126.9806272,경기도 안양시청,동안경찰서,Y,5,8~12m,2019-09-09
"초등학교",부림초등학교,경기도 안양시 동안구 달안로 161(관양동),경기도 안양시 동안구 관양동 1587-3,37.4000619,126.960094,경기도 안양시청,동안경찰서,Y,5,16m,2019-09-09
"초등학교",부안초등학교,경기도 안양시 동안구 달안로 113,경기도 안양시 동안구 관양동 1586-2,37.3980622,126.9544441,경기도 안양시청,동안경찰서,Y,5,16m,2019-09-09
"초등학교",비산초등학교,경기도 안양시 동안구 운곡로 52,경기도 안양시 동안구 비산동 315,37.4052621,126.9435448,경기도 안양시청,동안경찰서,Y,5,6m,2019-09-09
"초등학교",삼봉초등학교,경기도 안양시 만안구 박달로 437번길 21,경기도 안양시 만안구 박달동 114-3,37.4029135,126.8992457,경기도 안양시청,만안경찰서,Y,6,5~22m,2019-09-09
"초등학교",삼성초등학교,경기도 안양시 만안구 경수대로 1240,경기도 안양시 만안구 석수동 167-4,37.419742,126.9116524,경기도 안양시청,만안경찰서,Y,15,4~6m,2019-09-09
"초등학교",샘모루초등학교,경기도 안양시 동안구 관악대로 155,경기도 안양시 동안구 비산동 405,37.3998906,126.9407921,경기도 안양시청,동안경찰서,Y,12,4m,2019-09-09
"초등학교",석수초등학교,경기도 안양시 만안구 석수로 110,경기도 안양시 만안구 석수동 655-75,37.4062364,126.9009715,경기도 안양시청,만안경찰서,Y,34,4~12m,2019-09-09
"초등학교",신기초등학교,경기도 안양시 동안구 동안로 26(호계동),경기도 안양시 동안구 호계동 1056-5,37.3816899,126.9570969,경기도 안양시청,동안경찰서,Y,15,6~16m,2019-09-09
"초등학교",신안초등학교,경기도 안양시 만안구 능곡로 52,경기도 안양시 만안구 안양동 723-1,37.389766,126.9147318,경기도 안양시청,만안경찰서,Y,13,7m,2019-09-09
"초등학교",안양동초등학교,경기도 안양시 동안구 임곡로 80번길 34,경기도 안양시 동안구 비산동 511-85,37.4073641,126.935893,경기도 안양시청,동안경찰서,Y,12,6~8m,2019-09-09
"초등학교",안양초등학교,경기도 안양시 만안구 현충로 28번길 54,경기도 안양시 만안구 안양동 378-1,37.3943989,126.9274289,경기도 안양시청,만안경찰서,Y,36,6m,2019-09-09
"초등학교",안일초등학교,경기도 안양시 만안구 안양천서로 339,경기도 안양시 만안구 안양동 85-6,37.4039125,126.9225969,경기도 안양시청,만안경찰서,Y,5,8m,2019-09-09
"초등학교",연현초등학교,경기도 안양시 만안구 연현로1번길 55,경기도 안양시 만안구 석수동 485-16,37.4254118,126.902438,경기도 안양시청,만안경찰서,Y,10,12m,2019-09-09
"초등학교",중앙초등학교,경기도 안양시 동안구 경수대로 883번길 11,경기도 안양시 동안구 비산동 423,37.3955704,126.937825,경기도 안양시청,동안경찰서,Y,9,7m,2019-09-09
"초등학교",평촌초등학교,경기도 안양시 동안구 평촌대로 180번길 56,경기도 안양시 동안구 평촌동 899-4,37.38839621,126.9604638,경기도 안양시청,동안경찰서,Y,5,16m,2019-09-09
"초등학교",호계초등학교,경기도 안양시 동안구 경수대로 707번길 27,,37.3839723,126.9500722,경기도 안양시청,동안경찰서,Y,3,5m,2019-09-09
"초등학교",호성초등학교,경기도 안양시 동안구 호성로 43-2,경기도 안양시 동안구 호계동 792-4,37.3662426,126.9631489,경기도 안양시청,동안경찰서,Y,5,5~7m,2019-09-09
