"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",주원초등학교,경기도 양주시 고암길 242,경기도 양주시 고암동 580-5,37.8355374857,127.0728947752,경기도 양주시,양주경찰서,Y,,18,2019-10-07
"초등학교",광사초등학교,경기도 양주시 고읍남로 191번길 12,경기도 양주시 광사동 660,37.7914553456,127.0838368358,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"초등학교",만송초등학교,경기도 양주시 고읍로 117-32,경기도 양주시 광사동 702,37.7975845332,127.0851608461,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"초등학교",율정초등학교,경기도 양주시 옥정동로245-41,경기도 양주시 옥정동 1028,37.8280645631,127.0960640016,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"초등학교",옥정초등학교,경기도 양주시 옥정로 5길 42-9,경기도 양주시 옥정동 956,37.823341,127.0884162001,경기도 양주시,양주경찰서,Y,,7,2019-10-07
"유치원",사랑유치원,경기도 양주시 고암길 270,경기도 양주시 고암동 121-7(주공2단지),37.834928,127.070855,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"유치원",행복한유치원,경기도 양주시 백석읍 호명로 53-19,경기도 양주시 백석읍 복지리 148-16,37.789659,126.9932109264,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",동심유치원,경기도 양주시 백석읍 호명로 19,경기도 양주시 백석읍 복지리 184-1,37.7916615315,126.992631,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",아이림유치원,경기도 양주시 부흥로 2067-8,경기도 양주시 고읍동 21-2,37.805016,127.084232,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"유치원",만송유치원,경기도 양주시 만송로 361,경기도 양주시 만송동 163-2,37.792411,127.094313,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"유치원",해밀유치원(해밀어린이집),경기도 양주시 백석읍 꿈나무로 72-25,경기도 양주시 백석읍 방성리 218-1,37.8011109299,126.994942,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",노블키즈유치원,경기도 양주시 광적면 삼일로 4-16,경기도 양주시 광적면 가납리 704-9,37.819732,126.986625,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"유치원",산내들유지원,경기도 양주시 고삼로 92,경기도 양주시 만송동 223-1,37.7970879879,127.0936258897,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"유치원",홈그루유치원,경기도 양주시 송랑로 39-52,경기도 양주시 만송동 445-5,37.7902321613,127.0858926258,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",지엘유치원,경기도 양주시 청담로 243번길 203-15,경기도 양주시 고암동 493-2,37.8192088474,127.0663140885,경기도 양주시,양주경찰서,Y,,6,2019-10-07
"유치원",양주유치원,경기도 양주시 옥정동로 240,경기도 양주시 옥정동 1033,37.8281592599,127.0992082552,경기도 양주시,양주경찰서,Y,,24,2019-10-07
"어린이집",장흥어린이집,경기도 양주시 장흥면 일영로769번길 11-10,경기도 양주시 장흥면 일영리 207-3,37.7106096936,126.933076,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"어린이집",키즈팜어린이집,경기도 양주시 만송로 417-17,경기도 양주시 만송동 14,37.7951120978,127.0992321696,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",중앙어린이집,경기도 양주시 평화로1454번길 34,경기도 양주시 덕계동 425-1,37.8193361117,127.049306,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",이튼스쿨어린이집,경기도 양주시 평화로1435번길 45,경기도 양주시 덕계동 671-1,37.820813,127.045179,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",큰바다어린이집,경기도 양주시 삼숭로38번길 210,경기도 양주시 삼숭동 681-4,37.7997221362,127.106629,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",황토어린이집,경기도 양주시 만송로330번길 23,경기도 양주시 만송동 105-7,37.7897109311,127.0936120398,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"어린이집",옥정숲속어린이집,경기도 양주시 천보산로 100번길 66-21,경기도 양주시 회암동 144,37.849523,127.1013639397,경기도 양주시,양주경찰서,Y,,3,2019-10-07
"어린이집",사랑나무어린이집,경기도 양주시 어하고개로 132번길 139,경기도 양주시 삼숭동 96-14,37.8106633315,127.1106136934,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",예일스쿨어린이집,경기도 양주시 백석읍 양주산성로 871,경기도 양주시 백석읍 홍죽리 229-1,37.793501,126.965101,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",유니유치원(유니어린이집),경기도 양주시 부흥로 1907번길 115,경기도 양주시 광사동 264-6,37.7975526761,127.0736068088,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",아름솔 유치원,경기도 양주시 백석읍 호명로 19,경기도 양주시 장흥면 교현리 180-11,37.7916615315,126.9926385406,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",예일유치원,경기도 양주시 고읍로 17,경기도 양주시 고읍동 443,37.8010412760,127.0790423599,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"유치원",송랑유치원,경기도 양주시 고읍남로39번길 95,경기도 양주시 광사동 681,37.7895620613,127.0804833075,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"유치원",새싹유치원,경기도 양주시 장흥면 호국로 477-24,경기도 양주시 장흥면 교현리 133-1,37.7154217152,126.9700807936,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"유치원",우정유치원,경기도 양주시 청담로13번길 38-4,경기도 양주시 고읍동 408-4,37.8035870042,127.0711646395,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"어린이집",핑크블루어린이집,경기도 양주시 독바위로300번길 12,경기도 양주시 옥정동 804-5,37.8199480174,127.0774906258,경기도 양주시,양주경찰서,Y,,6,2019-10-07
"어린이집",가람어린이집,경기도 양주시 백석읍 중앙로 337,경기도 양주시 백석읍 오산리 579-3,37.7994762307,126.9768868521,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"어린이집",자연유아어린이집,경기도 양주시 부흥로 1571번길 3,경기도 양주시 마전동 106-3,37.782425,127.049533,경기도 양주시,양주경찰서,Y,,3,2019-10-07
"어린이집",회천어린이집,경기도 양주시 덕정9길 30,경기도 양주시 덕정동 138-42,37.844843,127.066671,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"어린이집",몬테소리어린이집,경기도 양주시 원골로 134-5,경기도 양주시 유양동 437,37.784581,127.026661,경기도 양주시,양주경찰서,Y,,4,2019-10-07
"어린이집",한승어린이집,경기도 양주시 백석읍 권율로 1447,경기도 양주시 백석읍 오산리 296,37.8111892681,126.9799766460,경기도 양주시,양주경찰서,Y,,8,2019-10-07
"어린이집",누리봄어린이집,경기도 양주시 백석읍 부흥로1204번길 70-65,경기도 양주시 백석읍 방성리 578,37.790878,127.005291,경기도 양주시,양주경찰서,Y,,12,2019-10-07
"초등학교",남면초등학교,경기도 양주시 남면 개나리 18길 100,경기도 양주시 남면 신산리 286-2,37.8938670488,126.9757568576,경기도 양주시,양주경찰서,Y,,6,2019-10-07
