"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",경기도 양평군 양평초등학교,경기도 양평군 양평읍 양근로 128,경기도 양평군 양평읍 양근리 491-9,37.49415475,127.4861600030,경기도 양평군,양평경찰서,Y,2,8,2019-05-31
"초등학교",경기도 양평군 양평동초등학교,경기도 양평군 양평읍 창대길 20-8,경기도 양평군 양평읍 창대리 639,37.4884592,127.5072019,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"초등학교",경기도 양평군 원덕초등학교,경기도 양평군 양평읍 원덕흑천길 180,경기도 양평군 양평읍 원덕리 381,37.4682908,127.5424863,경기도 양평군,양평경찰서,Y,2,4,2019-05-31
"초등학교",경기도 양평군 강상초등학교,경기도 양평군 강상면 신화길 86,경기도 양평군 강상면 신화리 242,37.4737272,127.4793913,경기도 양평군,양평경찰서,Y,2,10,2019-05-31
"초등학교",경기도 양평군 세월초등학교,경기도 양평군 세월길 147번길 2,경기도 양평군 강상면 세월리 126-1,37.4361047,127.4952542,경기도 양평군,양평경찰서,Y,2,8,2019-05-31
"초등학교",경기도 양평군 강하초등학교,경기도 양평군 강하면 운심길 33,경기도 양평군 강하면 운심리 43-2,37.4965387,127.4096268,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"초등학교",경기도 양평군 양수초등학교,경기도 양평군 양서면 용담3길 15,경기도 양평군 양서면 용담리 212,37.5449519,127.3252725,경기도 양평군,양평경찰서,Y,2,8,2019-05-31
"초등학교",경기도 양평군 대아초등학교,경기도 양평군 양서면 방죽들길 5,경기도 양평군 양서면 증동리 573,37.5279669,127.4157195,경기도 양평군,양평경찰서,Y,2,8,2019-05-31
"초등학교",경기도 양평군 옥천초등학교,경기도 양평군 옥천면 옥천길 51,경기도 양평군 옥천면 옥천리 549-1,37.5195108,127.4595306,경기도 양평군,양평경찰서,Y,2,7,2019-05-31
"초등학교",경기도 양평군 서종초등학교,경기도 양평군 서종면 문호리 북한강로 789번길 8,경기도 양평군 서종면 문호리 733,37.6091517,127.3481298,경기도 양평군,양평경찰서,Y,2,7,2019-05-31
"초등학교",경기도 양평군 정배초등학교,경기도 양평군 서종면 명덕길 10,경기도 양평군 서종면 정배리 330,37.60302758,127.4232057,경기도 양평군,양평경찰서,Y,2,7,2019-05-31
"초등학교",경기도 양평군 수입초등학교,경기도 양평군 서종면 무드리2길 20,경기도 양평군 서종면 수입리 673,37.6449172,127.3758281,경기도 양평군,양평경찰서,Y,2,7,2019-05-31
"초등학교",경기도 양평군 단월초등학교,경기도 양평군 단월면 보룡길 65,경기도 양평군 단월면 보룡리 693-1,37.5394411,127.6728209,경기도 양평군,양평경찰서,Y,2,10,2019-05-31
"초등학교",경기도 양평군 청운초등학교,경기도 양평군 청운면 용두로156번길 30,경기도 양평군 청운면 용두리 510-2,37.5548331,127.7136795,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"초등학교",경기도 양평군 양동초등학교,경기도 양평군 양동면 양동로 1671,경기도 양평군 양동면 석곡리 190,37.4305955,127.7502094,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"초등학교",경기도 양평군 지평초등학교,경기도 양평군 지평면 지평의병로 107,경기도 양평군 지평면 지평리 502-2,37.4756803,127.6383155,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"초등학교",경기도 양평군 곡수초등학교,경기도 양평군 지평면 곡수길 56번길 17,경기도 양평군 지평면 곡수리 387-1,37.418059,127.6115092,경기도 양평군,양평경찰서,Y,2,9,2019-05-31
"초등학교",경기도 양평군 용문초등학교,경기도 양평군 용문면 용문로 837,경기도 양평군 용문면 광탄리 154,37.50984377,127.6328252,경기도 양평군,양평경찰서,Y,2,7,2019-05-31
"초등학교",경기도 양평군 다문초등학교,경기도 양평군 용문면 다문중앙2길 27,경기도 양평군 용문면 다문리 626,37.4858535,127.5915299,경기도 양평군,양평경찰서,Y,2,12,2019-05-31
"초등학교",경기도 양평군 조현초등학교,경기도 양평군 용문면 중원산로 157,경기도 양평군 용문면 조현리 174-1,37.5228035,127.6159129,경기도 양평군,양평경찰서,Y,2,10,2019-05-31
"초등학교",경기도 양평군 개군초등학교,경기도 양평군 개군면 자진개1길 23,경기도 양평군 개군면 하자포리 276-1,37.4277887,127.5345932,경기도 양평군,양평경찰서,Y,2,3,2019-05-31
"초등학교",경기도 양평군 고송분교,경기도 양평군 양동면 고송길 32-16,경기도 양평군 양동면 고송리 821-1,37.48652822,127.7003456,경기도 양평군,양평경찰서,Y,2,4,2019-05-31
"초등학교",경기도 양평군 양서초등학교,경기도 양평군 양서면 양서도곡길 8,경기도 양평군 양서면 도곡리 320-1,37.5128852,127.3824969,경기도 양평군,양평경찰서,Y,2,6,2019-05-31
"유치원",경기도 양평군 양평유치원,경기도 양평군 양평읍 시민로24번길 49,경기도 양평군 양평읍 양근리 242-11,37.48722222,127.4979014,경기도 양평군,양평경찰서,N,,7,2019-05-31
"어린이집",경기도 양평군 사랑나무어린이집,경기도 양평군 용문면 그릇고갯길90,경기도 양평군 용문면 마룡리159-1,37.4862563,127.6083565,경기도 양평군,양평경찰서,Y,2,11,2019-05-31
