"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",여흥초등학교,경기도 여주시 여양로 91,경기도 여주시 상동 110,37.2932069906,127.6432897349,경기도 여주시,여주경찰서,Y,7,17,2019-10-23
"초등학교",여주초등학교,경기도 여주시 청심로 139,경기도 여주시 창동 5-1,37.2987033613,127.6359287807,경기도 여주시,여주경찰서,Y,4,12,2019-10-23
"초등학교",점봉초등학교,경기도 여주시 세종로 488-4,경기도 여주시 점봉동 336,37.2567441727,127.6446388168,경기도 여주시,여주경찰서,Y,10,15,2019-10-23
"초등학교",세종초등학교,경기도 여주시 세종로 204-19,경기도 여주시 교동 121-7,37.2797967531,127.633878,경기도 여주시,여주경찰서,Y,11,14,2019-10-23
"초등학교",연라초등학교,경기도 여주시 여주남로 116,경기도 여주시 월송동 313-42,37.2773302224,127.6114662600,경기도 여주시,여주경찰서,Y,4,30,2019-10-23
"초등학교",오학초등학교,경기도 여주시 도예로 117,경기도 여주시 오학동 105-1,37.3124384701,127.6478981315,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",가남초등학교,경기도 여주시 가남읍 태평4길 2,경기도 여주시 가남읍 태평리 74-1,37.205256,127.5475995727,경기도 여주시,여주경찰서,Y,8,6,2019-10-23
"초등학교",오산초등학교,경기도 여주시 가남읍 양화로 168,경기도 여주시 가남읍 오산리 236,37.2387983208,127.559038,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",금당초등학교,경기도 여주시 가남읍 가남로 649,경기도 여주시 가남읍 금당리 708-4,37.1967617871,127.6054859940,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",송삼초등학교,경기도 여주시 가남읍 송삼로 165,경기도 여주시 가남읍 송림리 209-1,37.1764655951,127.6339613732,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",점동초등학교,경기도 여주시 점동면 청안로 106,경기도 여주시 점동면 청안리 117,37.2042820695,127.6629995297,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",능서초등학교,경기도 여주시 능서면 마장로 64,경기도 여주시 능서면 신지리 786-1,37.2985142596,127.5727356837,경기도 여주시,여주경찰서,Y,5,8,2019-10-23
"초등학교",매류초등학교,경기도 여주시 능서면 양화로 592,경기도 여주시 능서면 마래리 143,37.2735348503,127.5582634126,경기도 여주시,여주경찰서,Y,2,6,2019-10-23
"초등학교",능북초등학교,경기도 여주시 능서면 백석1길 8-16,경기도 여주시 능서면 백석리 442-4,37.333472,127.592107,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",흥천초등학교,경기도 여주시 흥천면 효자로 155,경기도 여주시 흥천면 효지리 377-3,37.3328073658,127.5413067650,경기도 여주시,여주경찰서,Y,4,8,2019-10-23
"초등학교",문장초등학교,경기도 여주시 흥천면 문바실길 20,경기도 여주시 흥천면 문장리 373-1,37.3612637545,127.5124919452,경기도 여주시,여주경찰서,Y,4,11,2019-10-23
"초등학교",이포초등학교,경기도 여주시 금사면 이여로 1237,경기도 여주시 금사면 이포리 311-2,37.3890971931,127.5298318837,경기도 여주시,여주경찰서,Y,2,6,2019-10-23
"초등학교",하호분교,경기도 여주시 금사면 금품1로 695,경기도 여주시 금사면 하호리 188-3,37.4058580506,127.5012614109,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",상품초등학교,경기도 여주시 산북면 금품1로 15,경기도 여주시 산북면 상품리 11-7,37.4053334895,127.4450152440,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",대신초등학교,경기도 여주시 대신면 여양로 1440,경기도 여주시 대신면 율촌리 285,37.3752129875,127.5873541457,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",천남초등학교,경기도 여주시 대신면 참샘2길 1,경기도 여주시 대신면 천남리 106-1,37.3458513114,127.631321,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",송촌초등학교,경기도 여주시 대신면 여양1로 237,경기도 여주시 대신면 송촌리 504,37.4117212111,127.5690737599,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"초등학교",북내초등학교,경기도 여주시 북내면 여양2로 304,경기도 여주시 북내면 당우리 175,37.3294174008,127.6806115662,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",운암분교,경기도 여주시 북내면 당전로 282,경기도 여주시 북내면 중암리 634-1,37.333904,127.708929,경기도 여주시,여주경찰서,Y,4,6,2019-10-23
"초등학교",강천초등학교,경기도 여주시 강천면 간매3길 31,경기도 여주시 강천면 간매리 443,37.269023,127.720429,경기도 여주시,여주경찰서,Y,4,7,2019-10-23
"초등학교",도전분교,경기도 여주시 강천면 원양1로 716,경기도 여주시 강천면 도전리 776-1,37.3372116823,127.7511093075,경기도 여주시,여주경찰서,Y,3,6,2019-10-23
"유치원",여주유치원,경기도 여주시 소양로 45,경기도 여주시 하동 409-4,37.295067,127.6305255258,경기도 여주시,여주경찰서,Y,4,7,2019-10-23
"유치원",능현유치원,경기도 여주시 명성로 92,경기도 여주시 능현동 280-10,37.258703,127.6568077377,경기도 여주시,여주경찰서,Y,6,6,2019-10-23
"유치원",해님유치원,경기도 여주시 월평로 11,경기도 여주시 월송동 326,37.2763843850,127.6110707406,경기도 여주시,여주경찰서,Y,4,30,2019-10-23
