"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",연천초등학교,경기도 연천군 연천읍 연천로 228,경기도 연천군 연천읍 차탄리 72,38.0976955,127.0733125,경기도 연천군청,연천경찰서,Y,8,12,2018-09-11
"유치원",온골유치원,경기도 연천군 전곡읍 전곡로 56,경기도 연천군 전곡읍 전곡리 243-1,38.0183333,127.0712104,경기도 연천군청,연천경찰서,Y,8,9,2018-09-11
"초등학교",상리초등학교,경기도 연천군 연천읍 상리로 70,경기도 연천군 연천읍 상리 161-2,38.135303,127.0730345,경기도 연천군청,연천경찰서,Y,3,7,2018-09-11
"초등학교",전곡초등학교,경기도 연천군 전곡읍 선사로 433,경기도 연천군 전곡읍 전곡리 331-1,38.027393,127.0701213,경기도 연천군청,연천경찰서,Y,12,10,2018-09-11
"초등학교",전곡초등학교 적동분교,경기도 연천군 전곡읍 첫마을길 17,경기도 연천군 전곡읍 늘목리 111-2,37.9404355,126.9985537,경기도 연천군청,연천경찰서,Y,4,6.5,2018-09-11
"초등학교",은대초등학교,경기도 연천군 전곡읍 은대로 210,경기도 연천군 전곡읍 은대리 710-19,38.052768,127.0580937,경기도 연천군청,연천경찰서,Y,3,6,2018-09-11
"초등학교",군남초등학교,경기도 연천군 군남면 진상17길 46,경기도 연천군 군남면 진상리 704-1,38.0673201,127.0138015,경기도 연천군청,연천경찰서,Y,4,7,2018-09-11
"초등학교",화진초등학교,경기도 연천군 군남면 청정로 2289,경기도 연천군 황지리 345-2,38.0304619,127.0376022,경기도 연천군청,연천경찰서,Y,4,7,2018-09-11
"초등학교",궁평초등학교,경기도 연천군 청산면 궁평로45번길 52,경기도 연천군 청산면 궁평리 496-1,38.0279364,127.1024366,경기도 연천군청,연천경찰서,Y,7,7.5,2018-09-11
"초등학교",백의초등학교,경기도 연천군 청창로726번길 38,경기도 연천군 청산면 백의리 824-24,38.0176791,127.093068,경기도 연천군청,연천경찰서,Y,8,7,2018-09-11
"초등학교",초성초등학교,경기도 연천군 청산면 학담로 104,경기도 연천군 청산면 초성리 223-1,37.9983801,127.071071,경기도 연천군청,연천경찰서,Y,11,7,2018-09-11
"초등학교",백학초등학교,경기도 연천군 백학면 백학로40번길 23,경기도 연천군 백학면 두일리 15,38.0319219,126.9195792,경기도 연천군청,연천경찰서,Y,4,6,2018-09-11
"초등학교",연천노곡초등학교,경기도 연천군 백학면 진목로 26,경기도 연천군 백학면 노곡리 714-2,37.9987633,126.9146374,경기도 연천군청,연천경찰서,Y,4,6.5,2018-09-11
"초등학교",연천왕산초등학교,경기도 연천군 미산면 왕산로 15,경기도 연천군 미산면 우정리 397,38.0559566,127.0094426,경기도 연천군청,연천경찰서,Y,4,7,2018-09-11
"초등학교",대광초등학교,경기도 연천군 신서면 연신로 1127-1,경기도 연천군 신서면 도신리 245-1,38.1829912,127.1032496,경기도 연천군청,연천경찰서,Y,8,7,2018-09-11
"유치원",본원유치원,경기도 연천군 전곡읍 선사로398번길 5,경기도 연천군 전곡읍 전곡리 326-10,38.0246704,127.0717297,경기도 연천군청,연천경찰서,Y,4,12,2018-09-11
"초등학교",연천초등학교 고문분교,경기도 연천군 연천읍 현문로 459,경기도 연천군 고문리 259-1,38.0653085,127.110852,경기도 연천군청,연천경찰서,Y,4,6,2018-09-11
