"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",희소유치원,경기도 용인시 수지구 현암로 72(죽전동),경기도 용인시 수지구 죽전동 306-5,37.33126658,127.1171014,경기도 용인시,용인서부경찰서,Y,1,15,2019-12-18
"유치원",보정자연유치원,경기도 용인시 기흥구 이현로30번길 17-5(보정동),경기도 용인시 기흥구 보정동 465-1외2필지,37.30996152,127.0984511,경기도 용인시,용인서부경찰서,Y,1,6,2019-12-18
"유치원",아이원유치원,경기도 용인시 기흥구 마북로123번길 12(마북동),경기도 용인시 기흥구 마북동 165외4필지,37.30217409,127.1207062036,경기도 용인시,용인서부경찰서,Y,1,6,2019-12-18
"유치원",푸른유치원,경기도 용인시 기흥구 용인향교로20번길 9(언남동),경기도 용인시 기흥구 언남동 329-2,37.29656251,127.1208101126,경기도 용인시,용인서부경찰서,Y,1,3,2019-12-18
"유치원",가람유치원,경기도 용인시 기흥구 중부대로55번길 10-18(영덕동),경기도 용인시 기흥구 영덕동 940,37.2675671,127.0775433,경기도 용인시,용인동부경찰서,Y,1,7,2019-12-18
"유치원",조은유치원,경기도 용인시 처인구 동부로165번길 25(운학동),경기도 용인시 처인구 운학동 695,37.2239779631,127.2264609260,경기도 용인시,용인동부경찰서,Y,1,11,2019-12-18
"유치원",숲리라유치원,경기도 용인시 기흥구 흥덕4로30번길 34(영덕동),경기도 용인시 기흥구 영덕동 1133-1,37.2726555290,127.0932613,경기도 용인시,용인동부경찰서,Y,1,10,2019-12-18
"유치원",동백유치원,경기도 용인시 기흥구 동백동5로 111(중동),경기도 용인시 기흥구 중동 895,37.27574991,127.1615935143,경기도 용인시,용인동부경찰서,Y,1,14,2019-12-18
"유치원",숲속하늘 유치원,경기도 용인시 기흥구 동백중앙로54번길 30 (중동),경기도 용인시 기흥구 중동 97-3,37.26254765,127.1646270119,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",한아름 유치원,경기도 용인시 기흥구 지삼로98번길 10,경기도 용인시 기흥구 지곡동 546-4,37.24939994,127.1293686,경기도 용인시,용인동부경찰서,Y,1,7,2019-12-18
"유치원",석성숲유치원,경기도 용인시 기흥구 동백중앙로 16번길 50,경기도 용인시 기흥구 중동 4-10,37.25863988,127.1676532,경기도 용인시,용인동부경찰서,Y,1,5,2019-12-18
"어린이집",수지어린이집,경기도 용인시 수지구 정든로14번길 3-7(죽전동),경기도 용인시 수지구 죽전동 428-4,37.32651487,127.1150225020,경기도 용인시,용인서부경찰서,Y,1,4,2019-12-18
"어린이집",우주어린이집,경기도 용인시 기흥구 하갈로 122(하갈동),경기도 용인시 기흥구 하갈동 227-1,37.2582378881,127.0989518,경기도 용인시,용인동부경찰서,Y,1,9,2019-12-18
"어린이집",노벨생태어린이집,경기도 용인시 기흥구 백남준로 37(상갈동),경기도 용인시 기흥구 상갈동 143,37.2701838195,127.1131057571,경기도 용인시,용인동부경찰서,Y,1,10,2019-12-18
"어린이집",엄지어린이집,경기도 용인시 처인구 지삼로 526(삼가동),경기도 용인시 처인구 삼가동 316-3,37.23917793,127.1594191088,경기도 용인시,용인동부경찰서,Y,1,10,2019-12-18
"어린이집",오즈어린이집,경기도 용인시 수지구 수풍로 57-5(풍덕천동),경기도 용인시 수지구 풍덕천동 399-3,37.32920203,127.0918371236,경기도 용인시,용인서부경찰서,Y,1,14~20,2019-12-18
"어린이집",성민어린이집,경기도 용인시 수지구 진산로11번길 8(풍덕천동),경기도 용인시 수지구 풍덕천동 1152-1,37.3159857651,127.091803,경기도 용인시,용인서부경찰서,Y,1,7~10,2019-12-18
"어린이집",라온제나어린이집,경기도 용인시 처인구 포곡읍 포곡로297번길 6,경기도 용인시 처인구 포곡읍 삼계리 488-5,37.28113532,127.2326264,경기도 용인시,용인동부경찰서,Y,1,8~12,2019-12-18
"어린이집",보라어린이집,경기도 용인시 처인구 포곡읍 포곡로 131,경기도 용인시 처인구 포곡읍 둔전리 186-6,37.2709107790,127.2191511,경기도 용인시,용인동부경찰서,Y,1,12~16,2019-12-18
"유치원",고은유치원,경기도 용인시 처인구 포곡읍 석성로1069번길 8,경기도 용인시 처인구 포곡읍 영문리 31-5,37.27591245,127.2137535,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"유치원",해오름유치원,경기도 용인시 처인구 낙은로97번길 19(역북동),경기도 용인시 처인구 역북동 310-4,37.2419943989,127.1922937442,경기도 용인시,용인동부경찰서,Y,1,6~7,2019-12-18
"어린이집",기흥삼성어린이집,경기도 용인시 기흥구 농서로 162(농서동),경기도 용인시 기흥구 농서동 158,37.2252154700,127.0811687290,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",딸기어린이집,경기도 용인시 기흥구 한보라2로 85-5(보라동),경기도 용인시 기흥구 보라동 222-2,37.2496189399,127.1125700511,경기도 용인시,용인동부경찰서,Y,1,18,2019-12-18
"유치원",파랑새유치원,경기도 용인시 처인구 한터로275번길 35(고림동),경기도 용인시 처인구 고림동 120-4,37.2575605945,127.2362333047,경기도 용인시,용인동부경찰서,Y,1,6~9,2019-12-18
"유치원",체리아유치원,경기도 용인시 기흥구 갈곡로8번길 7(구갈동),경기도 용인시 기흥구 구갈동 584-1,37.27171996,127.1299164,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",강남유치원,경기도 용인시 기흥구 강남동로114번길 6(상하동),경기도 용인시 기흥구 상하동 631-1,37.2738457,127.1369422,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",성모유치원,경기도 용인시 기흥구 예현로 41(서천동),경기도 용인시 기흥구 서천동 369,37.2435590099,127.0666764632,경기도 용인시,용인동부경찰서,Y,1,3,2019-12-18
"유치원",행복한유치원,경기도 용인시 기흥구 석성로521번길 15(동백동),경기도 용인시 기흥구 동백동 379,37.2893160899,127.1562594,경기도 용인시,용인동부경찰서,Y,1,7,2019-12-18
"유치원",연세유치원,경기도 용인시 기흥구 동백8로131번길 45-1(동백동),경기도 용인시 기흥구 동백동 46-2,37.2833672699,127.1681227,경기도 용인시,용인동부경찰서,Y,1,3,2019-12-18
"유치원",아란유치원,경기도 용인시 기흥구 언남로29번길 22(언남동),경기도 용인시 기흥구 언남동 130-33,37.2949386633,127.1292572,경기도 용인시,용인서부경찰서,Y,1,6,2019-12-18
"유치원",미래샘유치원,경기도 용인시 기흥구 한일로23번길 5(공세동),경기도 용인시 기흥구 공세동 476-121,37.2449365008,127.1012743212,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"유치원",숲속다예린유치원,경기도 용인시 수지구 신봉1로323번길 14(신봉동),경기도 용인시 수지구 신봉동 634-1,37.33241907,127.0529886784,경기도 용인시,용인서부경찰서,Y,1,4~8,2019-12-18
"유치원",지예슬유치원,경기도 용인시 수지구 상현로88번길 37-19(상현동),경기도 용인시 수지구 상현동 306-1 외 2,37.3019637827,127.0846574675,경기도 용인시,용인서부경찰서,Y,2,5,2019-12-18
"유치원",한국유치원,경기도 용인시 수지구 정평로 8(풍덕천동),경기도 용인시 수지구 풍덕천동 1112,37.3174000744,127.0898687995,경기도 용인시,용인서부경찰서,Y,1,14~20,2019-12-18
"유치원",쏠티유치원,경기도 용인시 처인구 포곡읍 성산로341번길 93,경기도 용인시 처인구 포곡읍 마성리 415-1,37.27187215,127.1857671417,경기도 용인시,용인동부경찰서,Y,1,4~6,2019-12-18
"유치원",예성유치원,경기도 용인시 기흥구 동백1로38번길 17-4(중동),경기도 용인시 기흥구 중동 1009,37.26356058,127.1617433,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",중앙유치원,경기도 용인시 처인구 모현읍 중렬로10번길 12,경기도 용인시 처인구 모현면 능원리 50,37.34135135,127.1726579,경기도 용인시,용인동부경찰서,Y,1,4~6,2019-12-18
"유치원",아이미래유치원,경기도 용인시 기흥구 흥덕2로65번길 17(영덕동),경기도 용인시 기흥구 영덕동 998-2,37.27313529,127.0720559,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",프렌즈유치원,경기도 용인시 기흥구 흥덕중앙로105번길 32-4(영덕동),경기도 용인시 기흥구 영덕동 954,37.2789218178,127.0803829334,경기도 용인시,용인동부경찰서,Y,1,10,2019-12-18
"유치원",예은유치원,경기도 용인시 처인구 포곡읍 포곡로61번길 12,경기도 용인시 처인구 포곡읍 둔전리 406-4,37.26820121,127.2128343,경기도 용인시,용인동부경찰서,Y,1,12,2019-12-18
"유치원",온샘유치원,경기도 용인시 기흥구 한보라1로43번길 16(보라동),용인구 기흥구 보라동 616,37.25015831,127.1100776,경기도 용인시,용인동부경찰서,Y,1,10~16,2019-12-18
"유치원",한별유치원,경기도 용인시 기흥구 한보라2로 157(공세동),경기도 용인시 기흥구 공세동 677,37.24394896,127.1093743,경기도 용인시,용인동부경찰서,Y,1,10~13,2019-12-18
"유치원",라온수피아유치원,경기도 용인시 기흥구 사은로126번길 74(보라동),경기도 용인시 기흥구 보라동 192,37.2499265600,127.1222008561,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",동산유치원,경기도 용인시 처인구 모현읍 문현로185번길 18,경기도 용인시 처인구 모현면 매산리 228-2,37.3437494,127.2292036680,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"유치원",해나무유치원,경기도 용인시 수지구 포은대로 235(상현동),경기도 용인시 수지구 상현동 85-8,37.3097430636,127.0824508,경기도 용인시,용인서부경찰서,Y,1,12,2019-12-18
"어린이집",AP어린이집,경기도 용인시 수지구 포은대로 237(상현동),경기도 용인시 수지구 상현동 84-1,37.31008542,127.0826450329,경기도 용인시,용인서부경찰서,Y,1,12,2019-12-18
"유치원",수지다솜유치원,경기도 용인시 수지구 문인로31번길 7-52(풍덕천동),경기도 용인시 수지구 풍덕천동 678,37.3321505413,127.1003713,경기도 용인시,용인서부경찰서,Y,1,10,2019-12-18
"유치원",유정유치원,경기도 용인시 기흥구 용구대로2518번길 30(보정동),경기도 용인시 기흥구 보정동 1301,37.30908118,127.1116705,경기도 용인시,용인서부경찰서,Y,1,7~16,2019-12-18
"유치원",동아유치원,경기도 용인시 수지구 신봉1로 52-12(신봉동),경기도 용인시 수지구 신봉동 48,37.3232461874,127.0795049617,경기도 용인시,용인서부경찰서,Y,1,4,2019-12-18
"유치원",원일유치원,경기도 용인시 처인구 금학로 39(삼가동),경기도 용인시 처인구 삼가동 212,37.24285825,127.1692005460,경기도 용인시,용인동부경찰서,Y,1,6~7,2019-12-18
"어린이집",꿈동산어린이집,경기도 용인시 기흥구 신갈로124번길 18(신갈동),경기도 용인시 기흥구 신갈동 28-7,37.27764577,127.1077858091,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",기흥해맑은 어린이집,경기도 용인시 기흥구 용구대로2152번길 12(신갈동),경기도 용인시 기흥구 신갈동 1-3,37.27941242,127.1071343,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",구갈어린이집,경기도 용인시 기흥구 강남서로 8(구갈동),경기도 용인시 기흥구 구갈동 587-1,37.2724509369,127.1272117067,경기도 용인시,용인동부경찰서,Y,1,15,2019-12-18
"어린이집",선인어린이집,경기도 용인시 수지구 만현로 68(상현동),경기도 용인시 수지구 상현동 63-4,37.3101693,127.0861420858,경기도 용인시,용인서부경찰서,Y,1,4~18,2019-12-18
"어린이집",기흥어린이집,경기도 용인시 기흥구 금화로108번길 16(상갈동),경기도 용인시 기흥구 상갈동 122-22,37.26778946,127.1066263,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",하늘숲어린이집,경기도 용인시 수지구 동천로 335(동천동),경기도 용인시 수지구 동천동 579-17,37.34160147,127.0688485,경기도 용인시,용인서부경찰서,Y,1,7,2019-12-18
"어린이집",푸르니수지 어린이집,경기도 용인시 수지구 고기로 176,경기도 용인시 수지구 동천동 64-1,37.35081292,127.0863601,경기도 용인시,용인서부경찰서,Y,1,5,2019-12-18
"어린이집",지인어린이집,경기도 용인시 처인구 임원로 84(고림동),경기도 용인시 처인구 고림동 440-10,37.2551319,127.2267525,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"학원",ESL어학원,경기도 용인시 기흥구 용인향교로20번길 9(언남동),경기도 용인시 기흥구 언남동 329-1,37.2965946621,127.1208598,경기도 용인시,용인서부경찰서,N,,3,2019-12-18
"어린이집",행복한 숲 어린이집,경기도 용인시 기흥구 용인향교로20번길 12(언남동),경기도 용인시 기흥구 언남동 328-1,37.2961802458,127.1207508023,경기도 용인시,용인서부경찰서,Y,1,3,2019-12-18
"어린이집",유림어린이집,경기도 용인시 처인구 백옥대로1392번길 29(유방동),경기도 용인시 처인구 유방동 288-1,37.25957756,127.2162008032,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",포곡빅스맘어린이집,경기도 용인시 포곡읍 포곡로118번길 13-3(협진원룸),경기도 용인시 처인구 포곡읍 둔전리 131-1,37.26931657,127.219805,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",나노시티 삼성어린이집,경기도 용인시 기흥구 농서로 186(농서동),경기도 용인시 기흥구 농서동 243,37.2259312,127.0785102589,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",강남큰빛유치원,경기도 용인시 기흥구 강남서로75번길 9(구갈동),경기도 용인시 기흥구 구갈동 556-3,37.27785888,127.1289663,경기도 용인시,용인동부경찰서,Y,1,8,2019-12-18
"어린이집",경기어린이집,경기도 용인시 처인구 이동읍 이원로 69-8,경기도 용인시 처인구 이동면 천리 97-1,37.18949656,127.2148837,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",삼성열린생태 어린이집,경기도 용인시 수지구 진산로 96(풍덕천동),경기도 용인시 수지구 풍덕천동 1168,37.3194052084,127.0974164837,경기도 용인시,용인서부경찰서,Y,1,20,2019-12-18
"어린이집",루소의숲어린이집,경기도 용인시 처인구 양지면 주북로 467,경기도 용인시 처인구 양지면 양지리 315-3,37.24355491,127.2822769,경기도 용인시,용인동부경찰서,Y,1,6~12,2019-12-18
"어린이집",세움어린이집,경기도 용인시 처인구 포곡읍 금어로 579,경기도 용인시 처인구 포곡읍 금어리 86-1,37.2928325275,127.2644073478,경기도 용인시,용인동부경찰서,Y,1,7,2019-12-18
"어린이집",원삼시립어린이집,경기도 용인시 원삼면 고당로16번길 3,경기도 용인시 처인구 원삼면 고당리 67-1,37.16515765,127.3105827065,경기도 용인시,용인동부경찰서,Y,1,5~8,2019-12-18
"어린이집",청덕꼬마천사어린이집,경기도 용인시 기흥구 청마로 11-1(청덕동),"경기도 용인시 기흥구 청덕동 311, 312",37.2975426517,127.1547781780,경기도 용인시,용인서부경찰서,Y,1,3,2019-12-18
"어린이집",세인트폴어린이집,경기도 용인시 기흥구 동백8로113번길 28(동백동),경기도 용인시 기흥구 동백동 155-2,37.2847872403,127.1656676,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"유치원",천사들의합창유치원,경기도 용인시 기흥구 동백죽전대로556번길 50(동백동),경기도 용인시 기흥구 동백동 431-22,37.2874710675,127.1559935131,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"어린이집",포곡어린이집,경기도 용인시 처인구 포곡읍 전대로110번길 10-1,경기도 용인시 처인구 포곡읍 전대리 325-4,37.2871034,127.2156932811,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"어린이집",풀꽃무리어린이집,경기도 용인시 기흥구 하갈동 35(하갈동),경기도 용인시 기흥구 하갈동 149-1,37.25336696,127.1009384,경기도 용인시,용인동부경찰서,Y,1,6,2019-12-18
"어린이집",신갈어린이집,경기도 용인시 기흥구 산양로 71(신갈동),경기도 용인시 기흥구 신갈동 720,37.2878707580,127.1116933,경기도 용인시,용인동부경찰서,Y,1,15,2019-12-18
"어린이집",홍익어린이집,경기도 용인시 처인구 모현읍 백옥대로 2585,경기도 용인시 처인구 모현면 왕산리 677-2,37.35381854,127.2456544868,경기도 용인시,용인동부경찰서,Y,1,18~22,2019-12-18
"어린이집",하피슐레어린이집,경기도 용인시 기흥구 언동로 186 효성빌딩,경기도 용인시 기흥구 중동 634-3 효성빌딩,37.27901038,127.1431036,경기도 용인시,용인동부경찰서,N,1,8,2019-12-18
"어린이집",광림어린이집,경기도 용인시 기흥구 동백죽전대로 245(중동),경기도 용인시 기흥구 중동 419-1,37.2632871370,127.1560157697,경기도 용인시,용인동부경찰서,N,1,6,2019-12-18
"어린이집",신나는창의나라 어린이집,경기도 용인시 기흥구 신구로22번길 11-7(구갈동),경기도 용인시 기흥구 구갈동 408-2,37.2750337,127.1106866,경기도 용인시,용인동부경찰서,Y,1,5,2019-12-18
"어린이집",시립영덕어린이집,경기도 용인시 기흥구 흥덕4로 59,경기도 용인시 기흥구 영덕동 1090,37.2770158223,127.0895997,경기도 용인시,용인동부경찰서,Y,1,10,2019-12-18
"어린이집",시립죽전어린이집,경기도 용인시 수지구 죽전로 254번길 2,경기도 용인시 수지구 죽전1동 1375-1,37.33226043,127.1284002108,경기도 용인시,용인서부경찰서,Y,1,28,2019-12-18
"어린이집",참자연 어린이집,경기도 용인시 기흥구 서그내로 53번길 7-10,경기도 용인시 기흥구 서천동 272-1번지,37.24147592,127.0725983,경기도 용인시,용인동부경찰서,Y,1,4,2019-12-18
"어린이집",방주어린이집,경기도 용인시 수지구 상현로 150 방주교회,경기도 용인시 수지구 상현동 78-32,37.31017401,127.0847839363,경기도 용인시,용인서부경찰서,Y,1,25,2019-12-18
"어린이집",숲속향기생태 어린이집,경기도 용인시 기흥구 마북로154번길 39(마북동),경기도 용인시 기흥구 마북동 222-9,37.3023752809,127.1280742017,경기도 용인시,용인서부경찰서,Y,1,6,2019-12-18
"어린이집",코코스어린이집,경기도 용인시 기흥구 구성로448번길 13(청덕동),경기도 용인시 기흥구 청덕동 298-19,37.29502198,127.1558287,경기도 용인시,용인서부경찰서,Y,1,6,2019-12-18
"어린이집",소망어린이집,경기도 용인시 처인구 모현읍 포은대로1272번길 29-10,경기도 용인시 처인구 모현면 동림리 90-1,37.33944721,127.1876308,경기도 용인시,용인동부경찰서,Y,1,7,2019-12-18
"초등학교",이현초등학교,경기도 용인시 기흥구 이현로 83(보정동),경기도 용인시 기흥구 보정동 1164,37.3102938187,127.0931046072,경기도 용인시,용인서부경찰서,Y,2,8,2019-12-18
"초등학교",효자초등학교,경기도 용인시 수지구 성복1로 106-1(성복동),경기도 용인시 수지구 성복동 732,37.3173537654,127.0673462820,경기도 용인시,용인서부경찰서,Y,1,7~18,2019-12-18
"초등학교",소현초등학교,경기도 용인시 수지구 만현로133번길 78(상현동),경기도 용인시 수지구 상현동 854,37.3019401,127.0924355832,경기도 용인시,용인서부경찰서,Y,3,6~9,2019-12-18
"초등학교",지석초등학교,경기도 용인시 기흥구 어정로 62-25(상하동),경기도 용인시 기흥구 상하동 435-8,37.2700481070,127.1390142900,경기도 용인시,용인동부경찰서,Y,1,8,2019-12-18
"초등학교",성산초등학교,경기도 용인시 처인구 백옥대로1362번길 41(유방동),경기도 용인시 처인구 유방동317-1,37.25861275,127.2158059894,경기도 용인시,용인동부경찰서,Y,3,3~6,2019-12-18
"초등학교",삼가초등학교,경기도 용인시 처인구 중부대로1158번길 45(감가동),경기도 용인시 처인구 삼가동 555,37.2367116267,127.1704941331,경기도 용인시,용인동부경찰서,Y,2,8~12,2019-12-18
"초등학교",둔전초등학교,경기도 용인시 처인구 포곡읍 포곡로118번길 61,경기도 용인시 처인구 포곡읍 둔전리 108-10,37.2687296948,127.2252819,경기도 용인시,용인동부경찰서,Y,1,12,2019-12-18
"초등학교",홍천초등학교,경기도 용인시 수지구 신봉2로14번길 49(신봉동),경기도 용인시 수지구 신봉동910,37.32668426,127.0798018908,경기도 용인시,용인서부경찰서,Y,1,7,2019-12-18
"초등학교",손곡초등학교,경기도 용인시 수지구 손곡로 68(동천동),경기도 용인시 수지구 동천동867,37.3368655653,127.0950061003,경기도 용인시,용인서부경찰서,Y,2,7~14,2019-12-18
"초등학교",신리초등학교,경기도 용인시 수지구 신봉1로48번길 6(신봉동),경기도 용인시 수지구 신봉동882,37.3223586387,127.0808804656,경기도 용인시,용인서부경찰서,Y,2,9~10,2019-12-18
"초등학교",갈곡초등학교,경기도 용인시 기흥구 강남동로 61(구갈동),경기도 용인시 기흥구 구갈동601,37.2712837512,127.1332529582,경기도 용인시,용인동부경찰서,Y,1,21,2019-12-18
"초등학교",신릉초등학교,경기도 용인시 기흥구 새천년로 53(신갈동),경기도 용인시 기흥구 신갈동 686,37.2902609723,127.1147732954,경기도 용인시,용인동부경찰서,Y,1,15,2019-12-18
"초등학교",대덕초등학교,경기도 용인시 수지구 죽전동 293번길 14(죽전동),경기도 용인시 수지구 죽전동1158,37.3368150816,127.1259163890,경기도 용인시,용인서부경찰서,Y,2,8,2019-12-18
"초등학교",신촌초등학교,경기도 용인시 수지구 죽전로27번길 14-19(죽전동),경기도 용인시 수지구 죽전동1299,37.3231426148,127.1136679653,경기도 용인시,용인서부경찰서,Y,2,8,2019-12-18
"초등학교",독정초등학교,경기도 용인시 기흥구 보정로 100(보정동),경기도 용인시 기흥구 보정동 1256,37.3188691949,127.1162062,경기도 용인시,용인서부경찰서,Y,1,21,2019-12-18
"초등학교",대청초등학교,경기도 용인시 수지구 죽전로 276(죽전동),경기도 용인시 수지구 죽전동 1389,37.3341879050,127.1290489697,경기도 용인시,용인서부경찰서,Y,4,7~20,2019-12-18
"초등학교",지곡초등학교,경기도 용인시 기흥구 사은로 274-45(지곡동),경기도 용인시 기흥구 지곡동703,37.2521831893,127.1382104688,경기도 용인시,용인동부경찰서,Y,1,11,2019-12-18
"초등학교",현암초등학교,경기도 용인시 수지구 대지로 146(죽전동),경기도 용인시 수지구 죽전동1229,37.3288115451,127.1247611669,경기도 용인시,용인서부경찰서,Y,3,8~15,2019-12-18
"초등학교",성지초등학교,경기도 용인시 기흥구 강남서로 38(구갈동),경기도 용인시 기흥구 구갈동575,37.2749687396,127.1286050485,경기도 용인시,용인동부경찰서,Y,1,18,2019-12-18
"초등학교",이동초등학교,경기도 용인시 처인구 이동읍 백옥대로587번길 22,경기도 용인시 처인구 이동면 천리 1131,37.1908898393,127.2035123547,경기도 용인시,용인동부경찰서,Y,1,6~8,2019-12-18
"초등학교",언남초등학교,경기도 용인시 기흥구 기흥로116번길 87(언남동),경기도 용인시 기흥구 언남동498,37.2897588308,127.1195902435,경기도 용인시,용인서부경찰서,Y,2,21,2019-12-18
"초등학교",신일초등학교,경기도 용인시 수지구 신봉2로48번길 28(신봉동),경기도 용인시 수지구 신봉동 920,37.3292879129,127.0776924561,경기도 용인시,용인서부경찰서,Y,1,7~17,2019-12-18
"초등학교",동막초등학교,경기도 용인시 기흥구 동백8로 39(동백동),경기도 용인시 기흥구 동백동 576,37.2860804625,127.1555395682,경기도 용인시,용인동부경찰서,Y,1,14,2019-12-18
"초등학교",백현초등학교,경기도 용인시 기흥구 동백8로 108(동백동),경기도 용인시 기흥구 동백동 600,37.28318857,127.1623940154,경기도 용인시,용인동부경찰서,Y,1,21,2019-12-18
"초등학교",동백초등학교,경기도 용인시 기흥구 동백평촌로 69(동백동),경기도 용인시 기흥구 동백동 658,37.2805506189,127.1563712,경기도 용인시,용인동부경찰서,Y,1,21,2019-12-18
"초등학교",석성초등학교,경기도 용인시 기흥구 동백2로 53(중동),경기도 용인시 기흥구 중동 955,37.2703557822,127.1580687855,경기도 용인시,용인동부경찰서,Y,1,21,2019-12-18
"초등학교",초당초등학교,경기도 용인시 기흥구 동백중앙로 78 (중동),경기도 용인시 기흥구 중동 1010,37.2634715536,127.1609083,경기도 용인시,용인동부경찰서,Y,1,21,2019-12-18
"초등학교",좌항초등학교,경기도 용인시 처인구 원양로603,경기도 용인시 처인구 원삼면 좌항리 126,37.20150852,127.3205268,경기도 용인시,용인동부경찰서,Y,1,6~8,2019-12-18
