"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",고천초등학교,경기도 의왕시 효행로 10,경기도 의왕시 고천동 296-1번지,37.3484763,126.9752537,경기도 의왕시청,의왕경찰서,Y,,6~14,2019-04-11
"초등학교",왕곡초등학교,경기도 의왕시 왕곡로 58,경기도 의왕시 왕곡동 604번지,37.3453419,126.9805027,경기도 의왕시청,의왕경찰서,Y,,8~20,2019-04-11
"초등학교",부곡초등학교,경기도 의왕시 철도박물관로 143 (삼동),경기도 의왕시 삼동 158번지,37.3184835,126.9537621,경기도 의왕시청,의왕경찰서,Y,,9~12,2019-04-11
"초등학교",덕성초등학교,경기도 의왕시 덕영대로 123,경기도 의왕시 삼동 263번지,37.3213144,126.9581715,경기도 의왕시청,의왕경찰서,Y,,10~25,2019-04-11
"초등학교",오전초ㆍ모락초ㆍ해나라유치원,경기도 의왕시 찬우물길 49,경기도 의왕시 오전동 848번지,37.3545034,126.9723621,경기도 의왕시청,의왕경찰서,Y,,9~15,2019-04-11
"초등학교",의왕초등학교,경기도 의왕시 모락로 56 (오전동),경기도 의왕시 오전동 산 78-12번지,37.3637249,126.9681349,경기도 의왕시청,의왕경찰서,Y,,17~33,2019-04-11
"초등학교",백운초등학교,경기도 의왕시 백운초등길 4,경기도 의왕시 내손동 622번지,37.3858322,126.974698,경기도 의왕시청,의왕경찰서,Y,,8~25,2019-04-11
"초등학교",내손ㆍ내동초등학교,경기도 의왕시 내손순환로 175 (내손동),경기도 의왕시 내손동 647-1번지,37.3888606,126.9792025,경기도 의왕시청,의왕경찰서,Y,,20~25,2019-04-11
"초등학교",갈뫼초등학교,경기도 의왕시 갈미로 27,경기도 의왕시 내손동 780번지,37.3765332,126.972229,경기도 의왕시청,의왕경찰서,Y,,16~25,2019-04-11
"초등학교",덕장초등학교,경기도 의왕시 덕장로 33 (청계동),경기도 의왕시 포일동 70-2,37.3930796,126.9971678,경기도 의왕시청,의왕경찰서,Y,,8~20,2019-04-11
"초등학교",포일초등학교,경기도 의왕시 포일세거리로 51 (포일동),경기도 의왕시 포일동 435번지,37.3994756,126.985501,경기도 의왕시청,의왕경찰서,Y,,20~22,2019-04-11
"유치원",한우리유치원,경기도 의왕시 현충탑길 3,경기도 의왕시 왕곡동 296-2,37.3466479,126.9780871,경기도 의왕시청,의왕경찰서,Y,,10,2019-04-11
"유치원",자연유치원,경기도 의왕시 위인로 25,경기도 의왕시 왕곡동 602-1,37.3437288,126.9788894,경기도 의왕시청,의왕경찰서,Y,,12,2019-04-11
"어린이집",성결어린이집,경기도 의왕시 신장승길 7,경기도 의왕시 삼동 208-35,37.320394,126.9546747,경기도 의왕시청,의왕경찰서,Y,,8,2019-04-11
"어린이집",꿈나무어린이집,경기도 의왕시 모락로 105-8,경기도 의왕시 오전동 19,37.3676384,126.9659221,경기도 의왕시청,의왕경찰서,Y,,8,2019-04-11
"어린이집",리틀훼밀리ㆍ숲속어린이집,경기도 의왕시 왕곡로 200,경기도 의왕시 왕곡동 19-1,37.3459205,126.9961106,경기도 의왕시청,의왕경찰서,Y,,12,2019-04-11
"어린이집",시립왕곡어린이집,경기도 의왕시 왕곡로 47-18,경기도 의왕시 왕곡동 591,37.3476122,126.9791703,경기도 의왕시청,의왕경찰서,N,,8,2019-04-11
"어린이집",지구촌어린이집,경기도 의왕시 묵배미길 3,경기도 의왕시 오전동 468-1,37.353998,126.986172,경기도 의왕시청,의왕경찰서,N,,8,2019-04-11
