"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",샘터유치원,경기도 의정부시 오목로122번길 20 (민락동),경기도 의정부시 민락동 579,37.7380048,127.0945162,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",산내들유치원,경기도 의정부시 용현로159번길 18 (민락동),경기도 의정부시 민락동 692-3,37.7412997874,127.0942181591,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",성지어린이집,경기도 의정부시 동일로466번길 21 (신곡동),경기도 의정부시 신곡동 359-1,37.7294147257,127.060418,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",연화유치원,경기도 의정부시 둔야로5번길 70 (의정부동),경기도 의정부시 의정부동 517-1,37.7362424285,127.0386540032,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",유정유치원,경기도 의정부시 부용로213번길 39 (신곡동),경기도 의정부시 신곡동 774-1,37.7513101053,127.0813434,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",자비유치원,경기도 의정부시 태평로138번길 16 (의정부동),경기도 의정부시 의정부동 9-13,37.7449523,127.0519744,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",코코유치원,경기도 의정부시 누원로 37 (장암동),경기도 의정부시 장암동 414-4,37.6885429351,127.0529598703,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"유치원",열매유치원,경기도 의정부시 평화로 360 (호원동),경기도 의정부시 호원동 430,37.7239242849,127.0485839991,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",경기어린이집,경기도 의정부시 금신로 306 (신곡동),경기도 의정부시 신곡동 95-1,37.7446068260,127.063995,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",예초어린이집,경기도 의정부시 안말로58번안길 96-16 (호원동),경기도 의정부시 호원동 247-4,37.7122131982,127.0446432463,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",호원승리어린이집,경기도 의정부시 신흥로 57-31 (호원동),경기도 의정부시 호원동 291-4,37.7207238,127.0413577,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",참다운어린이집,경기도 의정부시 비우로99번길 12 (녹양동),경기도 의정부시 녹양동 83-93,37.7590190626,127.0381665275,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",성애쉐마어린이집,경기도 의정부시 오목로19번길 18 (용현동),경기도 의정부시 용현동 39-24,37.7330680074,127.0854453804,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",어룡어린이집,경기도 의정부시 산단로76번길 77 (용현동),경기도 의정부시 용현동 524-2,37.7430616,127.0822038,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"어린이집",YMCA어린이집,경기도 의정부시 신흥로207번길 27 (의정부동),경기도 의정부시 의정부동 560,37.7345654659,127.0420383432,경기도 의정부시청,의정부경찰서,Y,1,,2019-04-01
"초등학교",가능초등학교,경기도 의정부시 의정로 140번길 15(가능동),경기도 의정부시 가능동 724-3,37.7464819334,127.0358318146,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",경의초등학교,경기도 의정부시 경의로 135 (의정부동),경기도 의정부시 의정부동 366,37.734143,127.0511046473,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",고산초등학교,경기도 의정부시 고산로 121 (고산동),경기도 의정부시 고산동 464,37.7317002814,127.1055319471,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",금오초등학교,경기도 의정부시 천보로 418 (금오동),경기도 의정부시 금오동 234-47,37.7560733098,127.0658310157,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",녹양초등학교,경기도 의정부시 체육로 265-25 (녹양동),경기도 의정부시 녹양동 398,37.7629191151,127.0360349433,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",동암초등학교,경기도 의정부시 장곡로 206 (장암동),경기도 의정부시 장암동 37-52,37.7231757943,127.0542821360,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",동오초등학교,경기도 의정부시 추동로23번길 10 (신곡동),경기도 의정부시 신곡동 669-3,37.744516,127.0584367978,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",민락초등학교,경기도 의정부시 용현로159번길 26 (민락동),경기도 의정부시 민락동 692-2,37.7421786407,127.0948319410,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
"초등학교",발곡초등학교,경기도 의정부시 동일로454번길 74 (신곡동),경기도 의정부시 신곡동 727-3,37.7283898444,127.0630749635,경기도 의정부시청,의정부경찰서,Y,2,,2019-04-01
