"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",율면초교,경기도 이천시 율면 고당로 48,경기도 이천시 율면 고당리 545번지,37.0881868,127.5430206,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",사동초교,경기도 이천시 대월면 경충대로2003번길 124-87,경기도 이천시 대월면 사동리 430번지,37.2417682,127.4872498,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",사동몬테소리 어린이집,경기도 이천시 대월면 경충대로2003번길 55,경기도 이천시 대월면 사동리 332-8번지,37.243749,127.4920180,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"어린이집",증포아이사랑어린이집,경기도 이천시 황무로 938번길 113,경기도 이천시 증포동 311-2번지,37.2983275,127.4498780,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",가람어린이집,경기도 이천시 부발읍 경충대로2285번길 11,경기도 이천시 부발읍 신하리 431번지,37.2622595,127.4730892,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",리틀킹어린이집,경기도 이천시 증신로 269번길 31,경기도 이천시 송정동 106-38번지,37.2937604,127.4406866,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"유치원",지예슬유치원,경기도 이천시 증신로156번길 37,경기도 이천시 증포동 180-5번지,37.290954313,127.45351605,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"유치원",하늘땅별땅유치원,경기도 이천시 호법면 이섭대천로783번길 1,경기도 이천시 호법면 유산리 550-18번지,37.2409260,127.4399659,경기도 이천시청,이천경찰서,Y,01,09,2019-07-30
"유치원",이천유치원,경기도 이천시 증신로 290-6,경기도 이천시 송정동 107-82번지,37.2966485448,127.4411936672,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",이천초교,경기도 이천시 서희로 81번길 20,경기도 이천시 창전동 421-21번지,37.2840120061,127.4422413,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",대월초교,경기도 이천시 대월면 대평로178번길 48,경기도 이천시 대월면 초지리 426번지,37.2236614,127.4927260,경기도 이천시청,이천경찰서,Y,02,06,2019-07-30
"초등학교",송곡초교,경기도 이천시 모가면 진상미로 1054,경기도 이천시 모가면 송곡리 295번지,37.1523681,127.4837269,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"특수학교",다원학교,경기도 이천시 부발읍 무촌리 128-8,경기도 이천시 부발읍 무촌리 123,37.2784172237,127.486676853,경기도 이천시청,이천경찰서,N,00,06,2019-07-30
"초등학교",신하초교,경기도 이천시 부발읍 경충대로 2250번길 12,경기도 이천시 부발읍 신하리 374-2번지,37.2611389,127.4788795,경기도 이천시청,이천경찰서,Y,02,06,2019-07-30
"초등학교",매곡초교,경기도 이천시 호법면 이섭대천로96번길 8,경기도 이천시 호법면 매곡리 산10번지,37.2144357,127.3946667,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
"초등학교",표교초교,경기도 이천시 마장면 중부대로 609번길 28-1,경기도 이천시 마장면 표교리 229번지,37.2568670,127.4056716,경기도 이천시청,이천경찰서,Y,02,06,2019-07-30
"초등학교",설성초교,경기도 이천시 설성면 진상미로264번길 21-165,경기도 이천시 설성면 행죽리 79-2번지,37.1102099,127.5372738,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",한내초교,경기도 이천시 갈산로 71,경기도 이천시 증포동 70-5번지,37.2902892,127.461491,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",장천초교,경기도 이천시 설성면 설성로 165-25,경기도 이천시 설성면 장천리 59번지,37.1457981,127.5280685,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",대서초교,경기도 이천시 장호원읍 서동대로 8487번길 23-24,경기도 이천시 장호원읍 대서리 산14번지,37.1136138,127.575993,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",나래초교,경기도 이천시 장호원읍 이풍로63번길 114,경기도 이천시 장호원읍 나래리 293-5번지,37.1700022,127.5881886,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"초등학교",가산초교,경기도 이천시 부발읍 황무로2065번길 112,경기도 이천시 부발읍 가산리 312번지,37.2419572,127.5180875,경기도 이천시청,이천경찰서,Y,01,09,2019-07-30
"초등학교",안흥초교,경기도 이천시 영창로 300번길 16,경기도 이천시 안흥동 344-1번지,37.2802596,127.4561964,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
"초등학교",송정초교,경기도 이천시 영창로 45번길 165,경기도 이천시 송정동 375-23번지,37.2941284,127.4333217,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",아미초교,경기도 이천시 부발읍 신아로92번길 32,경기도 이천시 부발읍 아미리 761-1번지,37.2580735,127.4909119,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",증포초교,경기도 이천시 이섭대천로 1418,경기도 이천시 증포동 207-6번지,37.2940452,127.4569755,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
"어린이집",작은별어린이집,경기도 이천시 아리역로 7-3,경기도 이천시 창전동 440-1,37.2859376,127.4477754,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",아이랜드어린이집,경기도 이천시 모가면 진상미로 1385번길 50,경기도 이천시 모가면 진가리 211-5,37.1781101,127.4770459,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",장미어린이집,경기도 이천시 장호원읍 서동대로 8543번길 109,경기도 이천시 장호원읍 송사리 484,37.1185788,127.5814637,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"어린이집",파란새싹어린이집,경기도 이천시 부발읍 무촌로131번길 12,경기도 이천시 부발읍 무촌리 166-36,37.2839315,127.4875423,경기도 이천시청,이천경찰서,Y,01,04,2019-07-30
"어린이집",창의나라어린이집,경기도 이천시 경충대로2716번길 26,경기도 이천시 관고동 232-12,37.2796164,127.435082,경기도 이천시청,이천경찰서,Y,02,06,2019-07-30
"어린이집",이천어린이집,경기도 이천시 서희로 82번길 46,경기도 이천시 창전동 139,37.2821852,127.4458788,경기도 이천시청,이천경찰서,Y,02,09,2019-07-30
"어린이집",산들어린이집,경기도 이천시 증신로 248번길 132-14,경기도 이천시 송정동 52-3,37.2980573,127.4473108,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"어린이집",어린왕자어린이집,경기도 이천시 부발읍 경충대로2300번길 78,경기도 이천시 부발읍 신하리 235-1번지,37.2656337,127.4759522,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",으뜸펀키즈 어린이집,경기도 이천시 갈산로 21,경기도 이천시 증포동 159-2번지,37.2893143,127.4557522,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",창조아트 어린이집,경기도 이천시 백사면 청백리로 84번길 74,경기도 이천시 백사면 모전리 581-8번지,37.3013986,127.4729934,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",하이어린이집,경기도 이천시 부발읍 대산로 532번길 8-35,경기도 이천시 부발읍 신하리 351-5번지,37.2624693,127.4845243,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"어린이집",조이플키즈어린이집,경기도 이천시 부발읍 신아로128번길 74-51,경기도 이천시 부발읍 아미리 635-4번지,37.2544291,127.4940033,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"어린이집",우진어린이집,경기도 이천시 대월면 대산로 123,경기도 이천시 대월면 대흥리 361-1번지,37.2323331,127.4766846,경기도 이천시청,이천경찰서,Y,01,09,2019-07-30
"어린이집",아미어린이집,경기도 이천시 대월면 경충대로 2003번길 100-104,경기도 이천시 대월면 사동리 441-2번지,37.2442303,127.4852146,경기도 이천시청,이천경찰서,N,00,05,2019-07-30
"유치원",큰별유치원,경기도 이천시 마장면 오천로 94,경기도 이천시 마장면 오천리 65번지,37.2492447,127.3563265,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
"유치원",그린나라유치원,경기도 이천시 증신로 22-57,경기도 이천시 갈산동 87-3번지,37.2809157,127.4649348,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"유치원",장호원유치원,경기도 이천시 장호원읍 장터로 35,경기도 이천시 장호원읍 장호원리 102-5,37.115846,127.6287266,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
"유치원",은광유치원,경기도 이천시 증신로 22-60,경기도 이천시 안흥동 128-1번지,37.2803812,127.4643531,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"유치원",토마토유치원,경기도 이천시 부발읍 대산로 626-3,경기도 이천시 부발읍 산촌리 444-2,37.2695428,127.4905005,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",이천남초교,경기도 이천시 경충대로 2614번길 32,경기도 이천시 중리동 455번지,37.2767637,127.4441140,경기도 이천시청,이천경찰서,Y,03,06,2019-07-30
"어린이집",하버드어린이집,경기도 이천시 증신로271번길 62,경기도 이천시 송정동 321-6번지,37.2962155,127.4381365,경기도 이천시청,이천경찰서,Y,01,05,2019-07-30
"초등학교",장호원초교,경기도 이천시 장호원읍 장감로 46,경기도 이천시 장호원읍(리) 104번지,37.1155859,127.6273842,경기도 이천시청,이천경찰서,Y,03,12,2019-07-30
"초등학교",설봉초교,경기도 이천시 향교로 129,경기도 이천시 창전동 산7-6번지,37.2845610,127.4526219,경기도 이천시청,이천경찰서,Y,02,06,2019-07-30
"초등학교",도암초교,경기도 이천시 신둔면 증신로 550,경기도 이천시 신둔면 도암리 366번지,37.3188320,127.4422677,경기도 이천시청,이천경찰서,Y,01,06,2019-07-30
"초등학교",마장초교,경기도 이천시 마장면 오천로 130,경기도 이천시 마장면 오천리 71번지,37.2464968,127.3584748,경기도 이천시청,이천경찰서,Y,01,12,2019-07-30
