"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",슬기어린이집,경기도 파주시 파주읍 교육길 80,경기도 파주시 파주읍 연풍리 425-2번지,37.8306614,126.835742,경기도파주시,파주경찰서,Y,1,12,2019-08-30
"유치원",예림유치원,경기도 파주시 파주읍 성현로 67,경기도 파주시 파주읍 향양리 390-2번지,37.854954,126.8128069,경기도파주시,파주경찰서,Y,1,12,2019-08-30
"어린이집",EPS어린이집,경기도 파주시 파주읍 충현로 42-42,경기도 파주시 파주읍 봉서리 384번지,37.8493571,126.7953641,경기도파주시,파주경찰서,Y,2,12,2019-08-30
"유치원",딩동댕유치원,경기도 파주시 평화로 34 (금촌동),경기도 파주시 금촌동 295-16번지,37.760741,126.771788,경기도파주시,파주경찰서,Y,2,12,2019-08-30
"어린이집",아이슐레어린이집,경기도 파주시 한마음1길 23 (금촌동),경기도 파주시 금촌동 924번지,37.7562913,126.770646,경기도파주시,파주경찰서,Y,1,,2019-08-30
"유치원",예은유치원,경기도 파주시 한빛로 30,경기도 파주시 야당동 1014번지,37.7084024,126.7569038,경기도파주시,파주경찰서,Y,1,12,2019-08-30
"초등학교",가온초교(병설),경기도 파주시 가온로 134(목동동),경기도 파주시 목동동 687번지,37.7206794155,126.747281871,경기도파주시,파주경찰서,Y,3,12,2019-08-30
"초등학교",검산초교(병설),경기도 파주시 검산로 10(검산동),경기도 파주시 검산동 548-2번지,37.7763675,126.7386299,경기도파주시,파주경찰서,Y,3,,2019-08-30
"초등학교",지산초교(병설),경기도 파주시 경의로 1274(와동동),경기도 파주시 와동동 1339-5번지,37.7309999,126.7613976,경기도파주시,파주경찰서,Y,2,,2019-08-30
"초등학교",도마산초교(병설),경기도 파주시 광탄면 부흥로 257,경기도 파주시 광탄면 창만리 80-8번지,37.8017973,126.876223,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",신산초교(병설),경기도 파주시 광탄면 심궁로 13,경기도 파주시 광탄면 신산리 199번지,37.7802948,126.852857,경기도파주시,파주경찰서,Y,2,,2019-08-30
"초등학교",용미초교(병설),경기도 파주시 광탄면 장지산로 78,경기도 파주시 광탄면 용미리 72-1번지,37.7433576,126.888206,경기도파주시,파주경찰서,Y,1,,2019-08-30
"유치원",신애유치원,경기도 파주시 광탄면 혜음로 1060,경기도 파주시 광탄면 신산리 148-1번지,37.777435,126.851153,경기도파주시,파주경찰서,Y,1,,2019-08-30
"어린이집",광탄어린이집,경기도 파주시 광탄면 혜음로 1305(신산리 251-11번지),경기도 파주시 광탄면 신산리 251-11번지,37.7974147,126.8471167,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",산내초교,경기도 파주시 교하로 140,경기도 파주시 목동동 1148,37.722634,126.736665,경기도파주시,파주경찰서,Y,1,,2019-08-30
"어린이집",창조어린이집,경기도 파주시 운정로 77-49,경기도 파주시 상지석동 604-6번지,37.7244021,126.7758171,경기도파주시,파주경찰서,N,,,2019-08-30
"유치원",새롬유치원,경기도 파주시 아동동 283-9 팜스프링아파트내,경기도 파주시 아동동 283-9 팜스프링아파트내,37.773777,126.778621,경기도파주시,파주경찰서,Y,1,,2019-08-30
"유치원",유정유치원,경기도 파주시 와동동 192-4,경기도 파주시 와동동 192-4,37.728032,126.761245,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",월롱초교(병설),경기도 파주시 월롱면 월롱초교길 40,경기도 파주시 월롱면 덕은리 303-1번지,37.8008954165,126.780365,경기도파주시,파주경찰서,Y,2,,2019-08-30
"초등학교",금신초교(병설),경기도 파주시 금신초교길 10(금촌동),경기도 파주시 금촌동 369-1번지,37.767079,126.7722292,경기도파주시,파주경찰서,Y,2,,2019-08-30
"초등학교",문산초교(병설),경기도 파주시 문산읍 문향로67번길 58,경기도 파주시 문산읍 문산리 86번지,37.8605675,126.782963,경기도파주시,파주경찰서,Y,3,,2019-08-30
"초등학교",문산동초교(병설),경기도 파주시 문산읍 선유울3길 85,경기도 파주시 문산읍 선유리 788-1번지,37.865773,126.798425,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",한빛초교(병설),경기도 파주시 미래로408번길 77(야당동),경기도 파주시 야당동 983번지,37.7143098,126.7511447,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",웅담초교(병설),경기도 파주시 법원읍 수작골길 14,경기도 파주시 법원읍 웅담리 387-1번지,37.9142770,126.895678,경기도파주시,파주경찰서,Y,1,,2019-08-30
"어린이집",ASE어린이집,경기도 파주시 산업단지길 64 ASE 어린이집,경기도 파주시 문발동 494번지 ASE 어린이집,37.728454,126.710611,경기도파주시,파주경찰서,Y,1,,2019-08-30
"유치원",팜스신나는유치원,경기도 파주시 송화로 73-42(금촌동),경기도 파주시 금촌동 7-36번지,37.774652,126.775258,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",적서초교(병설),경기도 파주시 적성면 적서초교길 3,경기도 파주시 적성면 식현리 54-1번지,37.9508595,126.897224,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",파주대원초교(병설),경기도 파주시 조리읍 대원로 30,경기도 파주시 조리읍 대원리 203번지,37.727341,126.8192660,경기도파주시,파주경찰서,Y,2,,2019-08-30
"유치원",행복한유치원,경기도 파주시 조리읍 대원리 992-7,경기도 파주시 조리읍 대원리 992-7,37.7419897,126.802538,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",봉일천초교(병설),경기도 파주시 조리읍 통일로 333,경기도 파주시 조리읍 봉일천리 191-6번지,37.7450036911,126.8073335986,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",석곶초교(병설),경기도 파주시 책향기로 451(동패동),경기도 파주시 동패동 1700번지,37.7253936,126.721865,경기도파주시,파주경찰서,Y,1,,2019-08-30
"초등학교",청석초교(병설),경기도 파주시 청석로 330(다율동),경기도 파주시 다율동 983번지,37.7307572,126.719575,경기도파주시,파주경찰서,Y,1,,2019-08-30
