"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",성동초등학교,경기도 평택시 중앙로 89,경기도 평택시 비전동 611-1,36.9953627418,127.093371,경기도 평택시청,평택경찰서,Y,4,,2019-09-25
"초등학교",송탄초등학교,경기도 평택시 막곡길 67,경기도 평택시 가재동 200-3,37.0422452709,127.0870884652,경기도 평택시청,평택경찰서,Y,2,,2019-09-25
"초등학교",군문초등학교,경기도 평택시 원평로 21,경기도 평택시 군문동 202-10,36.9877457630,127.0851526872,경기도 평택시청,평택경찰서,Y,3,,2019-09-25
"초등학교",홍원초등학교,경기도 평택시 포승읍 외원길 26,경기도 평택시 포승읍 홍원리 58-4,37.0143788862,126.8895127986,경기도 평택시청,평택경찰서,Y,2,,2019-09-25
"초등학교",안중초등학교,경기도 평택시 안중읍 안중로 89,경기도 평택시 안중면 안중리 252,36.989646,126.926015,경기도 평택시청,평택경찰서,Y,4,,2019-09-25
"초등학교",서탄초등학교,경기도 평택시 서탄면 금암2길 121,경기도 평택시 서탄면 금암리 245,37.1073867197,127.0361405367,경기도 평택시청,평택경찰서,Y,2,,2019-09-25
"초등학교",동삭초등학교,경기도 평택시 동삭로 370,경기도 평택시 동삭동 산26-1,37.018608,127.0968603342,경기도 평택시청,평택경찰서,Y,3,,2019-09-25
"초등학교",송화초등학교,경기도 평택시 팽성읍 송화택지로25번길,경기도 평택시 팽성읍 송화리 783-6,36.9626850535,127.057205,경기도 평택시청,평택경찰서,Y,3,,2019-09-25
"초등학교",안일초등학교,경기도 평택시 안중읍 안중로 13,경기도 평택시 안중읍 현화리 845-1,36.9828755103,126.9243190368,경기도 평택시청,평택경찰서,Y,4,,2019-09-25
"초등학교",현일초등학교,경기도 평택시 안중읍 현화중앙길 83,경기도 평택시 안중읍 현화리 823-1,36.9861128922,126.9198722781,경기도 평택시청,평택경찰서,Y,2,,2019-09-25
