"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",선단초교,경기도 포천시 삼육사로2111번길 29,경기도 포천시 선단동 765-1,37.8615058,127.1555934,경기도 포천시청,포천경찰서,Y,9,7,2019-09-09
"초등학교",신북초교,경기도 포천시 신북면 청신로 2079-19,경기도 포천시 신북면 신평리 361-3,37.938645,127.219866,경기도 포천시청,포천경찰서,Y,8,7,2019-09-09
"초등학교",외북초교,경기도 포천시 신북면 포천로 2199,경기도 포천시 신북면 계류리 54-3,37.9469096,127.187471,경기도 포천시청,포천경찰서,Y,4,7,2019-09-09
"초등학교",운담초교,경기도 포천시 일동면 화동로 1239,경기도 포천시 일동면 화대리 608-2,37.971814,127.329236,경기도 포천시청,포천경찰서,Y,4,7,2019-09-09
"초등학교",유암초교,경기도 포천시 가산면 유교로88번길 8,경기도 포천시 가산면 감암리 503-1,37.868562,127.192148,경기도 포천시청,포천경찰서,Y,5,7,2019-09-09
"초등학교",축석초교,경기도 포천시 소흘읍 무란1길 25,경기도 포천시 소흘읍 이동교리 645,37.7882195,127.121804,경기도 포천시청,포천경찰서,Y,2,13,2019-09-09
"초등학교",관인초교,경기도 포천시 관인면 관인로 5,경기도 포천시 관인면 탄동리 664-1,38.156738,127.250137,경기도 포천시청,포천경찰서,Y,4,13,2019-09-09
"초등학교",금주초교,경기도 포천시 영중면 궁들길 50,경기도 포천시 영중면 금주리 522-1,37.973461,127.260566,경기도 포천시청,포천경찰서,Y,5,6,2019-09-09
"초등학교",내촌초교,경기도 포천시 내촌면 내촌로 88,경기도 포천시 내촌면 내리 334-5,37.7870015035,127.2297119960,경기도 포천시청,포천경찰서,Y,4,7,2019-09-09
"초등학교",노곡초교,경기도 포천시 이동면 성장로869번길 4,경기도 포천시 이동면 노곡리 846-6,38.0082198,127.335331,경기도 포천시청,포천경찰서,Y,7,7,2019-09-09
"초등학교",도평초교,경기도 포천시 이동면 도리돌길 21,경기도 포천시 이동면 도평리 356-1,38.056361,127.380743,경기도 포천시청,포천경찰서,Y,4,6,2019-09-09
"초등학교",송우초교,경기도 포천시 소흘읍 송우로 42,경기도 포천시 소흘읍 송우리 214,37.829582,127.143622,경기도 포천시청,포천경찰서,Y,4,13,2019-09-09
"초등학교",영북초교,경기도 포천시 영북면 영북로148번길 46,경기도 포천시 영북면 운천리 342-2,38.090344,127.276227,경기도 포천시청,포천경찰서,Y,1,21,2019-09-09
"초등학교",가산초교,경기도 포천시 가산면 가산로309번길 25,경기도 포천시 가산면 마산리 406,37.847856,127.1852303,경기도 포천시청,포천경찰서,Y,13,6,2019-09-09
"초등학교",화현초교,경기도 포천시 화현면 달인동로1길 29,경기도 포천시 화현면 화현리 847-1,37.9018183865,127.2843494718,경기도 포천시청,포천경찰서,Y,4,7,2019-09-09
"초등학교",영중초교,경기도 포천시 영중면 호국로 3054,경기도 포천시 영중면 성동리 891-3,38.0151101,127.248478,경기도 포천시청,포천경찰서,Y,1,13,2019-09-09
"초등학교",영평초교,경기도 포천시 영중면 전영로1429번길 13-11,경기도 포천시 영중면 영평리 240,38.0157123672,127.2177608381,경기도 포천시청,포천경찰서,Y,5,7,2019-09-09
"초등학교",이곡초교,경기도 포천시 소흘읍 이곡길 5,경기도 포천시 소흘읍 이곡리 197,37.778369,127.148675,경기도 포천시청,포천경찰서,Y,6,7,2019-09-09
"초등학교",이동초교,경기도 포천시 이동면 화동로 2034,경기도 포천시 이동면 장암리 252-3,38.0299793482,127.3681909282,경기도 포천시청,포천경찰서,Y,6,7,2019-09-09
