"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",시립초롱어린이집,경기도 하남시 덕산로 75,경기도 하남시 덕풍동 678,37.5356068810,127.1955116429,경기도 하남시청,경기도 하남경찰서,Y,3,,2019-05-31
"어린이집",아이킹어린이집,경기도 하남시 샘재로 91-6,경기도 하남시 천현동 355-6,37.5294375289,127.2118185,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",유니온어린이집,경기도 하남시 더우개로 49,경기도 하남시 신장동 90-7,37.5428209529,127.2206623,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",명성어린이집,경기도 하남시 덕풍서로 15,경기도 하남시 덕풍동 779,37.5503424,127.2005339,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",솔로몬어린이집,경기도 하남시 대성로 281,경기도 하남시 덕풍동 512-7,37.5344545,127.2035281,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",열린어린이집,경기도 하남시 초광로 254,경기도 하남시 초이동 198-2,37.5426621,127.1757734,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",사랑나무어린이집,경기도 하남시 신장로205번길 30,경기도 하남시 덕풍동 690,37.5421521113,127.1974523357,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"어린이집",청뜰어린이집,경기도 하남시 청뜰로 25,경기도 하남시 풍산동 255-1,37.5468715,127.1829033,경기도 하남시청,경기도 하남경찰서,Y,3,,2019-05-31
"어린이집",바롬새롬어린이집,경기도 하남시 검단산로 46,경기도 하남시 하산곡동 124,37.5201072,127.2261428,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"어린이집",시립은방울어린이집,경기도 하남시 덕풍천서로 9,경기도 하남시 신장동 521-5,37.5417126813,127.2158407055,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"유치원",푸른숲속 유치원,경기도 하남시 대성로181번길 38,경기도 하남시 춘궁동 163-2,37.527287,127.1966393,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"유치원",구산유치원,경기도 하남시 미사강변대로226번길 33,경기도 하남시 망월동 964,37.5701223,127.1859893678,경기도 하남시청,경기도 하남경찰서,Y,3,,2019-05-31
"유치원",미담유치원,경기도 하남시 미사강변북로85번길 16,경기도 하남시 망월동 899,37.5729741395,127.188160747,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"유치원",미사랑유치원,경기도 하남시 미사강변대로54번길 108,경기도 하남시 풍산동 508,37.5576371836,127.189425968,경기도 하남시청,경기도 하남경찰서,Y,3,,2019-05-31
"유치원",달봄유치원,경기도 하남시 미사강변북로30번길 56,경기도 하남시 망월동 1023,37.5692348409,127.182563,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"유치원",위례유치원,경기도 하남시 위례순환로 314,경기도 하남시 학암동 667,37.4772498162,127.15197345,경기도 하남시청,경기도 하남경찰서,Y,13,,2019-05-31
"유치원",금강유치원,경기도 하남시 대청로59번길 33,경기도 하남시 신장동 527-4,37.5421106354,127.2189378,경기도 하남시청,경기도 하남경찰서,Y,8,,2019-05-31
"유치원",하남유치원,경기도 하남시 신장동로 128,경기도 하남시 신장동 89-1,37.5433419,127.2215484,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"유치원",동부제일유치원,경기도 하남시 조정대로 90,,37.5513481808,127.1894553169,경기도 하남시청,경기도 하남경찰서,Y,3,,2019-05-31
"유치원",써니힐유치원,경기도 하남시 덕풍동로 51,경기도 하남시 덕풍동 826,37.5470594,127.2046079201,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"유치원",소화유치원,경기도 하남시 신평로73번길 38,경기도 하남시 덕풍동 403,37.5412644,127.2043885382,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"초등학교",신평초등학교,경기도 하남시 신장동로 67,경기도 하남시 신장동 216,37.5442439833,127.2151283296,경기도 하남시청,경기도 하남경찰서,Y,9,,2019-05-31
"초등학교",망월초등학교,경기도 하남시 미사강변북로24번길 10,경기도 하남시 망월동 1025,37.5708451335,127.1806346147,경기도 하남시청,경기도 하남경찰서,Y,9,,2019-05-31
"초등학교",덕풍초등학교,경기도 하남시 덕풍공원로 20,경기도 하남시 덕풍동 360-21,37.5406779936,127.1975027607,경기도 하남시청,경기도 하남경찰서,Y,6,,2019-05-31
"초등학교",위례초등학교,경기도 하남시 위례순환로 333,경기도 하남시 학암동 665,37.4771233356,127.149413628,경기도 하남시청,경기도 하남경찰서,Y,13,,2019-05-31
"초등학교",윤슬초등학교,경기도 하남시 미사강변서로 151,경기도 하남시 망월동 1046,37.5636775330,127.1825142989,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"초등학교",한홀초등학교,경기도 하남시 미사강변서로 68,경기도 하남시 풍산동 483,37.5563246464,127.1853166734,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"초등학교",고골초등학교,경기도 하남시 대성로 90,경기도 하남시 하사창동 263-1,37.5184185,127.1975075977,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"초등학교",동부초등학교,경기도 하남시 역말로 55,경기도 하남시 덕풍동 427,37.5374842268,127.2021333241,경기도 하남시청,경기도 하남경찰서,Y,13,,2019-05-31
"초등학교",산곡초등학교,경기도 하남시 하남대로302번길 45,경기도 하남시 하산곡동 431-6,37.5040944956,127.2345333690,경기도 하남시청,경기도 하남경찰서,Y,6,,2019-05-31
"초등학교",서부초등학교,경기도 하남시 서하남로 161,경기도 하남시 감일동 14-8,37.5157418242,127.1620371106,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"초등학교",신장초등학교,경기도 하남시 신평로 100,경기도 하남시 신장동 422-10,37.5426709910,127.2080041700,경기도 하남시청,경기도 하남경찰서,Y,9,,2019-05-31
"초등학교",창우초등학교,경기도 하남시 대청로 99,경기도 하남시 창우동 518-2,37.5406426,127.2237251,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"초등학교",천현초등학교,경기도 하남시 천현로 45,경기도 하남시 신장동 529,37.5380865532,127.2161750,경기도 하남시청,경기도 하남경찰서,Y,8,,2019-05-31
"초등학교",풍산초등학교,경기도 하남시 덕풍북로 100,경기도 하남시 덕풍동 730,37.5543846066,127.2013912881,경기도 하남시청,경기도 하남경찰서,Y,8,,2019-05-31
"초등학교",나룰초등학교,경기도 하남시 덕풍북로 260,경기도 하남시 덕풍동 803,37.5485578114,127.2091928932,경기도 하남시청,경기도 하남경찰서,Y,13,,2019-05-31
"초등학교",미사강변초등학교,경기도 하남시 미사강변북로55번길 70,경기도 하남시 선동 424,37.5758246977,127.1860034576,경기도 하남시청,경기도 하남경찰서,Y,5,,2019-05-31
"초등학교",미사중앙초등학교,경기도 하남시 미사강변한강로334번길 46,,37.5592254283,127.1988691092,경기도 하남시청,경기도 하남경찰서,Y,9,,2019-05-31
"초등학교",하남초등학교,경기도 하남시 천현로 109,경기도 하남시 창우동 520-6,37.5374266172,127.2221297,경기도 하남시청,경기도 하남경찰서,Y,8,,2019-05-31
"초등학교",미사초등학교,경기도 하남시 미사강변한강로 200,경기도 하남시 망월동 935,37.5712871907,127.1928066418,경기도 하남시청,경기도 하남경찰서,Y,10,,2019-05-31
"초등학교",청아초등학교,경기도 하남시 미사강변중앙로132번길 45,경기도 하남시 풍산동 561,37.558746677,127.194191315,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
"특수학교",성광학교,경기도 하남시 신장로55번길 67,경기도 하남시 천현동 179,37.5326623,127.2102618,경기도 하남시청,경기도 하남경찰서,Y,4,,2019-05-31
