"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",벌말초등학교,경기도 화성시 떡전골로 34,경기도 화성시 병점동 415-2번지,37.202677,127.037845,화성시청,화성동부경찰서,Y,,14.5,2019-04-03
"초등학교",송화초등학교,경기도 화성시 병점중앙로35번길 42,경기도 화성시 병점동 465-5번지,37.227626,127.032907,화성시청,화성동부경찰서,Y,,16,2019-04-03
"초등학교",태안초등학교,경기도 화성시 병점3로 77,경기도 화성시 병점동 824번지,37.223871,127.041655,화성시청,화성동부경찰서,Y,,12,2019-04-03
"초등학교",구봉초등학교,경기도 화성시 병점1로 105,경기도 화성시 병점동 862번지,37.205725,127.045425,화성시청,화성동부경찰서,Y,,8.5,2019-04-03
"초등학교",안화초등학교,경기도 화성시 병점3로 132-5,경기도 화성시 병점동 851번지,37.213113,127.046405,화성시청,화성동부경찰서,Y,,22,2019-04-03
"초등학교",병점초등학교,경기도 화성시 경기대로 1052,경기도 화성시 진안동 517-2번지,37.210361,127.034596,화성시청,화성동부경찰서,Y,,23,2019-04-03
"초등학교",진안초등학교,경기도 화성시 병점4로 97,경기도 화성시 진안동 915번지,37.217151,127.040615,화성시청,화성동부경찰서,Y,,13,2019-04-03
"초등학교",기산초등학교,경기도 화성시 동탄지성로 344,경기도 화성시 반월동 705-4번지,37.224895,127.050734,화성시청,화성동부경찰서,Y,,15,2019-04-03
"초등학교",율목초등학교,경기도 화성시 영통로50번길 19,경기도 화성시 반월동 879번지,37.236814,127.064405,화성시청,화성동부경찰서,Y,,10,2019-04-03
"초등학교",동학초등학교,경기도 화성시 영통로27번길 46,경기도 화성시 반월동 165-2번지,37.233252,127.059559,화성시청,화성동부경찰서,Y,,14,2019-04-03
"초등학교",화산초등학교,경기도 화성시 화산중앙로64번길 17,경기도 화성시 송산동 146-9번지,37.215871,127.013041,화성시청,화성동부경찰서,Y,,8.5,2019-04-03
"초등학교",배양초등학교,경기도 화성시 융건로 90,경기도 화성시 배양동 76번지,37.219075,126.988386,화성시청,화성동부경찰서,Y,,7.5,2019-04-03
"초등학교",기안초등학교,경기도 화성시 기안길 18,경기도 화성시 기안동 226번지,37.225256,126.982052,화성시청,화성동부경찰서,Y,,7,2019-04-03
"초등학교",화성반월초등학교,경기도 화성시 효행로 1281-23,경기도 화성시 반월동 947번지,37.233903,127.058906,화성시청,화성동부경찰서,Y,,17,2019-04-03
"초등학교",숲속초등학교,경기도 화성시 동탄공원로2길 10,경기도 화성시 반송동 56번지,37.206291,127.059807,화성시청,화성동부경찰서,Y,,19,2019-04-03
"초등학교",한마음초등학교,경기도 화성시 동탄숲속로 69-6,경기도 화성시 능동 1117번지,37.208798,127.056465,화성시청,화성동부경찰서,Y,,11,2019-04-03
"초등학교",능동초등학교,경기도 화성시 동탄원천로 315-27,경기도 화성시 능동 1085번지,37.212976,127.057868,화성시청,화성동부경찰서,Y,,11,2019-04-03
"초등학교",푸른초등학교,경기도 화성시 동탄공원로 21-38,경기도 화성시 능동 1136번지,37.202307,127.054663,화성시청,화성동부경찰서,Y,,8,2019-04-03
"초등학교",금곡초등학교,경기도 화성시 동탄문화센터로 13,경기도 화성시 반송동 78번지,37.203634,127.066725,화성시청,화성동부경찰서,Y,,29,2019-04-03
"초등학교",솔빛초등학교,경기도 화성시 동탄반석로 84,경기도 화성시 반송동 133번지,37.196314,127.073139,화성시청,화성동부경찰서,N,,15,2019-04-03
"초등학교",반석초등학교,경기도 화성시 동탄반석로 22,경기도 화성시 반송동 223번지,37.193664,127.078504,화성시청,화성동부경찰서,Y,,11,2019-04-03
"초등학교",반송초등학교,경기도 화성시 동탄솔빛로 14,경기도 화성시 반송동 199번지,37.191546,127.070505,화성시청,화성동부경찰서,Y,,17.5,2019-04-03
"초등학교",학동초등학교,경기도 화성시 동탄지성로 79-17,경기도 화성시 반송동 81번지,37.205377,127.066235,화성시청,화성동부경찰서,Y,,7,2019-04-03
"초등학교",석우초등학교,경기도 화성시 동탄시범한빛길 32,경기도 화성시 반송동 20번지,37.209145,127.068148,화성시청,화성동부경찰서,Y,,11,2019-04-03
"초등학교",예당초등학교,경기도 화성시 동탄반석로 245,경기도 화성시 석우동 54번지,37.210227,127.075462,화성시청,화성동부경찰서,Y,,15,2019-04-03
"초등학교",예원초등학교,경기도 화성시 동탄반석로 259,경기도 화성시 석우동 52번지,37.210807,127.076508,화성시청,화성동부경찰서,Y,,15,2019-04-03
"초등학교",정림초등학교,경기도 화성시 정남면 망월길 69,경기도 화성시 정남면 망월리 329-1번지,37.181431,126.999831,화성시청,화성동부경찰서,Y,,8,2019-04-03
"초등학교",정남초등학교,경기도 화성시 정남면 만년로 516,경기도 화성시 정남면 발산리 409-1번지,37.167877,126.984005,화성시청,화성동부경찰서,Y,,13,2019-04-03
"초등학교",안녕초등학교,경기도 화성시 화산로 2,경기도 화성시 안녕동 50-8번지,37.206038,127.008803,화성시청,화성동부경찰서,Y,,42,2019-04-03
"어린이집",나래어린이집,경기도 화성시 정남면 만년로 539-28,경기도 화성시 정남면 괘랑리 1058-1번지,37.170821,126.981539,화성시청,화성동부경찰서,Y,,9,2019-04-03
"유치원",예원유치원,경기도 화성시 동탄숲속로35번길 26-14,경기도 화성시 능동 479번지,37.217489,127.050566,화성시청,화성동부경찰서,N,,7,2019-04-03
"유치원",한빛유치원,경기도 화성시 병점중앙로35번길 5,경기도 화성시 병점동 455-11번지,37.265742,127.052986,화성시청,화성동부경찰서,Y,,20,2019-04-03
"어린이집",재크와콩나무어린이집,경기도 화성시 병점동로42번길 13-2,경기도 화성시 병점동 132-4번지,37.219093,127.044172,화성시청,화성동부경찰서,N,,5,2019-04-03
"유치원",동탄꿈의유치원,경기도 화성시 노작로4길 5-4,경기도 화성시 반송동 120-6번지,37.197214,127.077302,화성시청,화성동부경찰서,Y,,9,2019-04-03
"유치원",오즈의마법사유치원,경기도 화성시 금반1길 14-17,경기도 화성시 반송동 175-1번지,37.203661,127.070931,화성시청,화성동부경찰서,Y,,11,2019-04-03
