"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",강덕초등학교,서울특별시 강동구 동남로82길 94-54,서울특별시 강동구 고덕2동 222,37.5595469338,127.1604840335,서울특별시 강동구청,강동경찰서,Y,3,8,2019-12-06
"초등학교",강동초등학교,서울특별시 강동구 상암로14길 77,서울특별시 강동구 천호2동 306,37.5463647928,127.1301878580,서울특별시 강동구청,강동경찰서,Y,5,4,2019-12-06
"초등학교",강명초등학교,서울특별시 강동구 상일로 74-1,서울특별시 강동구 상일동 98,37.5547065752,127.1733219,서울특별시 강동구청,강동경찰서,Y,3,20,2019-12-06
"초등학교",강솔초등학교,서울특별시 강동구 고덕로97길 80 1,서울특별시 강동구 강일동 694,37.56186818,127.1802689,서울특별시 강동구청,강동경찰서,N,,20,2019-12-06
"초등학교",강일초등학교,서울특별시 강동구 아리수로98길 24,서울특별시 강동구 강일동 685,37.5652569465,127.1772118963,서울특별시 강동구청,강동경찰서,Y,2,25,2019-12-06
"초등학교",고덕초등학교,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕2동 158,37.5612943363,127.1660789764,서울특별시 강동구청,강동경찰서,Y,2,6,2019-12-06
"초등학교",고명초등학교,서울특별시 강동구 고덕로46길 53,서울특별시 강동구 명일1동 296-1,37.5529722545,127.1474373336,서울특별시 강동구청,강동경찰서,Y,2,12,2019-12-06
"초등학교",고일초등학교,서울특별시 강동구 구천면로93길 20,서울특별시 강동구 상일동 125,37.5515408195,127.1694116110,서울특별시 강동구청,강동경찰서,Y,2,12,2019-12-06
"초등학교",길동초등학교,서울특별시 강동구 양재대로116길 57,서울특별시 강동구 길동 362,37.5380968,127.1435022,서울특별시 강동구청,강동경찰서,Y,4,6,2019-12-06
"초등학교",대명초등학교,서울특별시 강동구 상암로 271,서울특별시 강동구 명일2동 234,37.5476037,127.1532705431,서울특별시 강동구청,강동경찰서,Y,2,8,2019-12-06
"초등학교",둔촌초등학교,서울특별시 강동구 양재대로88길 27,서울특별시 강동구 둔촌1동 170-2,37.5262174003,127.1374609777,서울특별시 강동구청,강동경찰서,Y,,20,2019-12-06
"초등학교",명덕초등학교,서울특별시 강동구 양재대로156길 11,서울특별시 강동구 고덕1동 487-15,37.5567629637,127.1450817026,서울특별시 강동구청,강동경찰서,Y,3,10,2019-12-06
"초등학교",명원초등학교,서울특별시 강동구 명일로 364,서울특별시 강동구 명일2동 39,37.5512241,127.1504985792,서울특별시 강동구청,강동경찰서,Y,1,15,2019-12-06
