"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",서울수송초등학교,서울특별시 강북구 한천로 124길 14,서울특별시 강북구 번동 456,37.637320,127.0332052109,강북구청,강북경찰서,Y,9,25,2019-05-10
"초등학교",서울인수초등학교,서울특별시 강북구 인수봉로 269,서울특별시 강북구 수유동 551-19,37.6430513409,127.0091370063,강북구청,강북경찰서,Y,6,20,2019-05-10
"초등학교",서울화계초등학교(새롬유치원 중복),서울특별시 강북구 솔매로50가길 25,서울특별시 강북구 미아동 127-2,37.6238857893,127.0297148311,강북구청,강북경찰서,Y,7,8,2019-05-10
"초등학교",서울미양초등학교(미양병설유치원 중복),서울특별시 강북구 솔샘로 195,서울특별시 강북구 미아동 837-687,37.6215317016,127.0141319970,강북구청,강북경찰서,Y,3,20,2019-05-10
"초등학교",서울삼양초등학교,서울특별시 강북구 삼양로49길 17,서울특별시 강북구 미아동 791-1932,37.6232937742,127.0161486458,강북구청,강북경찰서,Y,6,20,2019-05-10
"초등학교",서울송중초등학교(아름유치원 중복),서울특별시 강북구 오현로 9,서울특별시 강북구 미아동 94-1,37.6170017897,127.0314654581,강북구청,강북경찰서,Y,7,20,2019-05-10
"초등학교",서울수유초등학교(수유병설유치원 중복),서울특별시 강북구 삼양로74길 39,서울특별시 강북구 수유동 55-5,37.631250,127.020290,강북구청,강북경찰서,Y,8,6,2019-05-10
"초등학교",서울우이초등학교,서울특별시 강북구 삼양로99길 36,서울특별시 강북구 수유동 409-6,37.6387115988,127.0150053909,강북구청,강북경찰서,Y,6,7,2019-05-10
"초등학교",서울번동초등학교,서울특별시 강북구 오현로 204,서울특별시 강북구 번동 236,37.629030,127.040010,강북구청,강북경찰서,Y,3,20,2019-05-10
"초등학교",서울오현초등학교,서울특별시 강북구 월계로 221,서울특별시 강북구 번동 248,37.6234190337,127.0465746927,강북구청,강북경찰서,Y,3,30,2019-05-10
"초등학교",서울영훈초등학교,서울특별시 강북구 도봉로13가길 19,서울특별시 강북구 미아동 471-2,37.614680,127.028090,강북구청,강북경찰서,Y,6,15,2019-05-10
"초등학교",서울유현초등학교,서울특별시 강북구 인수봉로37길 24,서울특별시 강북구 수유동 466-52,37.632320,127.0114196195,강북구청,강북경찰서,Y,5,20,2019-05-10
"초등학교",서울송천초등학교,서울특별시 강북구 삼양로20길 29,서울특별시 강북구 미아동 438,37.6149060968,127.0237354801,강북구청,강북경찰서,Y,6,7,2019-05-10
"초등학교",서울삼각산초등학교,서울특별시 강북구 삼양로19길 141,서울특별시 강북구 미아동 1353-10,37.616080,127.015480,강북구청,강북경찰서,Y,3,15,2019-05-10
"유치원",성체유치원,서울특별시 강북구 삼각산로 161,서울특별시 강북구 수유동 185-20,37.6423038128,127.0209886171,강북구청,강북경찰서,Y,4,15,2019-05-10
"유치원",유안유치원(인수유치원 중복),서울특별시 강북구 인수봉로 297,서울특별시 강북구 수유동 560-17,37.645280,127.010480,강북구청,강북경찰서,Y,2,20,2019-05-10
"유치원",화계유치원,서울특별시 강북구 덕릉로 45,서울특별시 강북구 수유동 118-1,37.634650,127.018850,강북구청,강북경찰서,Y,2,25,2019-05-10
"유치원",상아유치원,서울특별시 강북구 한천로132길 27,서울특별시 강북구 번동 463-10,37.640140,127.029160,강북구청,강북경찰서,Y,2,8,2019-05-10
