"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가곡초등학교,서울특별시 강서구 공항대로36길 74 (내발산동),,37.5557076033,126.83610183,서울특별시 강서구청,강서경찰서,Y,1,4,2019-08-28
"초등학교",발산초등학교,서울특별시 강서구 강서로45길 113 (내발산동),,37.5503201,126.831027,서울특별시 강서구청,강서경찰서,Y,2,10,2019-08-28
"초등학교",방화초등학교,서울특별시 강서구 양천로6길 92 (방화동),,37.5687036382,126.8074988480,서울특별시 강서구청,강서경찰서,Y,1,10,2019-08-28
"초등학교",백석초등학교,서울특별시 강서구 공항대로 491 (등촌동),,37.553469,126.8621938,서울특별시 강서구청,강서경찰서,Y,1,6,2019-08-28
"초등학교",삼정초등학교,서울특별시 강서구 금낭화로 222 (방화동),,37.5803891,126.8108471,서울특별시 강서구청,강서경찰서,Y,1,18,2019-08-28
"초등학교",신곡초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동),,37.5390734,126.8556963,서울특별시 강서구청,강서경찰서,Y,1,6,2019-08-28
"초등학교",정곡초등학교,서울특별시 강서구 방화대로50길 22 (방화동),,37.5769308,126.818936,서울특별시 강서구청,강서경찰서,Y,1,20,2019-08-28
"유치원",정곡초등학교(병설유치원),서울특별시 강서구 방화대로50길 22 (방화동),,37.5769308,126.818936,서울특별시 강서구청,강서경찰서,N,,,2019-08-28
"초등학교",치현초등학교,서울특별시 강서구 방화대로47길 43 (방화동),,37.575537,126.814673,서울특별시 강서구청,강서경찰서,Y,2,10,2019-08-28
"초등학교",송정초등학교,서울특별시 강서구 공항대로3길 18 (공항동),,37.5627589,126.8110312,서울특별시 강서구청,강서경찰서,Y,1,10,2019-08-28
"초등학교",신월초등학교,서울특별시 강서구 강서로31길 48 (화곡동),,37.5401017,126.839074,서울특별시 강서구청,강서경찰서,Y,1,6,2019-08-28
"초등학교",신정초등학교,서울특별시 강서구 곰달래로31가길 27 (화곡동),,37.5327032,126.8524559,서울특별시 강서구청,강서경찰서,Y,1,6,2019-08-28
"초등학교",우장초등학교,서울특별시 강서구 화곡로 263 (화곡동),,37.5492011,126.846004,서울특별시 강서구청,강서경찰서,Y,1,4,2019-08-28
"유치원",문성유치원,서울특별시 강서구 우현로 8,,37.547055,126.844554,서울특별시 강서구청,강서경찰서,N,,,2019-08-28
"초등학교",화곡초등학교,서울특별시 강서구 초록마을로 28 (화곡동),,37.543208,126.8459269,서울특별시 강서구청,강서경찰서,Y,2,10,2019-08-28
"초등학교",가양초등학교,서울특별시 강서구 허준로 186 (가양동),,37.5617187,126.8586437,서울특별시 강서구청,강서경찰서,Y,1,7,2019-08-28
"초등학교",개화초등학교,서울특별시 강서구 양천로 11 (방화동),,37.5736852,126.8046641,서울특별시 강서구청,강서경찰서,Y,2,20,2019-08-28
"초등학교",공진초등학교,서울특별시 강서구 마곡서로 33 (마곡동),,37.557822,126.8226110323,서울특별시 강서구청,강서경찰서,N,,,2019-08-28
"유치원",공진초등학교병설유치원,서울특별시 강서구  마곡서로 33 (마곡동),,37.557822,126.8226110323,서울특별시 강서구청,강서경찰서,N,,,2019-08-28
