"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",관악초등학교,서울특별시 관악구 청룡4길 49,서울특별시 관악구 청룡동 920,37.4808067,126.9428902,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,2019-04-30
"초등학교",구암초등학교,서울특별시 관악구 구암길 1,서울특별시 관악구 성현동 491-5,37.4894968,126.9468782,서울특별시 관악구청,서울관악경찰서,Y,3,6~15,2019-04-30
"초등학교",난곡초등학교,서울특별시 관악구 난곡로35길 102,서울특별시 관악구 난곡동 711-136,37.469235,126.9166531,서울특별시 관악구청,서울관악경찰서,Y,6,4~8,2019-04-30
"초등학교",난우초등학교,서울특별시 관악구 난우길 40,서울특별시 관악구 미성동 589,37.4769379,126.9178433,서울특별시 관악구청,서울관악경찰서,Y,7,5~12,2019-04-30
"초등학교",난향초등학교,서울특별시 관악구 난향길 9,서울특별시 관악구 난향동 672,37.4624143,126.9180741,서울특별시 관악구청,서울관악경찰서,Y,5,6~20,2019-04-30
"초등학교",남부초등학교,서울특별시 관악구 남부순환로 163길 14,서울특별시 관악구 신사동 467,37.4850413,126.9221169,서울특별시 관악구청,서울관악경찰서,Y,6,6~12,2019-04-30
"초등학교",당곡초등학교,서울특별시 관악구 보라매로2길 23,서울특별시 관악구 보라매동 693-2,37.4900948,126.9298977,서울특별시 관악구청,서울관악경찰서,Y,7,6~12,2019-04-30
"초등학교",미성초등학교,서울특별시 관악구 문성로 79,서울특별시 관악구 미성동 768-23,37.4779763,126.9126806,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,2019-04-30
"초등학교",사당초등학교,서울특별시 관악구 남현4길 51,서울특별시 관악구 남현동 1080-1,37.473601,126.9740756,서울특별시 관악구청,서울관악경찰서,Y,8,4~8,2019-04-30
"초등학교",신우초등학교,서울특별시 관악구 호암로 498,서울특별시 관악구 삼성동 315,37.4626215,126.9323353,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,2019-04-30
"초등학교",원당초등학교,서울특별시 관악구 봉천로 505,서울특별시 관악구 행운동 1169-1,37.4811753,126.9560764,서울특별시 관악구청,서울관악경찰서,Y,4,6~25,2019-04-30
