"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",광장초등학교,서울특별시 광진구 광장로1길 27,서울특별시 광진구 광장동 389-1,37.548462,127.092186,서울특별시청,광진경찰서,Y,5,,2019-02-20
"초등학교",구의초등학교,서울특별시 광진구 광나루로30길 49,서울특별시 광진구 화양동 303-9,37.542934,127.071203,서울특별시청,광진경찰서,Y,7,,2019-02-20
"초등학교",동의초등학교,서울특별시 광진구 영화사로 111,서울특별시 광진구 구의2동 4-5,37.553380,127.090046,서울특별시청,광진경찰서,Y,7,,2019-02-20
"초등학교",동자초등학교,서울특별시 광진구 뚝섬로 561,서울특별시 광진구 자양3동 518-1,37.534686,127.063360,서울특별시청,광진경찰서,Y,3,,2019-02-20
"초등학교",신자초등학교,서울특별시 광진구 자양동 뚝섬로46길 64,서울특별시 광진구 자양2동 591,37.529990,127.073328,서울특별시청,광진경찰서,Y,7,,2019-02-20
"초등학교",자양초등학교,서울특별시 광진구 아차산로 44길 26,서울특별시 광진구 자양1동 222,37.536965,127.077070,서울특별시청,광진경찰서,Y,5,,2019-02-20
"초등학교",장안초등학교,서울특별시 광진구 군자로 74,서울특별시 광진구 군자동 365-1,37.461499,127.038198,서울특별시청,광진경찰서,Y,6,,2019-02-20
"초등학교",양남초등학교,서울특별시 광진구 뚝섬로 64길 71,서울특별시 광진구 자양2동 692,37.530740,127.087521,서울특별시청,광진경찰서,Y,4,,2019-02-20
"초등학교",용마초등학교,서울특별시 광진구 천호대로 113길 10,서울특별시 광진구 중곡2동 135-1,37.557931,127.081910,서울특별시청,광진경찰서,Y,10,,2019-02-20
"초등학교",성동초등학교,서울특별시 광진구 자양로4길 63,서울특별시 광진구 자양2동 694-1,37.532823,127.087327,서울특별시청,광진경찰서,Y,4,,2019-02-20
"초등학교",경복초등학교,서울특별시 광진구 천호대로130길 58,서울특별시 광진구 능동 25,37.549473,127.084788,서울특별시청,광진경찰서,Y,4,,2019-02-20
"초등학교",광남초등학교,서울특별시 광진구 아차산로 70길 35,서울특별시 광진구 광장동 554,37.540822,127.098936,서울특별시청,광진경찰서,Y,3,,2019-02-20
"초등학교",구남초등학교,서울특별시 광진구 구의3동 구의 강변로 69,서울특별시 광진구 구의3동 587-52,37.537156,127.090076,서울특별시청,광진경찰서,Y,10,,2019-02-20
"초등학교",성자초등학교,서울특별시 광진구 뚝섬로56길 7,서울특별시 광진구 자양2동 662,37.531101,127.080938,서울특별시청,광진경찰서,Y,8,,2019-02-20
"초등학교",세종초등학교,서울특별시 광진구 군자로 114,서울특별시 광진구 군자동 111-3,37.552987,127.070716,서울특별시청,광진경찰서,Y,2,,2019-02-20
"초등학교",신양초등학교,서울특별시 광진구 능동로 42,서울특별시 광진구 자양3동 504,37.534572,127.066967,서울특별시청,광진경찰서,Y,5,,2019-02-20
"초등학교",용곡초등학교,서울특별시 광진구 용마산로22길 82,서울특별시 광진구 중곡4동 176-1,37.566735,127.086381,서울특별시청,광진경찰서,Y,9,,2019-02-20
"초등학교",중광초등학교,서울특별시 광진구 긴고랑로13길 59,서울특별시 광진구 중곡3동 220-22,37.565124,127.080187,서울특별시청,광진경찰서,Y,9,,2019-02-20
"초등학교",중마초등학교,서울특별시 광진구 동일로 72길 43,서울특별시 광진구 중곡3동 191-69,37.566096,127.077882,서울특별시청,광진경찰서,Y,6,,2019-02-20
"초등학교",화양초등학교,서울특별시 광진구 군자로 9,서울특별시 광진구 화양동 12,37.544349,127.068828,서울특별시청,광진경찰서,Y,7,,2019-02-20
"초등학교",광진초등학교,서울특별시 광진구 자양로 40길 41,서울특별시 광진구 구의2동 60-44,37.547682,127.089215,서울특별시청,광진경찰서,Y,7,,2019-02-20
"초등학교",양진초등학교,서울특별시 광진구 광장동 워커힐로 32,서울특별시 광진구 광장동 414-1,37.544337,127.096228,서울특별시청,광진경찰서,Y,5,,2019-02-20
"유치원",광남유치원,서울특별시 광진구 아차산로70길 40 (광장동),서울특별시 광진구 광장동 484,37.541433,127.098381,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",선경유치원,서울특별시 광진구 뚝섬로 66길 14,서울특별시 광진구 자양2동 694-1,37.532906,127.087327,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",어린이회관유치원,서울특별시 광진구 광나루길 441,서울특별시 광진구 능동 1811,37.547599,127.074938,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",현정유치원,서울특별시 광진구 광나루로 534-1 (구의동),서울특별시 광진구 구의1동 230-12,37.544433,127.086715,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",성산유치원,서울특별시 광진구 뚝섬로 59길 18(자양동),서울특별시 광진구 자양1동 658-1,37.532878,127.081938,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",성수아름유치원,서울특별시 광진구 뚝섬로 476-15 (자양동),서울특별시 광진구 자양4동 52-1,37.536405,127.060190,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",슬기유치원,서울특별시 광진구 자양로 296 (구의동),서울특별시 광진구 구의2동 31-18,37.552015,127.090381,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",대원(구.우성)유치원,서울특별시 광진구 뚝섬로 41길 20,서울특별시 광진구 자양3동 579,37.534239,127.072745,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",정신유치원,서울특별시 광진구 뚝섬로23길 27,서울특별시 광진구 자양4동 843-11,37.537239,127.062440,서울특별시청,광진경찰서,Y,5,,2019-02-20
"유치원",경하유치원,서울특별시 광진구 동일로72길 9 (중곡동),서울특별시 광진구 중곡3동 190-28,37.566069,127.075993,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",동서울유치원,서울특별시 광진구 답십리로78길 26 (중곡동),서울특별시 광진구 중곡3동 578-9,37.570346,127.078826,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",미파유치원,서울특별시 광진구 용마산로 185 (중곡동),서울특별시 광진구 중곡3동 608-6,37.570457,127.083659,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",예일유치원,서울특별시 광진구 천호대로 111길 41,서울특별시 광진구 중곡2동 141-12,37.558236,127.080604,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",선미유치원,서울특별시 광진구 면목로5길 54 (군자동),서울특별시 광진구 군자동 182-2,37.556209,127.070827,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",선양유치원,서울특별시 광진구 동일로 256 (군자동),서울특별시 광진구 군자동 127-1,37.554292,127.068994,서울특별시청,광진경찰서,Y,4,,2019-02-20
"유치원",자양하나유치원,서울특별시 광진구 아차산로41길 22-5,서울특별시 광진구 자양1동 225-85,37.538766,127.076383,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",인애유치원,서울특별시 광진구 능동로4길 13,서울특별시 광진구 자양3동 553-339,37.533767,127.066190,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",프라임유치원,서울특별시 광진구 광나루로56길 5,서울특별시 광진구 구의3동 631-1,37.538767,127.096159,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",보성유치원,서울특별시 광진구 아차산로 552,서울특별시 광진구 광장동 218-1,37.542183,127.100547,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",한일유치원,서울특별시 광진구 뚝섬로35길 16-20,서울특별시 광진구 자양3동 516-3,37.535100,127.069384,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",윤진유치원,서울특별시 광진구 아차산로 21길 15 (화양동),서울특별시 광진구 화양동 42-21,37.542766,127.062718,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",자양도담유치원,서울특별시 광진구 아차산로44가길 5 (화양동),서울특별시 광진구 자양동 231-51,37.536172,127.079839,서울특별시청,광진경찰서,Y,4,,2019-02-20
"유치원",샬롬유치원,서울특별시 광진구 아차산로65길 65 (구의동),서울특별시 광진구 구의3동 208-15,37.542405,127.089659,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",광장유치원,서울특별시 광진구 광장로7길 17 (광장동),서울특별시 광진구 광장동 272-2,37.548432,127.102936,서울특별시청,광진경찰서,Y,2,,2019-02-20
"유치원",자양유치원,서울특별시 광진구 자양로5길 36,서울특별시 광진구 자양2동 662-5,37.531156,127.081549,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",아이조아유치원,서울특별시 광진구 긴고랑로 7길 65,서울특별시 광진구 중곡3동 191-79,37.566152,127.078271,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",구의병설유치원,서울특별시 광진구 광나루로30길 49,서울특별시 광진구 화양동 303-9,37.542822,127.077355,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",신자병설유치원,서울특별시 광진구 자양동 뚝섬로46길 64,서울특별시 광진구 자양2동 591,37.530017,127.073300,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",양남병설유치원,서울특별시 광진구 뚝섬로64길 71,서울특별시 광진구 자양2동 692,37.531018,127.087521,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",양진병설유치원,서울특별시 광진구 광장동 워커힐길32,서울특별시 광진구 광장동 414-1,37.544266,127.096242,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",자양병설유치원,서울특별시 광진구 아차산로 44길 26(자양동),서울특별시 광진구 자양1동 222,37.536795,127.077327,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",경원유치원,서울특별시 광진구 영화사로 89,서울특별시 광진구 구의2동 16-10,37.554876,127.093909,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",동심유치원,서울특별시 광진구 군자로12길 46 (군자동 일성아파트단지내),서울특별시 광진구 군자동 99,37.551320,127.070383,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",선화유치원,"서울특별시 광진구 천호대로130길 58 (능동, 경복초등학교)",서울특별시 광진구 능동 25,37.549595,127.085389,서울특별시청,광진경찰서,Y,1,,2019-02-20
"유치원",영화유치원,서울특별시 광진구 영화사로 105,서울특별시 광진구 구의2동 18,37.554126,127.095297,서울특별시청,광진경찰서,Y,1,,2019-02-20
