"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",새길어린이집,서울특별시 금천구 시흥대로 12길 82,서울특별시 금천구 시흥동 957-11,37.440234,126.907423,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",금주어린이집,서울특별시 금천구 시흥대로 70길 34,서울특별시 금천구 시흥동 881-25,37.456392,126.901589,서울특별시 금천구청,금천경찰서,Y,1,4~8,2019-09-10
"어린이집",시흥4동어린이집,서울특별시 금천구 독산로36길 14,서울특별시 금천구 시흥동 812-38,37.458950,126.906171,서울특별시 금천구청,금천경찰서,Y,1,4~8,2019-09-10
"어린이집",옥계어린이집,서울특별시 금천구 시흥대로 86길 20,서울특별시 금천구 독산동 1067-9,37.460122,126.900294,서울특별시 금천구청,금천경찰서,Y,1,4~8,2019-09-10
"어린이집",독산본동어린이집,서울특별시 금천구 시흥대로 150길 79,서울특별시 금천구 독산동 964-46,37.477391,126.902495,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",한울 아트스쿨,서울특별시 금천구 독산로94길 17,서울특별시 금천구 독산동 977-15,37.474613,126.904109,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",양문 어린이집,서울특별시 금천구 시흥대로 45길 35,서울특별시 금천구 시흥동 492-53,37.448229,126.900257,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",샛별 어린이집,서울특별시 금천구 가산로3길 46,서울특별시 금천구 가산동 234-22,37.472320,126.893007,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",가산 어린이집,서울특별시 금천구 벚꽃로 38길 35,서울특별시 금천구 가산동 602-71,37.482621,126.884455,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"유치원",동산 유치원,서울특별시 금천구 시흥대로 152길 35,서울특별시 금천구 독산동 955-12,37.476860,126.900953,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",기쁨 어린이집,서울특별시 금천구 범안로12길 63-3,서울특별시 금천구 독산동 1006-144,37.464453,126.893515,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",본동 어린이집,서울특별시 금천구 독산로 12,서울특별시 금천구 시흥동 935-2,37.448573,126.904304,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",꿈나래 어린이집,서울특별시 금천구 금하로3길 32,서울특별시 금천구 시흥동 118-90,37.454828,126.897608,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"유치원",조형유치원,서울특별시 금천구 독산로1길 3,서울특별시 금천구 시흥동 904-20,37.448853,126.903493,서울특별시 금천구청,금천경찰서,Y,1,6~8,2019-09-10
"어린이집",모아래 어린이집,서울특별시 금천구 가산로 9길 35,서울특별시 금천구 가산동 219-21,37.475776,126.890237,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",새라 어린이집,서울특별시 금천구 독산로 47가길 42,서울특별시 금천구 독산동 1074-22,37.460455,126.902101,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",자연유아 어린이집,서울특별시 금천구 시흥대로 40길 93,서울특별시 금천구 시흥동 420-11,37.446718,126.908245,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",시흥5동 어린이집,서울특별시 금천구 독산로 10길 24,서울특별시 금천구 시흥동 919-15,37.449855,126.907253,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"유치원",미성유치원,서울특별시 금천구 문성로 37,서울특별시 금천구 독산동 894-22,37.476876,126.907771,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",개미 어린이집,서울특별시 금천구 독산로54길 251,서울특별시 금천구 독산동 993-30,37.472999,126.905858,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"어린이집",정심 어린이집,서울특별시 금천구 독산로54길 129,서울특별시 금천구 독산동 938-5,37.467721,126.907262,서울특별시 금천구청,금천경찰서,Y,1,6~10,2019-09-10
"유치원",시내유치원,서울특별시 금천구 가산로 99,서울특별시 금천구 가산동 769,37.476016,126.891713,서울특별시 금천구청,금천경찰서,Y,1,6~12,2019-09-10
