"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가인초등학교,서울특별시 도봉구 도봉로136다길 4,,37.6599068,127.0431592,도봉구청,도봉경찰서,Y,4,6~40,2019-09-05
"초등학교",누원초등학교,서울특별시 도봉구 마들로 859-44,,37.6869304,127.0490694,도봉구청,도봉경찰서,Y,2,6~20,2019-09-05
"초등학교",도봉초교,서울특별시 도봉구 도봉로173길 96,,37.6793783,127.0382180,도봉구청,도봉경찰서,Y,4,6~8,2019-09-05
"초등학교",방학초교,서울특별시 도봉구 도당로9길 34,,37.6640285,127.0321675,도봉구청,도봉경찰서,Y,3,6~8,2019-09-05
"초등학교",백운초교,서울특별시 도봉구 삼양로146길 17,,37.6532035,127.0139875,도봉구청,도봉경찰서,Y,2,6~24,2019-09-05
"초등학교",숭미초교,서울특별시 도봉구 노해로 179,,37.6508453,127.0279643,도봉구청,도봉경찰서,Y,3,6~20,2019-09-05
"초등학교",신방학초교,서울특별시 도봉구 시루봉로 173,,37.6659578,127.0292294,도봉구청,도봉경찰서,Y,3,15,2019-09-05
"초등학교",신창초교,서울특별시 도봉구 덕릉로60길 93,,37.6361731,127.0421969,도봉구청,도봉경찰서,Y,4,6~10,2019-09-05
"초등학교",신학초교,서울특별시 도봉구 방학로 247-21,,37.6609904,127.0255131,도봉구청,도봉경찰서,Y,4,6~15,2019-09-05
"초등학교",신화,서울특별시 도봉구 우이천로 120,,37.6326698,127.0408596,도봉구청,도봉경찰서,Y,4,6~15,2019-09-05
"초등학교",쌍문,서울특별시 도봉구 우이천로 360,,37.6489734,127.0243080,도봉구청,도봉경찰서,Y,2,6~12,2019-09-05
"초등학교",오봉,서울특별시 도봉구 시루봉로 285,,37.6718842,127.0402882,도봉구청,도봉경찰서,Y,5,6~15,2019-09-05
"초등학교",월천,서울특별시 도봉구 노해로70길 96,,37.6478402,127.0522016,도봉구청,도봉경찰서,Y,3,20,2019-09-05
"초등학교",자운,서울특별시 도봉구 마들로13길 166,,37.6577174,127.0463946,도봉구청,도봉경찰서,Y,1,6~12,2019-09-05
"초등학교",창경,서울특별시 도봉구 도봉로129길 54,,37.6561144,127.0347544,도봉구청,도봉경찰서,Y,4,6~20,2019-09-05
"초등학교",창도,서울특별시 도봉구 방학로 32-28,,37.6638310,127.0490956,도봉구청,도봉경찰서,Y,3,6~12,2019-09-05
"초등학교",창동,서울특별시 도봉구 해등로16길 81,,37.6551924,127.0446861,도봉구청,도봉경찰서,Y,6,6~12,2019-09-05
"초등학교",창림,서울특별시 도봉구 덕릉로63길 46,,37.6429724,127.0415487,도봉구청,도봉경찰서,Y,4,6~10,2019-09-05
"초등학교",창원,서울특별시 도봉구 해등로 103,,37.6525531,127.0405530,도봉구청,도봉경찰서,Y,6,10~30,2019-09-05
"초등학교",창일,서울특별시 도봉구 노해로66길 84,,37.6471695,127.0476797,도봉구청,도봉경찰서,Y,5,20~25,2019-09-05
"초등학교",초당,서울특별시 도봉구 해등로32길 11,,37.6584988,127.0221014,도봉구청,도봉경찰서,Y,4,6~25,2019-09-05
"초등학교",동북,서울특별시 도봉구 시루봉로 53,,37.6553510,127.0268289,도봉구청,도봉경찰서,Y,3,6~15,2019-09-05
"초등학교",한신,서울특별시 도봉구 노해로49길 69,,37.6529105,127.0318063,도봉구청,도봉경찰서,Y,2,6~20,2019-09-05
"유치원",다솜,서울특별시 도봉구 해등로 169,,37.6571082049,127.0377335198,도봉구청,도봉경찰서,Y,1,20,2019-09-05
"유치원",솔샘,서울특별시 도봉구 해등로 169,,37.6571082049,127.0377335198,도봉구청,도봉경찰서,Y,0,20,2019-09-05
"유치원",윤정,서울특별시 도봉구 노해로 70길 54,,37.6492420,127.0509338,도봉구청,도봉경찰서,Y,0,20,2019-09-05
"유치원",행복한,서울특별시 도봉구 시루봉로 6길,,37.6585731,127.0312223,도봉구청,도봉경찰서,Y,1,6,2019-09-05
"유치원",유화,서울특별시 도봉구 시루봉로 101,,37.6598464251,127.0274579920,도봉구청,도봉경찰서,Y,0,20,2019-09-05
"유치원",사랑,서울특별시 도봉구 마들로 620,,37.6654300761,127.0466689346,도봉구청,도봉경찰서,Y,1,25,2019-09-05
"유치원",선아,서울특별시 도봉구 해등로4길 9,,37.6485286,127.0440451,도봉구청,도봉경찰서,Y,1,20,2019-09-05
"유치원",신창,서울특별시 도봉구 덕릉로 272,,37.6413368,127.0409612,도봉구청,도봉경찰서,Y,1,8~25,2019-09-05
"유치원",지현,서울특별시 도봉구 도봉산3길 21,,37.6863357,127.0439410,도봉구청,도봉경찰서,Y,1,8,2019-09-05
"유치원",현대,서울특별시 도봉구 삼양로 574-38,,37.6541520,127.0139500,도봉구청,도봉경찰서,Y,1,6,2019-09-05
"유치원",선희,서울특별시 도봉구 해등로 241,,37.6575825684,127.0298869150,도봉구청,도봉경찰서,Y,1,20,2019-09-05
"유치원",한볕,서울특별시 도봉구 덕릉로 63가길 43,,37.6429227880,127.0387778224,도봉구청,도봉경찰서,Y,1,6,2019-09-05
