"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",군자초교,서울특별시 동대문구 한천로6길 21,서울특별시 동대문구 장안1동 239-2,37.56412385,127.0605231,서울특별시 동대문구청,동대문경찰서,Y,3,,2019-11-25
"유치원",군자초교병설유치원,서울특별시 동대문구 한천로6길 21,서울특별시 동대문구 장안1동 239-2,37.56412385,127.0605231,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",답십리초교,서울특별시 동대문구 전농로3길 23,서울특별시 동대문구 답십리동 274,37.56880432,127.0554295,서울특별시 동대문구청,동대문경찰서,Y,5,,2019-11-25
"유치원",답십리초교병설유치원,서울특별시 동대문구 전농로3길 23,서울특별시 동대문구 답십리동 274,37.56880432,127.0554295,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",동답초교,서울특별시 동대문구 답십리로60길 12,서울특별시 동대문구 답십리동 2-24,37.57150295,127.0640336,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"초등학교",신답초교,서울특별시 동대문구 천호대로 177,서울특별시 동대문구 답십리동 463-13,37.57270542,127.0429615,서울특별시 동대문구청,동대문경찰서,Y,3,,2019-11-25
"초등학교",안평초교,서울특별시 동대문구 장한로14길 61,서울특별시 동대문구 장안1동 353-1,37.56596984,127.0720337,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"초등학교",장평초교,서울특별시 동대문구 답십리로69길 27,서울특별시 동대문구 장안2동 323,37.57399475,127.0738934,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"유치원",장평초교병설유치원,서울특별시 동대문구 답십리로69길 27,서울특별시 동대문구 장안2동 323,37.57399475,127.0738934,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",종암초교,서울특별시 동대문구 무학로44길 25,서울특별시 동대문구 제기동 1157,37.58230633,127.0318584,서울특별시 동대문구청,동대문경찰서,Y,3,,2019-11-25
"초등학교",청량초교,서울특별시 동대문구 회기로25길 31,서울특별시 동대문구 회기동 1-1,37.59230922,127.055908,서울특별시 동대문구청,동대문경찰서,Y,3,,2019-11-25
"초등학교",홍릉초교,서울특별시 동대문구 회기로 90,서울특별시 동대문구 청량리동 206-44,37.59068743,127.0477047,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25
"초등학교",배봉초교,서울특별시 동대문구 사가정로 193,서울특별시 동대문구 전농동 3-111,37.58008059,127.0668713,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"초등학교",전곡초교,서울특별시 동대문구 전농로 172,서울특별시 동대문구 전농동 188,37.58070438,127.0560126,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25
"초등학교",전농초교,서울특별시 동대문구 사가정로 66,서울특별시 동대문구 전농동 298,37.57472977,127.0543327,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"초등학교",전동초교,서울특별시 동대문구 전농로16길 61,서울특별시 동대문구 전농2동 45-41,37.57908644,127.0608069,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25
"유치원",전동초교병설유치원,서울특별시 동대문구 전농로16길 61,서울특별시 동대문구 전농2동 45-41,37.57908644,127.0608069,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",이문초교,서울특별시 동대문구 신이문로 16,서울특별시 동대문구 이문동 164-26,37.60189478,127.0648841,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"유치원",이문초교병설유치원,서울특별시 동대문구 신이문로 16,서울특별시 동대문구 이문동 164-26,37.60189478,127.0648841,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",휘경초교,서울특별시 동대문구 망우로6길 48,서울특별시 동대문구 휘경2동 302-2,37.5857622,127.0582128,서울특별시 동대문구청,동대문경찰서,Y,5,,2019-11-25
"유치원",휘경초교단설유치원,서울특별시 동대문구 망우로6길 48,서울특별시 동대문구 휘경동 302-2,37.5857622,127.0582128,서울특별시 동대문구청,동대문경찰서,Y,0,,2019-11-25
"초등학교",삼육초교,서울특별시 동대문구 회기로10길 63,서울특별시 동대문구 회기동 102-48,37.58877033,127.0471736,서울특별시 동대문구청,동대문경찰서,Y,2,,2019-11-25
"초등학교",은석초교,서울특별시 동대문구 장안벚꽃로 205,서울특별시 동대문구 장안2동 328,37.57855561,127.0757645,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25
