"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가동초등학교,서울특별시 송파구 중대로20길 47,서울특별시 송파구 가락2동 163,37.4973198,127.1302190,서울특별시 송파구청,송파경찰서,Y,3,9~12,2019-05-31
"초등학교",가락초등학교,서울특별시 송파구 송파대로37길 45,서울특별시 송파구 가락동 477,37.5001667,127.1076957,서울특별시 송파구청,송파경찰서,Y,2,10~15,2019-05-31
"초등학교",가원초등학교,서울특별시 송파구 중대로4길 8,서울특별시 송파구 문정2동 150-10,37.4893692,127.1110221,서울특별시 송파구청,송파경찰서,Y,2,15,2019-05-31
"초등학교",가주초등학교,서울특별시 송파구 오금로40길 37,서울특별시 송파구 가락2동 140-6,37.4965216,127.1293812,서울특별시 송파구청,송파경찰서,Y,2,8~15,2019-05-31
"초등학교",개롱초등학교,서울특별시 송파구 문정로 211,서울특별시 송파구 오금동 159,37.497352,127.1398426,서울특별시 송파구청,송파경찰서,Y,3,8~20,2019-05-31
"초등학교",거여초등학교,서울특별시 송파구 마천로25길 18,서울특별시 송파구 오금동 108-1,37.5047528,127.1410936,서울특별시 송파구청,송파경찰서,Y,3,7~12,2019-05-31
"초등학교",거원초등학교,서울특별시 송파구 양산로2길 26,서울특별시 송파구 거여2동 296-1,37.4878179,127.144733,서울특별시 송파구청,송파경찰서,Y,2,8~20,2019-05-31
"초등학교",남천초등학교,서울특별시 송파구 성내천로 200,서울특별시 송파구 마천2동 53,37.5005356,127.1501433,서울특별시 송파구청,송파경찰서,Y,5,6~24,2019-05-31
"초등학교",마천초등학교,서울특별시 송파구 마천로61다길 24,서울특별시 송파구 마천1동 183-4,37.4954974,127.1524746,서울특별시 송파구청,송파경찰서,Y,5,5~12,2019-05-31
"초등학교",문덕초등학교,서울특별시 송파구 송이로34길 60,서울특별시 송파구 장지동 90-3,37.4852891,127.1275633,서울특별시 송파구청,송파경찰서,Y,5,8~15,2019-05-31
"초등학교",문정초등학교,서울특별시 송파구 문정로5길 20,서울특별시 송파구 문정1동 12,37.4884717,127.128957,서울특별시 송파구청,송파경찰서,Y,3,8~20,2019-05-31
"초등학교",문현초등학교,서울특별시 송파구 충민로 137,서울특별시 송파구 장지동 185-2,37.482753,127.130244,서울특별시 송파구청,송파경찰서,Y,4,10~30,2019-05-31
"초등학교",방산초등학교,서울특별시 송파구 오금로29길 31,서울특별시 송파구 방이1동 220,37.5091513,127.1219039,서울특별시 송파구청,송파경찰서,Y,6,8~15,2019-05-31
"초등학교",방이초등학교,서울특별시 송파구 위례성대로10길 4,서울특별시 송파구 방이1동 167,37.5130915,127.1205626,서울특별시 송파구청,송파경찰서,Y,6,6~15,2019-05-31
"초등학교",버들초등학교,서울특별시 송파구 석촌호수로 81,서울특별시 송파구 잠실3동 35-6,37.5103926,127.0890283,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"초등학교",삼전초등학교,서울특별시 송파구 백제고분로28길 19,서울특별시 송파구 삼전동 63,37.5015071,127.0927452,서울특별시 송파구청,송파경찰서,Y,3,10,2019-05-31
"초등학교",석촌초등학교,서울특별시 송파구 가락로11길 26,서울특별시 송파구 석촌동 267,37.5027584,127.1048724,서울특별시 송파구청,송파경찰서,Y,3,10,2019-05-31
"초등학교",세륜초등학교,서울특별시 송파구 양재대로 1264,서울특별시 송파구 오륜동 89-23,37.5183539,127.1341356,서울특별시 송파구청,송파경찰서,Y,1,15~25,2019-05-31
"초등학교",송례초등학교,서울특별시 송파구 위례순환로 439,서울특별시 송파구 위례동 898,37.4777421,127.1383172,서울특별시 송파구청,송파경찰서,Y,1,25,2019-05-31
"초등학교",송전초등학교,서울특별시 송파구 석촌호수로 159,서울특별시 송파구 잠실3동 44-2,37.5084993,127.094988,서울특별시 송파구청,송파경찰서,Y,2,23~35,2019-05-31
"초등학교",송파초등학교,서울특별시 송파구 풍성로20길 44,서울특별시 송파구 송파1동 114,37.5316979,127.1155695,서울특별시 송파구청,송파경찰서,Y,4,6,2019-05-31
"초등학교",신가초등학교,서울특별시 송파구 송이로 75,서울특별시 송파구 가락본동 43-1,37.5003769,127.1198579,서울특별시 송파구청,송파경찰서,Y,3,8,2019-05-31
"초등학교",신천초등학교,서울특별시 송파구 올림픽로 215,서울특별시 송파구 잠실3동 27-5,37.5137862,127.0953838,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"초등학교",아주초등학교,서울특별시 송파구 올림픽로4길 59,서울특별시 송파구 잠실7동 354,37.5058275216,127.0757668819,서울특별시 송파구청,송파경찰서,Y,3,9~20,2019-05-31
"초등학교",영풍초등학교,서울특별시 송파구 오금로57길 15,서울특별시 송파구 거여1동 12,37.4962643,127.1429912,서울특별시 송파구청,송파경찰서,Y,7,7~9,2019-05-31
"초등학교",오금초등학교,서울특별시 송파구 위례성대로22길 11,서울특별시 송파구 오금동 7,37.5091778,127.1317034,서울특별시 송파구청,송파경찰서,Y,3,8~15,2019-05-31
"초등학교",오륜초등학교,서울특별시 송파구 양재대로 1196,서울특별시 송파구 오륜동 89-16,37.5122054,127.1347813,서울특별시 송파구청,송파경찰서,Y,1,22,2019-05-31
"초등학교",잠동초등학교,서울특별시 송파구 올림픽로35길 122,서울특별시 송파구 잠실6동 7-2,37.517983,127.100154,서울특별시 송파구청,송파경찰서,Y,2,8~12,2019-05-31
"초등학교",잠실초등학교,서울특별시 송파구 올림픽로35길 20(,서울특별시 송파구 잠실4동 20-1,37.5201866037,127.111310141,서울특별시 송파구청,송파경찰서,Y,1,15~28,2019-05-31
"초등학교",잠일초등학교,서울특별시 송파구 올림픽로 95,서울특별시 송파구 잠실2동 19-1,37.5147399506,127.0816350840,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"초등학교",잠전초등학교,서울특별시 송파구 올림픽로12길 51,서울특별시 송파구 잠실본동 229,37.5071595,127.084294,서울특별시 송파구청,송파경찰서,Y,4,6~10,2019-05-31
"초등학교",잠현초등학교,서울특별시 송파구 올림픽로37길 109,서울특별시 송파구 잠실4동 20-1,37.5225856923,127.104713,서울특별시 송파구청,송파경찰서,Y,3,11~25,2019-05-31
"초등학교",중대초등학교,서울특별시 송파구 송파대로36길 8,서울특별시 송파구 송파2동 191,37.4994062,127.1135642,서울특별시 송파구청,송파경찰서,Y,5,6~10,2019-05-31
"초등학교",토성초등학교,서울특별시 송파구 풍성로20길 44,서울특별시 송파구 풍납2동 191,37.5316979,127.1155695,서울특별시 송파구청,송파경찰서,Y,4,6~15,2019-05-31
"초등학교",평화초등학교,서울특별시 송파구 송파대로26길 22,서울특별시 송파구 가락본동 106,37.4914378,127.1228091,서울특별시 송파구청,송파경찰서,Y,4,8~10,2019-05-31
"초등학교",풍납초등학교,서울특별시 송파구 풍성로 43,서울특별시 송파구 풍납1동 165,37.5348603,127.1174625,서울특별시 송파구청,송파경찰서,Y,4,5~15,2019-05-31
"초등학교",풍성초등학교,서울특별시 송파구 강동대로 62,서울특별시 송파구 풍납2동 388-8,37.5264896,127.1139792,서울특별시 송파구청,송파경찰서,Y,3,20,2019-05-31
"초등학교",해누리초등학교,서울특별시 송파구 송파대로37길 95,서울특별시 송파구 가락동 479-1,37.498614,127.102596,서울특별시 송파구청,송파경찰서,Y,2,10~15,2019-05-31
"유치원",가락병설유치원,서울특별시 송파구 송파대로37길 45,서울특별시 송파구 가락동 477,37.5001667,127.107614,서울특별시 송파구청,송파경찰서,Y,2,10~15,2019-05-31
"유치원",거여병설유치원,서울특별시 송파구 마천로25길 18,서울특별시 송파구 오금동 108-1,37.5047528,127.1410936,서울특별시 송파구청,송파경찰서,Y,4,7~12,2019-05-31
"유치원",기린유치원,서울특별시 송파구 백제고분로41길 20,서울특별시 송파구 송파1동 24,37.507711,127.107597,서울특별시 송파구청,송파경찰서,Y,1,6~10,2019-05-31
"유치원",꿈밭유치원,서울특별시 송파구 올림픽로4길 32,서울특별시 송파구 잠실7동 101-8,37.507822,127.074212,서울특별시 송파구청,송파경찰서,Y,1,20,2019-05-31
"유치원",동삼유치원,서울특별시 송파구 마천로41길 14,서울특별시 송파구 마천2동 128-16,37.4969515,127.1490677,서울특별시 송파구청,송파경찰서,Y,1,7~10,2019-05-31
"유치원",동화나라유치원,서울특별시 송파구 강동대로3길 23,서울특별시 송파구 풍납2동 238-2,37.5287737,127.115429,서울특별시 송파구청,송파경찰서,Y,1,7~8,2019-05-31
"유치원",별나라유치원,서울특별시 송파구 새말로8길 12,서울특별시 송파구 장지동 72-3,37.481381,127.1257876896,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"유치원",불광유치원,서울특별시 송파구 송파대로49길 23,서울특별시 송파구 석촌동 160-1,37.5068634,127.1021089,서울특별시 송파구청,송파경찰서,Y,1,5~8,2019-05-31
"유치원",생명나무유치원,서울특별시 송파구 송파대로8길 17,서울특별시 송파구 장지동 843-2,37.4780700,127.1288062,서울특별시 송파구청,송파경찰서,Y,1,15~21,2019-05-31
"유치원",석촌유치원,서울특별시 송파구 백제고분로40길 20,서울특별시 송파구 석촌동 281-6,37.502878,127.106653,서울특별시 송파구청,송파경찰서,Y,2,10,2019-05-31
"유치원",세륜병설유치원,서울특별시 송파구 양재대로 1264,서울특별시 송파구 오륜동 89-23,37.5183539,127.1341356,서울특별시 송파구청,송파경찰서,Y,1,15~25,2019-05-31
"유치원",송전병설유치원,서울특별시 송파구 석촌호수로 159,서울특별시 송파구 잠실3동 44-2,37.508405,127.0949748,서울특별시 송파구청,송파경찰서,Y,2,23~35,2019-05-31
"유치원",수정유치원,서울특별시 송파구 위례성대로 28,서울특별시 송파구 방이2동 45-4,37.516071,127.1150390,서울특별시 송파구청,송파경찰서,Y,1,4~6,2019-05-31
"유치원",시연유치원,서울특별시 송파구 오금로24길 25,서울특별시 송파구 송파2동 162-3,37.5046680,127.1173577,서울특별시 송파구청,송파경찰서,Y,1,6,2019-05-31
"유치원",신천병설유치원,서울특별시 송파구 올림픽로 215,서울특별시 송파구 잠실3동 27-5,37.5137862,127.0953838,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"유치원",아이코리아새세대유치원,서울특별시 송파구 충민로6길 17,서울특별시 송파구 장지동 45,37.4821000,127.1335388,서울특별시 송파구청,송파경찰서,Y,1,8~12,2019-05-31
"유치원",아주유치원,서울특별시 송파구 올림픽로4길 59,서울특별시 송파구 거여2동 295,37.5058275216,127.0757668819,서울특별시 송파구청,송파경찰서,Y,1,12,2019-05-31
"유치원",예은유치원,서울특별시 송파구 오금로32길 13,서울특별시 송파구 송파2동 395,37.504712,127.120402,서울특별시 송파구청,송파경찰서,Y,1,14~16,2019-05-31
"유치원",위례 솔가람유치원,서울특별시 송파구 위례순환로 419,서울특별시 송파구 위례동 406,37.4780167024,127.140967833,서울특별시 송파구청,송파경찰서,Y,1,8~12,2019-05-31
"유치원",은선유치원,서울특별시 송파구 동남로11길 27,서울특별시 송파구 가락2동 125-10,37.492130,127.126346,서울특별시 송파구청,송파경찰서,Y,1,8,2019-05-31
"유치원",잠신병설유치원,서울특별시 송파구 잠실로 32,서울특별시 송파구 잠실2동 22-10,37.5141325,127.0879195,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"유치원",잠일병설유치원,서울특별시 송파구 올림픽로 95,서울특별시 송파구 잠실2동 19-1,37.5147399506,127.0816350840,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"유치원",제일무궁화유치원,서울특별시 송파구 동남로16길 3,서울특별시 송파구 가락2동 193-9,37.4946844,127.1309801,서울특별시 송파구청,송파경찰서,Y,1,8~10,2019-05-31
"유치원",햇빛유치원,서울특별시 송파구 올림픽로 419,서울특별시 송파구 잠실4동 20-52,37.520487,127.114124,서울특별시 송파구청,송파경찰서,Y,1,6,2019-05-31
"유치원",혜림유치원,서울특별시 송파구 문정로13길 13,서울특별시 송파구 가락2동 186-8,37.494297,127.135206,서울특별시 송파구청,송파경찰서,Y,2,8,2019-05-31
"어린이집",가락본동어린이집,서울특별시 송파구 송이로17길 46,서울특별시 송파구 가락본동 16,37.5009710,127.1246281,서울특별시 송파구청,송파경찰서,Y,1,6~8,2019-05-31
"어린이집",가원어린이집,서울특별시 송파구 오금로57길 22,서울특별시 송파구 거여1동 178-123,37.4955385,127.1436758,서울특별시 송파구청,송파경찰서,Y,1,6~7,2019-05-31
"어린이집",거여어린이집,서울특별시 송파구 오금로 475,서울특별시 송파구 거여1동 20-7,37.4945327,127.1421550,서울특별시 송파구청,송파경찰서,Y,1,7~9,2019-05-31
"어린이집",금륜어린이집,서울특별시 송파구 거마로24길 8-6,서울특별시 송파구 마천2동 44-7,37.4994528,127.148035,서울특별시 송파구청,송파경찰서,Y,2,6~8,2019-05-31
"어린이집",뉴한가람어린이집,서울특별시 송파구 성내천로 162,서울특별시 송파구 마천2동 38,37.4996279,127.1463491,서울특별시 송파구청,송파경찰서,Y,1,8,2019-05-31
"어린이집",마천어린이집,서울특별시 송파구 마천로61다길 28-7,서울특별시 송파구 마천1동 183-56,37.495769,127.1517511,서울특별시 송파구청,송파경찰서,Y,1,5~12,2019-05-31
"어린이집",버들어린이집,서울특별시 송파구 충민로6길 10,서울특별시 송파구 장지동 291-1,37.4812623,127.131429,서울특별시 송파구청,송파경찰서,Y,1,10~30,2019-05-31
"어린이집",사랑어린이집,서울특별시 송파구 토성로19길 35-1,서울특별시 송파구 풍납2동 503-1,37.5314675,127.1193467,서울특별시 송파구청,송파경찰서,Y,2,6~9,2019-05-31
"어린이집",산성어린이집,서울특별시 송파구 마천로41길 12,서울특별시 송파구 마천2동 127-1,37.4970076735,127.148677,서울특별시 송파구청,송파경찰서,Y,1,7~10,2019-05-31
"어린이집",석촌호수어린이집,서울특별시 송파구 석촌호수로18길 11-5,서울특별시 송파구 석촌동 156-5번지,37.5060548,127.1014705,서울특별시 송파구청,송파경찰서,Y,1,6,2019-05-31
"어린이집",송파제일어린이집,서울특별시 송파구 가락로23길 9,서울특별시 송파구 송파1동 106-9,37.503545,127.1122247,서울특별시 송파구청,송파경찰서,Y,2,5,2019-05-31
"어린이집",아산병원어린이집,서울특별시 송파구 강동대로 13,서울특별시 송파구 풍납2동 388,37.5292550,127.1102661,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"어린이집",열매어린이집,서울특별시 송파구 올림픽로47길 9,서울특별시 송파구 풍납2동 401-1,37.5272233,127.1177482,서울특별시 송파구청,송파경찰서,Y,1,6,2019-05-31
"어린이집",예랑어린이집,서울특별시 송파구 백제고분로36가길 21,서울특별시 송파구 석촌동 150-11,37.504517,127.102431,서울특별시 송파구청,송파경찰서,Y,2,5~6,2019-05-31
"어린이집",오금어린이집,서울특별시 송파구 마천로27길 4,서울특별시 송파구 오금동 114-31,37.502546,127.140539,서울특별시 송파구청,송파경찰서,Y,1,10,2019-05-31
"어린이집",잠실어린이집,서울특별시 송파구 올림픽로37길 121,서울특별시 송파구 잠실4동 17,37.5217170549,127.104801093,서울특별시 송파구청,송파경찰서,Y,1,11~25,2019-05-31
"어린이집",주주어린이집,서울특별시 송파구 삼전로7길 22,서울특별시 송파구 잠실본동 236-17,37.5058262,127.0863534,서울특별시 송파구청,송파경찰서,Y,1,5~10,2019-05-31
"어린이집",천마어린이집,서울특별시 송파구 성내천로 315,서울특별시 송파구 마천1동 211-86,37.492714,127.156427,서울특별시 송파구청,송파경찰서,Y,1,22,2019-05-31
"어린이집",천사어린이집,서울특별시 송파구 거마로24길 11,서울특별시 송파구 마천2동 93-5,37.499491,127.1491268,서울특별시 송파구청,송파경찰서,Y,1,6~8,2019-05-31
"어린이집",풍납어린이집,서울특별시 송파구 토성로 60,서울특별시 송파구 풍납2동 403-4,37.5288075,127.1165540,서울특별시 송파구청,송파경찰서,Y,1,15~25,2019-05-31
"어린이집",풍성어린이집,서울특별시 송파구 풍성로25길 21-3,서울특별시 송파구 풍납1동 485-14,37.535373,127.1204235,서울특별시 송파구청,송파경찰서,Y,1,6~10,2019-05-31
"어린이집",행복한어린이집,서울특별시 송파구 백제고분로42길 5,서울특별시 송파구 송파1동 113-2,37.505896,127.109705,서울특별시 송파구청,송파경찰서,Y,1,9,2019-05-31
"특수학교",한국육영학교,서울특별시 송파구 충민로6길 15,서울특별시 송파구 장지동 45,37.4820482,127.1324901,서울특별시 송파구청,송파경찰서,Y,1,8~12,2019-05-31
"초등학교",위례별초등학교,서울특별시 송파구 위례광장로 243,서울특별시 송파구 위례동 886,37.4790857762,127.1450399297,서울특별시 송파구청,송파경찰서,Y,2,20~30,2019-05-31
"초등학교",잠신초등학교,서울특별시 송파구 잠실로 32,서울특별시 송파구 잠실2동 22-10,37.5141325,127.0879195,서울특별시 송파구청,송파경찰서,Y,1,15,2019-05-31
"유치원",티움유치원,서울특별시 송파구 송파대로36길 32-6,서울특별시 송파구 송파2동 180-18,37.501047,127.115237,서울특별시 송파구청,송파경찰서,Y,1,4~10,2019-05-31
"어린이집",예일어린이집,서울특별시 송파구 백제고분로20길 16,서울특별시 송파구 잠실본동 331,37.5034276476,127.0857213195,서울특별시 송파구청,송파경찰서,Y,1,4,2019-05-31
