"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",남명초교,서울특별시 양천구 중앙로23길 3,서울특별시 양천구 신정3동 653-5,37.5156835515,126.8540839052,서울특별시 양천구청,양천경찰서,Y,12,5,2019-11-01
"초등학교",양동초교,서울특별시 양천구 오목로23길 24,서울특별시 양천구 신정4동 941,37.5258469129,126.8512404239,서울특별시 양천구청,양천경찰서,Y,8,6,2019-11-01
"초등학교",강서초교,서울특별시 양천구 오목로 31,서울특별시 양천구 신월4동 441,37.5224133541,126.8409133,서울특별시 양천구청,양천경찰서,Y,6,5,2019-11-01
"초등학교",강신초교,서울특별시 양천구 월정로 280,서울특별시 양천구 신월5동 6-7,37.5421005174,126.8295869,서울특별시 양천구청,양천경찰서,Y,6,7,2019-11-01
"초등학교",신원초교,서울특별시 양천구 남부순환로58길 32,서울특별시 양천구 신월3동 204,37.529559,126.8298643780,서울특별시 양천구청,양천경찰서,Y,6,6,2019-11-01
"초등학교",양강초교,서울특별시 양천구 오목로 101,서울특별시 양천구 신월2동 496,37.5236040288,126.8474800727,서울특별시 양천구청,양천경찰서,Y,5,6,2019-11-01
"초등학교",양원초교,서울특별시 양천구 화곡로 16,서울특별시 양천구 신월3동 40-1,37.5382166977,126.8231055651,서울특별시 양천구청,양천경찰서,Y,4,6,2019-11-01
"초등학교",갈산초교,서울특별시 양천구 목동로 31,서울특별시 양천구 신정7동 330-11,37.5123722843,126.8702286299,서울특별시 양천구청,양천경찰서,Y,8,14,2019-11-01
"초등학교",강월초교,서울특별시 양천구 신월로 97,서울특별시 양천구 신월7동 987-3,37.5163409961,126.8334325030,서울특별시 양천구청,양천경찰서,Y,6,8,2019-11-01
"초등학교",경인초교,서울특별시 양천구 안양천로 1009,서울특별시 양천구 목5동 911-4,37.5328933,126.8856977141,서울특별시 양천구청,양천경찰서,Y,4,4,2019-11-01
"초등학교",계남초교,서울특별시 양천구 목동동로2길 54,서울특별시 양천구 신정7동 325-7,37.5101693827,126.8600168110,서울특별시 양천구청,양천경찰서,Y,5,7,2019-11-01
"초등학교",목동초교,서울특별시 양천구 목동동로12길 12,서울특별시 양천구 신정2동 86-2,37.5228079602,126.8721597,서울특별시 양천구청,양천경찰서,Y,5,5,2019-11-01
"초등학교",서정초교,서울특별시 양천구 목동로8길 19,서울특별시 양천구 목1동 927-5,37.5234512930,126.8672365194,서울특별시 양천구청,양천경찰서,Y,3,7,2019-11-01
"초등학교",신목초교,서울특별시 양천구 신목로5길 11-6,서울특별시 양천구 신정2동 281-1,37.5166096267,126.8726846,서울특별시 양천구청,양천경찰서,Y,8,6,2019-11-01
"초등학교",신서초교,서울특별시 양천구 목동서로10길 35,서울특별시 양천구 신정1동 312-1,37.5205957,126.8623322121,서울특별시 양천구청,양천경찰서,Y,4,7,2019-11-01
"초등학교",양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.516375041,126.85663442,서울특별시 양천구청,양천경찰서,Y,1,7,2019-11-01
"초등학교",양목초교,서울특별시 양천구 목동로11길 30,서울특별시 양천구 신정4동 1001,37.5239167960,126.8614708124,서울특별시 양천구청,양천경찰서,Y,11,5,2019-11-01
"초등학교",양화초교,서울특별시 양천구 목동중앙북로16길 57,서울특별시 양천구 목2동 4542,37.5436699282,126.8739854761,서울특별시 양천구청,양천경찰서,Y,8,5,2019-11-01
"초등학교",영도초교,서울특별시 양천구 목동중앙로 70,서울특별시 양천구 목5동 903-1,37.5359515724,126.8719437732,서울특별시 양천구청,양천경찰서,Y,7,7,2019-11-01
"초등학교",월촌초교,서울특별시 양천구 목동중앙로 132,서울특별시 양천구 목5동 901-1,37.5406954304,126.8762580281,서울특별시 양천구청,양천경찰서,Y,4,7,2019-11-01
"초등학교",은정초교,서울특별시 양천구 목동로3길 41,서울특별시 양천구 신정7동 276,37.513600678,126.8697062,서울특별시 양천구청,양천경찰서,Y,,14,2019-11-01
"초등학교",정목초교,서울특별시 양천구 목동중앙로3길 30-10,서울특별시 양천구 목4동 757,37.5365297488,126.8700510053,서울특별시 양천구청,양천경찰서,Y,9,5,2019-11-01
"초등학교",목원초교,서울특별시 양천구 목동중앙로 204,서울특별시 양천구 목5동 929,37.5429362307,126.8824793,서울특별시 양천구청,양천경찰서,Y,2,14,2019-11-01
"초등학교",신강초교,서울특별시 양천구 목동중앙로55길 72,서울특별시 양천구 신월2동 448-5,37.525717,126.841556,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"초등학교",신남초교,서울특별시 양천구 절골8길 33,서울특별시 양천구 신월6동 590-1,37.5165294694,126.8447978234,서울특별시 양천구청,양천경찰서,Y,5,5,2019-11-01
"초등학교",신기초교,서울특별시 양천구 신정로 292,서울특별시 양천구 신정3동 1274,37.5113120448,126.8542145709,서울특별시 양천구청,양천경찰서,Y,6,7,2019-11-01
"초등학교",지향초교,서울특별시 양천구 신정로11길 74,서울특별시 양천구 신정3동 1284,37.5128393022,126.8370235743,서울특별시 양천구청,양천경찰서,Y,10,6,2019-11-01
"초등학교",장수초교,서울특별시 양천구 신정로13가길 30,서울특별시 양천구 신정3동 1288-2,37.5129980104,126.8451580369,서울특별시 양천구청,양천경찰서,Y,5,6,2019-11-01
"초등학교",목운초교,서울특별시 양천구 목동동로 235,서울특별시 양천구 목1동 922,37.5270112303,126.8730106,서울특별시 양천구청,양천경찰서,Y,5,14,2019-11-01
"초등학교",신은초교,서울특별시 양천구 신정이펜2로 30,서울특별시 양천구 신정3동781-14,37.5139921,126.8321710602,서울특별시 양천구청,양천경찰서,Y,4,7,2019-11-01
"유치원",해림유치원,서울특별시 양천구 목동서로2길 22,서울특별시 양천구 목5동 929,37.5416281755,126.8826428082,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"유치원",다솜유치원,서울특별시 양천구 월정로9길 23-4,서울특별시 양천구 신월4동 422-2,37.5242375680,126.8387504,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",대한유치원,서울특별시 양천구 오목로13길 31,서울특별시 양천구 신월2동 465-6,37.5257341168,126.8448059071,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",동연유치원,서울특별시 양천구 목동중앙북로7길 22,서울특별시 양천구 목3동 602-16,37.548809,126.8677074719,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",등대유치원,서울특별시 양천구 목동동로12길 60,서울특별시 양천구 신정2동 1279,37.522132806,126.87779096,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",등촌유치원,서울특별시 양천구 목동중앙북로8길 46,서울특별시 양천구 목3동 625-19,37.5465755463,126.8649065,서울특별시 양천구청,양천경찰서,Y,4,6,2019-11-01
"유치원",목성유치원,서울특별시 양천구 목동동로 50,서울특별시 양천구 신정7동 326,37.5120942491,126.8602891991,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"유치원",사슴유치원,서울특별시 양천구 곰달래로9길 12,서울특별시 양천구 신월1동 121-1,37.5309009656,126.8358401,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",상아유치원,서울특별시 양천구 지양로5길 2,서울특별시 양천구 신월7동 953-6,37.5209295862,126.8339068,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",성보유치원,서울특별시 양천구 목동중앙본로7길 13,서울특별시 양천구 목4동 741-11,37.5396230608,126.867725,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",어린이의정원유치원,서울특별시 양천구 목동남로4길 6-46,서울특별시 양천구 신정7동 337-2,37.5065709022,126.8647691833,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",원일유치원,서울특별시 양천구 목동동로 350,서울특별시 양천구 목5동 912,37.5351582313,126.8818745264,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",빛나유치원,서울특별시 양천구 목동로 212,서울특별시 양천구 목1동 925,37.529249979,126.86709501,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"유치원",신일유치원,서울특별시 양천구 오목로 57,서울특별시 양천구 신월2동 490-15,37.5226148,126.8441063926,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",이화유치원,서울특별시 양천구 지양로15길 9,서울특별시 양천구 신월7동 912-6,37.5230013606,126.8310058890,서울특별시 양천구청,양천경찰서,Y,3,6,2019-11-01
"유치원",튼튼유치원,서울특별시 양천구 목동중앙로52길 62,서울특별시 양천구 신정4동 915-4,37.525867,126.857291,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",레인보우유치원,서울특별시 양천구 목동중앙북로24길 19-8,서울특별시 양천구 목2동 520-29,37.5455303015,126.878038,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"유치원",세화유치원,서울특별시 양천구 목동동로 130,서울특별시 양천구 신정6동 331,37.5150007145,126.8712375639,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",푸른유치원,서울특별시 양천구 목동로11길 23,서울특별시 양천구 신정4동 1011-3,37.5230403,126.8624045011,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"유치원",신목유치원,서울특별시 양천구 목동중앙북로10길 7-10,서울특별시 양천구 목2동 504-12,37.546331,126.870203,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"유치원",계상유치원,서울특별시 양천구 남부순환로86길 22,서울특별시 양천구 신정3동 1286-1,37.5125079977,126.839855,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",광영유치원,서울특별시 양천구 남부순환로30길 17,서울특별시 양천구 신월3동 43-2,37.5371970209,126.8232754294,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"유치원",세진유치원,서울특별시 양천구 월정로46길 9,서울특별시 양천구 신월5동 20-34,37.5409075,126.832709,서울특별시 양천구청,양천경찰서,Y,1,13,2019-11-01
"유치원",수영유치원,서울특별시 양천구 목동서로 38,서울특별시 양천구 목5동 901,37.5412924200,126.8785019750,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",아란유치원,서울특별시 양천구 목동서로 100,서울특별시 양천구 목5동 903,37.5342240439,126.8741688204,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",목동유치원,서울특별시 양천구 오목로42길 13,서울특별시 양천구 신정4동 1000-3,37.5243770430,126.860513,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"유치원",한서유치원,서울특별시 양천구 목동동로 430,서울특별시 양천구 목5동 911,37.5352039738,126.8843952735,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"유치원",신예유치원,서울특별시 양천구 신정로 290,서울특별시 양천구 신정3동 1276,37.5123238354,126.8534570407,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",신정유치원,서울특별시 양천구 신정로7길 81-4,서울특별시 양천구 신정3동 1319-3,37.5135694243,126.8333707968,서울특별시 양천구청,양천경찰서,Y,1,8,2019-11-01
"유치원",경인초교병설,서울특별시 양천구 안양천로 1009,서울특별시 양천구 목5동 911,37.5328933,126.8856977141,서울특별시 양천구청,양천경찰서,Y,,4,2019-11-01
"유치원",신기초교병설,서울특별시 양천구 신정로 292,서울특별시 양천구 신정3동 1274,37.5113120448,126.8542145709,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",신원초교병설,서울특별시 양천구 남부순환로58길 32,서울특별시 양천구 신월3동 202-1,37.529559,126.8298643780,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"유치원",양목초교병설,서울특별시 양천구 목동로11길 30,서울특별시 양천구 신정4동 1001,37.5239167960,126.8614708124,서울특별시 양천구청,양천경찰서,Y,,5,2019-11-01
"유치원",영도초교병설,서울특별시 양천구 목동중앙로 70,서울특별시 양천구 목5동 903-1,37.5359515724,126.8719437732,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",월촌초교병설,서울특별시 양천구 목동중앙로 132,서울특별시 양천구 목5동 901-1,37.5406954304,126.8762580281,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"유치원",장수초교병설,서울특별시 양천구 신정로13가길 30,서울특별시 양천구 신정3동 1288-2,37.5129980104,126.8451580369,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"어린이집",꿈나래어린이집,서울특별시 양천구 목동동로12길 7,서울특별시 양천구 목1동 405-463,37.5231041,126.872139,서울특별시 양천구청,양천경찰서,Y,,6,2019-11-01
"어린이집",다솜어린이집,서울특별시 양천구 목동중앙로13길 22,서울특별시 양천구 목2동 131-3,37.5453430951,126.8818403523,서울특별시 양천구청,양천경찰서,Y,2,6,2019-11-01
"어린이집",신나는어린이집,서울특별시 양천구 목동남로 90,서울특별시 양천구 신정7동 330-13,37.510903,126.86856159,서울특별시 양천구청,양천경찰서,Y,1,7,2019-11-01
"어린이집",양천삼성어린이집,서울특별시 양천구 목동동로8길 36,서울특별시 양천구 신정6동 329-4,37.515519,126.871488,서울특별시 양천구청,양천경찰서,Y,,7,2019-11-01
"어린이집",청솔어린이집,서울특별시 양천구 목동중앙남로3가길 115,서울특별시 양천구 목3동 713-23,37.5407511,126.864345,서울특별시 양천구청,양천경찰서,Y,1,6,2019-11-01
"어린이집",파란들어린이집,서울특별시 양천구 가로공원로 85,서울특별시 양천구 신월3동 48-12,37.535612,126.825367,서울특별시 양천구청,양천경찰서,Y,1,17,2019-11-01
"어린이집",파랑새어린이집,서울특별시 양천구 남부순환로70길 8,서울특별시 양천구 신월7동 965-1,37.5221324558,126.835878,서울특별시 양천구청,양천경찰서,Y,2,7,2019-11-01
