"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",KDB어린이집,서울특별시 영등포구 은행로 14,서울특별시 영등포구 여의도동 16-3,37.527080,126.920824,영등포구청,영등포경찰서,Y,1,22,2019-05-03
"어린이집",양평3가어린이집,서울특별시 영등포구 선유서로34길 10,서울특별시 영등포구 양평동3가 36,37.526829,126.887360,영등포구청,영등포경찰서,Y,1,7~9.5,2019-05-03
"어린이집",꿈나무어린이집,서울특별시 영등포구 대방천로 199,서울특별시 영등포구 신길동 3741-18,37.498986,126.913041,영등포구청,영등포경찰서,Y,1,7~9.5,2019-05-03
"어린이집",영신어린이집,서울특별시 영등포구 신길로 132,서울특별시 영등포구 신길4동 239-6,37.503962,126.910783,영등포구청,영등포경찰서,Y,1,20,2019-05-03
"어린이집",하나푸르니신길어린이집,서울특별시 영등포구 신길로40길 5,서울특별시 영등포구 신길동 232-20,37.507080,126.911729,영등포구청,영등포경찰서,Y,3,4,2019-05-03
"어린이집",하정어린이집,서울특별시 영등포구 여의대방로 211,서울특별시 영등포구 신길7동 869,37.505832,126.922179,영등포구청,영등포경찰서,Y,2,5~12,2019-05-03
"어린이집",해태어린이집,서울특별시 영등포구 가마산로 316,서울특별시 영등포구 대림3동 777,37.497999,126.894845,영등포구청,영등포경찰서,Y,1,6.5~8.5,2019-05-03
"어린이집",은석어린이집,서울특별시 영등포구 여의대방로23길 11,서울특별시 영등포구 신길6동 4260,37.498165,126.918688,영등포구청,영등포경찰서,Y,1,6,2019-05-03
"어린이집",양평1동어린이집,서울특별시 영등포구 선유서로24길 21,서울특별시 영등포구 양평동1가 211-1,37.5236245376,126.888358,영등포구청,영등포경찰서,Y,1,5,2019-05-03
"어린이집",신이화어린이집,서울특별시 영등포구 선유로3길 23,서울특별시 영등포구 문래동5가 19-8,37.5160567828,126.8853161528,영등포구청,영등포경찰서,Y,1,9,2019-05-03
"어린이집",무지개영재어린이집,서울특별시 영등포구 당산로27길 23-2,서울특별시 영등포구 당산동3가 474-2,37.525209,126.893596,영등포구청,영등포경찰서,Y,1,8,2019-05-03
"어린이집",남서울어린이집,서울특별시 영등포구 버드나루로14가길 35,서울특별시 영등포구 당산동 121-98,37.528438,126.908484,영등포구청,영등포경찰서,Y,1,5.5~13,2019-05-03
"어린이집",국회어린이집,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,37.531081,126.916550,영등포구청,영등포경찰서,Y,1,13,2019-05-03
"어린이집",구립신길5동어린이집,서울특별시 영등포구 신길로13길 20,서울특별시 영등포구 신길동 440-53,37.497564,126.906102,영등포구청,영등포경찰서,Y,1,8,2019-05-03
"유치원",푸른나라유치원,서울특별시 영등포구 당산로35길 3,서울특별시 영등포구 당산동4가 37,37.528706,126.897104,영등포구청,영등포경찰서,Y,1,7.5,2019-05-03
"유치원",양평유치원,서울특별시 영등포구 양평로20길 7,서울특별시 영등포구 양평동4가 184,37.537874,126.895548,영등포구청,영등포경찰서,Y,1,5.85,2019-05-03
"유치원",연화유치원,서울특별시 영등포구 도신로60길 30,서울특별시 영등포구 신길1동 136,37.509246,126.917206,영등포구청,영등포경찰서,Y,1,8~9,2019-05-03
"유치원",돈보스꼬유치원,서울특별시 영등포구 도영로22길 22,서울특별시 영등포구 도림동 161,37.5105463373,126.9013855624,영등포구청,영등포경찰서,Y,1,7~8,2019-05-03
"유치원",영은유치원,서울특별시 영등포구 양산로 61,서울특별시 영등포구 양평동3가 8-2,37.525231,126.890011,영등포구청,영등포경찰서,Y,1,4,2019-05-03
"유치원",윤중초등학교병설유치원,서울특별시 영등포구 여의나루로2길 14,서울특별시 영등포구 여의도동 38,37.519747,126.922807,영등포구청,영등포경찰서,Y,1,5~14,2019-05-03
"유치원",영중초등학교병설유치원,서울특별시 영등포구 양산로 185,서울특별시 영등포구 영등포동7가 53,37.523659,126.903814,영등포구청,영등포경찰서,Y,1,6~9,2019-05-03
"유치원",영림초등학교병설유치원,서울특별시 영등포구 시흥대로173길 14,서울특별시 영등포구 대림동 993-16,37.487353,126.902448,영등포구청,영등포경찰서,Y,1,5.5~6,2019-05-03
"유치원",영등포초등학교병설유치원,서울특별시 영등포구 경인로 756,서울특별시 영등포구 문래동1가 35-2,37.512933,126.8982605917,영등포구청,영등포경찰서,Y,1,5~13,2019-05-03
"유치원",도신초등학교병설유치원,서울특별시 영등포구 도림로53길 32-9,서울특별시 영등포구 대림3동 741-3,37.498772,126.900881,영등포구청,영등포경찰서,Y,1,6~7,2019-05-03
"유치원",대동초등학교병설유치원,서울특별시 영등포구 대림로21길 6,서울특별시 영등포구 대림동 702,37.493508,126.900409,영등포구청,영등포경찰서,Y,1,6.5~19,2019-05-03
"유치원",당중초등학교병설유치원,서울특별시 영등포구 선유로 131,서울특별시 영등포구 양평동3가 42,37.526378,126.889725,영등포구청,영등포경찰서,Y,1,5~15,2019-05-03
"유치원",성미유치원,서울특별시 영등포구 신길로 93,서울특별시 영등포구 신길동 253-242,37.501423,126.908874,영등포구청,영등포경찰서,Y,1,6.7,2019-05-03
"유치원",한신혜원유치원,서울특별시 영등포구 양평로24길 9,서울특별시 영등포구 양평동5가 76,37.540110,126.892150,영등포구청,영등포경찰서,Y,1,6,2019-05-03
"유치원",평화유치원,서울특별시 영등포구 선유동2로 40,서울특별시 영등포구 당산동5가 7-54,37.532337,126.896787,영등포구청,영등포경찰서,Y,1,8.6,2019-05-03
"유치원",평강유치원,서울특별시 영등포구 신길로 27,서울특별시 영등포구 대림동 912-46,37.494892,126.908145,영등포구청,영등포경찰서,Y,1,4.2~4.7,2019-05-03
"유치원",파랑새유치원,서울특별시 영등포구 가마산로 384,서울특별시 영등포구 대림동 670-1,37.502352,126.900249,영등포구청,영등포경찰서,Y,1,20.7,2019-05-03
"유치원",정은유치원,서울특별시 영등포구 대림로27가길 10,서울특별시 영등포구 대림동 720-5,37.495880,126.898831,영등포구청,영등포경찰서,N,,7~7.3,2019-05-03
"유치원",은하유치원,서울특별시 영등포구 당산로28길 11,서울특별시 영등포구 당산동3가 79,37.524812,126.898217,영등포구청,영등포경찰서,Y,1,7~7.4,2019-05-03
"유치원",파란나라유치원,서울특별시 영등포구 도신로8길 17,서울특별시 영등포구 대림동 652,37.503145,126.897312,영등포구청,영등포경찰서,Y,1,6~9,2019-05-03
"유치원",큰나무유치원,서울특별시 영등포구 도신로 31,서울특별시 영등포구 대림3동 608-1,37.5062341680,126.8951526952,영등포구청,영등포경찰서,Y,1,3~5,2019-05-03
"유치원",우성유치원,서울특별시 영등포구 도신로 68-1,서울특별시 영등포구 신길동 365,37.5057415419,126.9006228148,영등포구청,영등포경찰서,Y,1,18,2019-05-03
"유치원",신라유치원,서울특별시 영등포구 영등포로64길 8,서울특별시 영등포구 신길동 170-7,37.514258,126.916489,영등포구청,영등포경찰서,Y,1,7~8,2019-05-03
"어린이집",선재어린이집,서울특별시 영등포구 선유동1로 80,서울특별시 영등포구 당산동3가 560,37.5284020,126.8944208,영등포구청,영등포경찰서,Y,1,4.5~15,2019-05-03
"유치원",새나유치원,서울특별시 영등포구 대방천로 180,서울특별시 영등포구 신길동 4518,37.497987,126.910927,영등포구청,영등포경찰서,Y,1,14,2019-05-03
"유치원",명신유치원,서울특별시 영등포구 신길로41라길 11,서울특별시 영등포구 신길동 281-24,37.507661,126.907811,영등포구청,영등포경찰서,Y,1,5,2019-05-03
"유치원",동천유치원,서울특별시 영등포구 신길로40길 10,서울특별시 영등포구 신길동 4903-20,37.506509,126.912233,영등포구청,영등포경찰서,Y,1,5,2019-05-03
"유치원",대림유치원,서울특별시 영등포구 디지털로 455-7,서울특별시 영등포구 대림동 909-57,37.496264,126.906951,영등포구청,영등포경찰서,Y,2,4.5,2019-05-03
"유치원",청은유치원,서울특별시 영등포구 선유서로 76,서울특별시 영등포구 양평동1가 20,37.5225227458,126.8856954014,영등포구청,영등포경찰서,Y,1,7~13.5,2019-05-03
"유치원",성모유치원,서울특별시 영등포구 가마산로89길 7,서울특별시 영등포구 신길동 890,37.505349,126.921226,영등포구청,영등포경찰서,Y,1,6~7,2019-05-03
"유치원",침례유치원,서울특별시 영등포구 국제금융로 118,서울특별시 영등포구 여의도동 53-19,37.517834,126.934133,영등포구청,영등포경찰서,Y,2,33,2019-05-03
"유치원",영중유치원,서울특별시 영등포구 영중로 163,서울특별시 영등포구 영등포동8가 84,37.530840,126.905173,영등포구청,영등포경찰서,Y,1,5~26,2019-05-03
"유치원",에덴유치원,서울특별시 영등포구 신길로38길 21,서울특별시 영등포구 신길동 4916-15,37.505557,126.913438,영등포구청,영등포경찰서,Y,1,5.5~15,2019-05-03
"유치원",한영교회유치원,서울특별시 영등포구 영중로41길 5,서울특별시 영등포구 영등포동8가 69,37.528458,126.904777,영등포구청,영등포경찰서,Y,1,7~17,2019-05-03
"유치원",성락유치원,서울특별시 영등포구 가마산로 410,서울특별시 영등포구 신길동 355-632,37.503707,126.902462,영등포구청,영등포경찰서,Y,1,5~18,2019-05-03
"초등학교",선유초등학교,서울특별시 영등포구 선유로43가길 14,서울특별시 영등포구 양평동3가 91,37.532816,126.892794,영등포구청,영등포경찰서,Y,4,5.8~8,2019-05-03
"초등학교",영문초등학교,서울특별시 영등포구 문래로 56,서울특별시 영등포구 문래동6가 13,37.519495,126.887657,영등포구청,영등포경찰서,Y,2,7~11,2019-05-03
"초등학교",영원초등학교,서울특별시 영등포구 도영로22길 31,서울특별시 영등포구 영등포동 647-2,37.5107199920,126.902141,영등포구청,영등포경찰서,Y,3,7,2019-05-03
"초등학교",우신초등학교,서울특별시 영등포구 신길로 190,서울특별시 영등포구 신길동 210,37.509564,126.911892,영등포구청,영등포경찰서,Y,6,4~5,2019-05-03
"초등학교",대방초등학교,서울특별시 영등포구 여의대방로35길 14,서울특별시 영등포구 신길7동 1444,37.502670,126.919148,영등포구청,영등포경찰서,Y,5,4.5~8,2019-05-03
"초등학교",신대림초등학교,서울특별시 영등포구 대림로8길 25,서울특별시 영등포구 대림동 968,37.492244,126.905821,영등포구청,영등포경찰서,Y,5,3.7~14,2019-05-03
