"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",성모자애어린이집,서울특별시 은평구 통일로78길 10,서울특별시 은평구 통일로78길 10,37.6177220000,126.9237790000,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"어린이집",은평감리교회 어린이집,서울특별시 은평구 응암로 376,서울특별시 은평구 응암로 376,37.6044835,126.9232067,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"어린이집",하나연어린이집,서울특별시 은평구 녹번로 29-2,서울특별시 은평구 녹번로 29-2,37.6048940000,126.9280550000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"어린이집",구립응암어린이집,서울특별시 은평구 백련산로 36,서울특별시 은평구 백련산로 36,37.5888380,126.9227250,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"어린이집",수성어린이집,서울특별시 은평구 갈현로33가길 24-1,서울특별시 은평구 갈현로33가길 24-1,37.6235550000,126.9134470000,서울특별시 은평구,은평경찰서,Y,2,3,2019-07-31
"어린이집",성아어린이집,서울특별시 은평구 응암로16길 20-9,서울특별시 은평구 응암로16길 20-9,37.5909420000,126.9195010000,서울특별시 은평구,서부경찰서,Y,1,7.6,2019-07-31
"어린이집",우정어린이집,서울특별시 은평구 갈현로 41길 26-2,서울특별시 은평구 갈현로 41길 26-2,37.6256243000,126.9149572000,서울특별시 은평구,은평경찰서,Y,1,4,2019-07-31
"유치원",성균관(갈현초교 중복),서울특별시 은평구 연서로27길 23,서울특별시 은평구 연서로27길 23,37.6183134000,126.9169211,서울특별시 은평구,은평경찰서,Y,1,4,2019-07-31
"유치원",예일(예일초교 중복),서울특별시 은평구 연서로 117,서울특별시 은평구 연서로 117,37.6101791,126.9151623,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"유치원",은혜유치원,서울특별시 은평구 통일로78가길 20,서울특별시 은평구 통일로78가길 20,37.6177491,126.9275474,서울특별시 은평구,은평경찰서,Y,1,5,2019-07-31
"유치원",자인(구산초교 중복),서울특별시 은평구 갈현로 169-7,서울특별시 은평구 갈현로 169-7,37.6132780000,126.9107250000,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"유치원",백합유치원,서울특별시 은평구 연서로14길 14-5,서울특별시 은평구 연서로14길 14-5,37.6081950000,126.9173910000,서울특별시 은평구,은평경찰서,Y,2,10,2019-07-31
"유치원",엔젤유치원,서울특별시 은평구 진흥로7길 25,서울특별시 은평구 진흥로7길 25,37.6041960000,126.9188633,서울특별시 은평구,은평경찰서,Y,1,8,2019-07-31
"유치원",바다의별유치원,서울특별시 은평구 통일로 790-1,서울특별시 은평구 통일로 790-1,37.6153610000,126.9262062000,서울특별시 은평구,은평경찰서,Y,1,5,2019-07-31
"유치원",보람유치원,서울특별시 은평구 갈현로4길 42,서울특별시 은평구 갈현로4길 42,37.6000472000,126.9142250000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"유치원",보림유치원,서울특별시 은평구 연서로17길 35-1,서울특별시 은평구 연서로17길 35-1,37.6135230000,126.9135372,서울특별시 은평구,은평경찰서,Y,1,8,2019-07-31
"유치원",와우랩유치원,서울특별시 은평구 응암로28길 34,서울특별시 은평구 응암로28길 34,37.5939140000,126.9215230000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"어린이집",유진어린이집,서울특별시 은평구 응암로12길 26-10,서울특별시 은평구 응암로12길 26-10,37.5868370000,126.9189653,서울특별시 은평구,서부경찰서,Y,2,8,2019-07-31
"유치원",효림유치원,서울특별시 은평구 은평터널로 51,서울특별시 은평구 은평터널로 51,37.5855516,126.8994297,서울특별시 은평구,서부경찰서,Y,1,15,2019-07-31
"유치원",새보람유치원,서울특별시 은평구 불광로 107,서울특별시 은평구 불광로 107,37.6162634000,126.9326390000,서울특별시 은평구,은평경찰서,Y,1,15,2019-07-31
"유치원",라라유치원,서울특별시 은평구 갈현로 170-1,서울특별시 은평구 갈현로 170-1,37.6131390000,126.9119458,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"유치원",무지개나라유치원,서울특별시 은평구 가좌로7다길 13,서울특별시 은평구 가좌로7다길 13,37.5845870000,126.9180933,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"유치원",색동유치원,서울특별시 은평구 갈현로 212-1,서울특별시 은평구 갈현로 212-1,37.6160550000,126.9142240000,서울특별시 은평구,은평경찰서,Y,1,15,2019-07-31
"유치원",동북유치원,서울특별시 은평구 진관4로 31,서울특별시 은평구 진관4로 31,37.6443251537,126.9248133058,서울특별시 은평구,은평경찰서,Y,1,10,2019-07-31
"유치원",동산유치원,서울특별시 은평구 증산서길 88,서울특별시 은평구 증산서길 88,37.5839762,126.9072260000,서울특별시 은평구,서부경찰서,Y,1,10,2019-07-31
"유치원",유정유치원,서울특별시 은평구 진흥로12길 23,서울특별시 은평구 진흥로12길 23,37.6066376000,126.9267230000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"유치원",다우림유치원,서울특별시 은평구 증산로21길 22,서울특별시 은평구 증산로21길 22,37.5961970000,126.9123080000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"유치원",진관유치원,서울특별시 은평구 진관2로 111-16,서울특별시 은평구 진관2로 111-16,37.6347136025,126.9309589643,서울특별시 은평구,은평경찰서,Y,1,12,2019-07-31
"유치원",숲유치원,서울특별시 은평구 진관2로 37,서울특별시 은평구 진관2로 37,37.6370354,126.9175660,서울특별시 은평구,은평경찰서,Y,1,20,2019-07-31
"유치원",하나유치원,서울특별시 은평구 진관4로 93,서울특별시 은평구 진관4로 93,37.6480691262,126.9298270637,서울특별시 은평구,은평경찰서,Y,1,20,2019-07-31
"초등학교",구현초등(병설포함),서울특별시 은평구 갈현로15길 51,서울특별시 은평구 갈현로15길 51,37.6092227,126.9058482,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"초등학교",서신초등(병설포함),서울특별시 은평구 은평터널로 150,서울특별시 은평구 은평터널로 150,37.5923108000,126.9074411,서울특별시 은평구,서부경찰서,Y,1,8,2019-07-31
"초등학교",수색초등(병설포함),서울특별시 은평구 수색로16길 21,서울특별시 은평구 수색로16길 21,37.5850571000,126.8954220000,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"초등학교",신도초등(병설포함),서울특별시 은평구 진관1로 77-23,서울특별시 은평구 진관1로 77-23,37.6327684,126.9291520000,서울특별시 은평구,은평경찰서,Y,1,15,2019-07-31
"초등학교",연광초등(병설포함),서울특별시 은평구 연서로35길 37,서울특별시 은평구 연서로35길 37,37.6238264,126.9240190000,서울특별시 은평구,은평경찰서,Y,1,5,2019-07-31
"초등학교",은명초등(병설포함),서울특별시 은평구 은평로4길 21-9,서울특별시 은평구 은평로4길 21-9,37.5979615,126.9188333,서울특별시 은평구,서부경찰서,Y,1,6,2019-07-31
"초등학교",은평초등(병설포함),서울특별시 은평구 은평로 239,서울특별시 은평구 은평로 239,37.6019568,126.9341059,서울특별시 은평구,서부경찰서,Y,1,22,2019-07-31
"초등학교",갈현초등,서울특별시 은평구 연서로29길 31,서울특별시 은평구 연서로29길 31,37.6192867,126.9166431,서울특별시 은평구,은평경찰서,Y,5,4,2019-07-31
"초등학교",예일초등,서울특별시 은평구 연서로 117,서울특별시 은평구 연서로 117,37.6101791,126.9151623,서울특별시 은평구,은평경찰서,Y,4,6,2019-07-31
"초등학교",구산초등,서울특별시 은평구 서오릉로15길 16,서울특별시 은평구 서오릉로15길 16,37.6124476,126.9094685,서울특별시 은평구,은평경찰서,Y,6,6,2019-07-31
"초등학교",증산초등,서울특별시 은평구 증산서길 61,서울특별시 은평구 증산서길 61,37.5821614,126.9043095,서울특별시 은평구,서부경찰서,Y,5,6,2019-07-31
"초등학교",녹번초등,서울특별시 은평구 녹번로1길 1,서울특별시 은평구 녹번로1길 1,37.6042910,126.9261110,서울특별시 은평구,서부경찰서,Y,8,6,2019-07-31
"초등학교",대조초등,서울특별시 은평구 연서로18길 17,서울특별시 은평구 연서로18길 17,37.6132233,126.9195423,서울특별시 은평구,은평경찰서,Y,7,5,2019-07-31
"초등학교",북한산초등,서울특별시 은평구 대서문길 42-3,서울특별시 은평구 대서문길 42-3,37.6540608000,126.9503310000,서울특별시 은평구,은평경찰서,Y,1,6,2019-07-31
"초등학교",불광초등,서울특별시 은평구 불광로 51,서울특별시 은평구 불광로 51,37.6134285463,126.9307204120,서울특별시 은평구,은평경찰서,Y,6,6,2019-07-31
