"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 청구동 330-2,37.558812,127.014323,서울특별시 중구,서울중부경찰서,Y,3,6,2019-04-05
"초등학교",리라초등학교,서울특별시 중구 소파로2길7,서울특별시 중구 예장동 7-12,37.557667,126.988095,서울특별시 중구,서울중부경찰서,Y,1,15,2019-04-05
"초등학교",덕수초등학교,서울특별시 중구 덕수궁길 140,서울특별시 중구 정동 1-76,37.568642,126.974556,서울특별시 중구,서울남대문경찰서,Y,2,8,2019-04-05
"초등학교",광희초등학교,서울특별시 중구 다산로 269,서울특별시 중구 신당동 254,37.567567,127.015011,서울특별시 중구,서울중부경찰서,Y,2,15,2019-04-05
"초등학교",충무초등학교,서울특별시 중구 퇴계로50길 13,서울특별시 중구 장충동2가 173-7,37.561902,127.001826,서울특별시 중구,서울중부경찰서,Y,1,20,2019-04-05
"초등학교",봉래초등학교,서울특별시 중구 손기정로 73,서울특별시 중구 만리동2가 2,37.556575,126.964102,서울특별시 중구,서울남대문경찰서,Y,3,8,2019-04-05
"초등학교",장충초등학교,서울특별시 중구 청구로17길40,서울특별시 중구 신당동 386-86,37.559911,127.0114141,서울특별시 중구,서울중부경찰서,Y,3,6,2019-04-05
"초등학교",남산초등학교,서울특별시 중구 퇴계로22길 17,서울특별시 중구 남산동2가 2,37.559816,126.986781,서울특별시 중구,서울남대문경찰서,Y,3,6,2019-04-05
"초등학교",흥인초등학교,서울특별시 중구 청구로6길 11,서울특별시 중구 동화동 292-66,37.560917,127.014567,서울특별시 중구,서울중부경찰서,Y,3,6,2019-04-05
"초등학교",신당초등학교,서울특별시 중구 난계로 141,서울특별시 중구 신당동 161-2,37.563965,127.0237741,서울특별시 중구,서울중부경찰서,Y,4,25,2019-04-05
"초등학교",한성화교소학교,서울특별시 중구 명동2길 35,서울특별시 중구 명동2가 83-8,37.562155,126.983765,서울특별시 중구,서울남대문경찰서,Y,1,6,2019-04-05
"어린이집",회현어린이집,서울특별시 중구 퇴계로12가길 23,서울특별시 중구 회현동1가 100,37.5558283,126.981074,서울특별시 중구,서울남대문경찰서,Y,3,6,2019-04-05
"유치원",일신유치원,서울특별시 중구 퇴계로6길 36,서울특별시 중구 남창동 202,37.556686,126.9787684,서울특별시 중구,서울남대문경찰서,Y,1,6,2019-04-05
"어린이집",신당어린이집,서울특별시 중구 청구로8길 41,서울특별시 중구 신당동 304-727,37.562236,127.014143,서울특별시 중구,서울중부경찰서,Y,2,8,2019-04-05
"어린이집",성심어린이집,서울특별시 중구 동호로15길 50,서울특별시 중구 신당동 432-24,37.554302,127.008224,서울특별시 중구,서울중부경찰서,Y,4,6,2019-04-05
"어린이집",청구어린이집,서울특별시 중구 다산로24길 81,서울특별시 중구 신당동 333-177,37.557162,127.016743,서울특별시 중구,서울중부경찰서,Y,2,6,2019-04-05
"어린이집",신당5동어린이집,서울특별시 중구 퇴계로88가길 8-10,서울특별시 중구 신당동 67-12,37.563011,127.020756,서울특별시 중구,서울중부경찰서,Y,3,6,2019-04-05
"어린이집",동화나라어린이집,서울특별시 중구 다산로38길 80,서울특별시 중구 신당동 52-154,37.561608,127.019338,서울특별시 중구,서울중부경찰서,Y,2,6,2019-04-05
"어린이집",서울직장어린이집,서울특별시 중구 서소문로11길 24,서울특별시 중구 서소문동 37,37.56393448,126.973035,서울특별시 중구,서울남대문경찰서,Y,1,6,2019-04-05
"어린이집",황학어린이집,서울특별시 중구 난계로15길 23,서울특별시 중구 황학동 1457,37.568784,127.022284,서울특별시 중구,서울중부경찰서,Y,1,6,2019-04-05
"어린이집",약수어린이집,서울특별시 중구 다산로6길 15,서울특별시 중구 신당동 366-19,37.552446,127.009394,서울특별시 중구,서울중부경찰서,Y,1,6,2019-04-05
"어린이집",약수교회어린이집,서울특별시 중구 다산로8길 32,서울특별시 중구 약수동 372-87,37.552539,127.010899,서울특별시 중구,서울중부경찰서,Y,6,8,2019-04-05
"어린이집",한솔어린이집,서울특별시 중구 다산로 32,서울특별시 중구 신당동 372-468,37.551449,127.011218,서울특별시 중구,서울중부경찰서,Y,1,8,2019-04-05
