"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",갑룡초교,"인천광역시 강화군 강화읍 갑룡길 88 (갑곳리, 갑룡초등학교)",인천광역시 강화군 강화읍 갑곳리 435,37.7432186195,126.5036245124,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",선원초교,"인천광역시 강화군 선원면 강화동로 924 (냉정리, 선원초등학교)",인천광역시 강화군 선원면 냉정리 100,37.7150497660,126.4799455433,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20
"초등학교",삼성초교,"인천광역시 강화군 불은면 중앙로 609 (삼성리, 삼성초등학교)",인천광역시 강화군 불은면 삼성리 809-32,37.7075924159,126.4495648140,인천광역시 강화군청,강화경찰서,Y,1,12,2019-09-20
"초등학교",불은초교,"인천광역시 강화군 불은면 불은남로544번길 9 (두운리, 불은초등학교)",인천광역시 강화군 불은면 두운리 572,37.6836174848,126.4874976302,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"초등학교",내가초교,"인천광역시 강화군 불은면 불은남로544번길 9 (두운리, 불은초등학교)",인천광역시 강화군 내가면 고천리 748-1,37.6836174848,126.4874976302,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",하점초교,"인천광역시 강화군 하점면 강화대로 1190 (신봉리, 하점초등학교)",인천광역시 강화군 하점면 신봉리 638-1,37.7736927781,126.4141885984,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",서도초교,"인천광역시 강화군 서도면 주문도길 173 (주문도리, 서도초,중,고등학교)",인천광역시 강화군 서도면 주문도리 53,37.6480389205,126.2524749154,인천광역시 강화군청,강화경찰서,Y,2,4,2019-09-20
"초등학교",지석초교,"인천광역시 강화군 교동면 교동북로 275-1 (삼선리, 지석초등학교)",인천광역시 강화군 교동면 삼성리 493,37.8009799692,126.2568722587,인천광역시 강화군청,강화경찰서,Y,2,4,2019-09-20
"초등학교",난정초교,"인천광역시 강화군 교동면 교동서로378번길 28 (난정리, 난정초등학교)",인천광역시 강화군 교동면 난정리 1282,37.7704691,126.2394251,인천광역시 강화군청,강화경찰서,Y,2,4,2019-09-20
"초등학교",교동초교,"인천광역시 강화군 교동면 대룡안길 29 (대룡리, 교동초등학교)",인천광역시 강화군 교동면 대룡리 535,37.7836953704,126.2817105937,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",송해초교,"인천광역시 강화군 송해면 전망대로 93-12 (솔정리, 송해초등학교)",인천광역시 강화군 송해면 솔정리 640,37.7694549259,126.4610555776,인천광역시 강화군청,강화경찰서,Y,3,6,2019-09-20
"초등학교",대월초교,"인천광역시 강화군 강화읍 대월로 216 (대산리, 대월초등학교)",인천광역시 강화군 강화읍 대산리 1239,37.7605605115,126.4901720053,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20
"초등학교",합일초교,"인천광역시 강화군 강화읍 합일길 3 (신문리, 합일초등학교)",인천광역시 강화군 강화읍 신문리 452,37.7442895579,126.4828089499,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20
"초등학교",명신초교,"인천광역시 강화군 하점면 강화서로560번길 22 (망월리, 명신초등학교)",인천광역시 강화군 하점면 망월리 256,37.7446270087,126.3905414099,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",강화초교,"인천광역시 강화군 강화읍 북문길 36 (관청리, 강화초등학교)",인천광역시 강화군 강화읍 관청리 361,37.7503477171,126.4861299896,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",길상초교,"인천광역시 강화군 길상면 삼랑성길 22 (온수리, 길상초등학교)",인천광역시 강화군 길상면 온수리 527-3,37.6384626342,126.4904274170,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"초등학교",양도초교,"인천광역시 강화군 양도면 강화남로 1036 (삼흥리, 양도초등학교)",인천광역시 강화군 양도면 삼흥리 288,37.6889453816,126.4193681826,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"초등학교",양사초교,"인천광역시 강화군 양사면 덕하로 145 (덕하리, 양사초등학교)",인천광역시 강화군 양사면 덕하리 117-1,37.8031215742,126.4215140304,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20
"초등학교",조산초교,"인천광역시 강화군 양도면 강화남로 510 (조산리, 조산초등학교)",인천광역시 강화군 양도면 조산리 235-1,37.6529674657,126.4386317643,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",화도초교,"인천광역시 강화군 화도면 마니산로 717 (상방리, 화도초등학교)",인천광역시 강화군 화도면 상방리 943,37.6318677848,126.4187657885,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"초등학교",삼산초교,"인천광역시 강화군 삼산면 삼산북로 451 (석모리, 삼산초등학교)",인천광역시 강화군 삼산면 석모리 249-2,37.7030443373,126.3216155003,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"초등학교",해명초교,"인천광역시 강화군 삼산면 삼산남로 345 (매음리, 해명초등학교)",인천광역시 강화군 삼산면 매음리 77-4,37.6686982335,126.3627091476,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20
"유치원",잠두유치원,인천광역시 강화군 강화읍 청하동길 36,인천광역시 강화군 강화읍 신문리 549,37.7451664891,126.4814413221,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"유치원",코끼리유치원,"인천광역시 강화군 강화읍 충렬사로 52-2 (남산리, 코끼리유치원)",인천광역시 강화군 강화읍 남산리 343-6,37.7360111723,126.4827258707,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20
"어린이집",불은군립어린이집,"인천광역시 강화군 불은면 덕진로 216 (신현리, 불은군립어린이집)",인천광역시 강화군 불은면 신현리 222-4,37.6540934029,126.5049708597,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"어린이집",강화남산군립어린이집,인천광역시 강화군 강화읍 충렬사로 155,인천광역시 강화군 강화읍 충렬사로 155,37.7292551814,126.4748504878,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"어린이집",강화군립어린이집,"인천광역시 강화군 선원면 시리미로 193 (선행리, 강화군립어린이집)",인천광역시 강화군 선원면 선행리 414,37.7267483321,126.4592236105,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
"어린이집",엘리트어린이집,"인천광역시 강화군 강화읍 국화길 23 (국화리, 엘리트어린이집)",인천광역시 강화군 강화읍 국화리 98-1,37.7504732050,126.4697124942,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20
