"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",계산초등학교,인천광역시 계양구 경명대로1005,,37.5442640597,126.7174395865,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",화전초등학교,인천광역시 계양구 효서로 303번길 8,,37.5284682592,126.7315547307,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",병방초등학교,인천광역시 계양구 병방로 2,,37.5468589443,126.7410213983,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",작전초등학교,인천광역시 계양구 주부토로456,,37.5344780290,126.7292341586,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",효성동초등학교,인천광역시 계양구 새벌로171번길 4,,37.5327707578,126.7158628063,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",계양초등학교,인천광역시 계양구 장제로 1288,,37.579057,126.7332480354,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",안남초등학교,인천광역시 계양구 경명대로1114번길 26,,37.5410504674,126.7318490801,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",작동초등학교,인천광역시 계양구 까치말로 35,,37.5288295606,126.7351465340,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",부평초등학교,인천광역시 계양구 어사대로 20,,37.542322,126.7231769972,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",효성초등학교,인천광역시 계양구 안남로 601,,37.5368052768,126.7106066312,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",효성서초등학교,인천광역시 계양구 봉오대로 457,,37.5279816972,126.6986759392,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",소양초등학교,인천광역시 계양구 박촌로 53,,37.5562578340,126.7425325718,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",부현초등학교,인천광역시 계양구 장제로 755번길 30,,37.5356695885,126.7317959368,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",부현동초등학교,인천광역시 계양구 용종로 5,,37.5345644963,126.7404574806,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",길주초등학교,인천광역시 계양구 용종로 90,,37.542023,126.7427897451,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",신대초등학교,인천광역시 계양구 계산새로 133,,37.5389573738,126.7435787214,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
"초등학교",효성남초등학교,인천광역시 계양구 새벌로 125,,37.5284751733,126.7160193848,인천광역시 계양구청,인천광역시 계양경찰서,Y,,,2019-11-01
