"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",만수초등학교,인천광역시 남동구 소래로 652,인천광역시 남동구 만수동 1074,37.44730217,126.7347833,남동구청,남동경찰서,N,,35,2019-08-31
"초등학교",구월초등학교,인천광역시 남동구 인주대로721번길 49,인천광역시 남동구 구월동1226-1,37.45173676,126.7168387,남동구청,남동경찰서,N,,8,2019-08-31
"초등학교",간석초등학교,인천광역시 남동구 석산로208번길 37,인천광역시 남동구 구월동 6-1,37.45925865,126.7154449,남동구청,남동경찰서,N,,15,2019-08-31
"초등학교",주원초등학교,인천광역시 남동구 주안로259번길 28,인천광역시 남동구 간석동 379-1,37.46515735,126.7004158,남동구청,남동경찰서,N,,30,2019-08-31
"초등학교",석천초등학교,인천광역시 남동구 남동대로 828,인천광역시 남동구 구월동 21,37.45598076,126.7087799572,남동구청,남동경찰서,Y,1,35,2019-08-31
"초등학교",구월서초등학교,인천광역시 남동구 문화서로77번길 14,인천광역시 남동구 구월동 1099,37.45302682,126.6950348,남동구청,남동경찰서,N,,15,2019-08-31
"초등학교",만수북초등학교,인천광역시 남동구 백범로180번길 25,인천광역시 남동구 만수동 867-18,37.46012658,126.728969,남동구청,남동경찰서,N,,25,2019-08-31
"초등학교",상인천초등학교,인천광역시 남동구 석산로141번길 29,인천광역시 남동구 간석동 304,37.46230248,126.7074171,남동구청,남동경찰서,N,,25,2019-08-31
"초등학교",만월초등학교,인천광역시 남동구 구월남로232번길 31,인천광역시 남동구 구월동 1226,37.45186422,126.7158843,남동구청,남동경찰서,N,,8,2019-08-31
"초등학교",석정초등학교,인천광역시 남동구 석정로539번길 32,인천광역시 남동구 간석동 614-5,37.46701953,126.6957512,남동구청,남동경찰서,N,,8,2019-08-31
"초등학교",장수초등학교,인천광역시 남동구 담방로 121,인천광역시 남동구 만수동 1005-2,37.45033758,126.7416286,남동구청,남동경찰서,N,,35,2019-08-31
