"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",동명초교-동구사랑어린이집-창영초교-영화초교(통합),인천광역시 동구 송림로70번길 10,인천광역시 동구 송림동 114,37.4741501,126.6421751,인천광역시 동구청,인천중부경찰서,Y,6,9,2019-06-30
"초등학교",송림초등학교,인천광역시 동구 배송로 2,인천광역시 동구 송림동 235-1,37.4741323,126.6377472,인천광역시 동구청,인천중부경찰서,Y,4,9,2019-06-30
"어린이집",만석초교-화도보듬이나눔어린이집(통합),인천광역시 동구 제물량로 412,인천광역시 동구 화수동 11-6,37.4842211,126.6280155,인천광역시 동구청,인천중부경찰서,Y,6,15,2019-06-30
"유치원",송현초교-송현유치원(통합),인천광역시 동구 송화로 45,인천광역시 동구 송현동 66-21,37.4819618,126.6336581,인천광역시 동구청,인천중부경찰서,Y,1,15,2019-06-30
"초등학교",서림초등학교,인천광역시 동구 금곡로 105,인천광역시 동구 송림동 61-11,37.4754622,126.6465266,인천광역시 동구청,인천중부경찰서,Y,4,10,2019-06-30
"초등학교",서흥초교-동구노인복지회관(통합),인천광역시 동구 샛골로 189,인천광역시 동구 송림동 34-1,37.4789865,126.6445998,인천광역시 동구청,인천중부경찰서,Y,2,25,2019-06-30
"유치원",명성유치원,인천광역시 동구 송현로29번길 15,인천광역시 동구 송현동 66-6,37.4790983,126.6341161,인천광역시 동구청,인천중부경찰서,Y,1,6,2019-06-30
"유치원",재능부속유치원,인천광역시 동구 재능로 178,인천광역시 동구 송림동 122-1,37.4754436,126.6506466,인천광역시 동구청,인천중부경찰서,N,0,8,2019-06-30
"유치원",샛별유치원,인천광역시 동구 안송로 26,인천광역시 동구 송림동 54-45,37.4763571,126.6425241,인천광역시 동구청,인천중부경찰서,Y,1,10,2019-06-30
"유치원",큰사랑유치원,인천광역시 동구 송림로117번길 6,인천광역시 동구 송림동 42-31,37.4770912,126.6476991,인천광역시 동구청,인천중부경찰서,Y,1,6,2019-06-30
"유치원",예원유치원,인천광역시 동구 송현로 63-3,인천광역시 동구 송현동 38-8,37.4809386009,126.638314328,인천광역시 동구청,인천중부경찰서,N,0,30,2019-06-30
"어린이집",만석어린이집,인천광역시 동구 제물량로 345-2,인천광역시 동구 만석동 47-2,37.4815414,126.6207391,인천광역시 동구청,인천중부경찰서,Y,1,18,2019-06-30
"어린이집",백합어린이집,인천광역시 동구 봉수대로7번길 6,인천광역시 동구 송림동 3,37.4792711,126.6524512,인천광역시 동구청,인천중부경찰서,Y,1,10,2019-06-30
"어린이집",정원어린이집,인천광역시 동구 새천년로38번길 10-6,인천광역시 동구 송림동 101-34,37.4714798,126.6502374,인천광역시 동구청,인천중부경찰서,Y,3,6,2019-06-30
