"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",남부초등학교,인천광역시 미추홀구 인주대로366번길 22(주안동),인천광역시 미추홀구 주안동 1444,37.450329,126.675874,인천광역시 미추홀구청,미추홀구경찰서,Y,3,6~7.5,2019-10-07
"초등학교",학익초등학교,인천광역시 미추홀구 한나루로403번길 122(학익동),인천광역시 미추홀구 학익동 330-1,37.44706352,126.6586383,인천광역시 미추홀구청,미추홀구경찰서,Y,3,5~20,2019-10-07
"초등학교",용현초등학교,인천광역시 미추홀구 낙섬동로 83(용현동),인천광역시 미추홀구 용현동 610-108,37.45318079,126.6408079,인천광역시 미추홀구청,미추홀구경찰서,Y,4,9~10,2019-10-07
"초등학교",주안초등학교,인천광역시 미추홀구 남주길69번길 16(주안동),인천광역시 미추홀구 주안동 1627,37.45465347,126.6738978,인천광역시 미추홀구청,미추홀구경찰서,Y,4,6~8,2019-10-07
"초등학교",도화초등학교,인천광역시 미추홀구 경인로 242(도화동),인천광역시 미추홀구 도화동 541-5,37.46314213,126.667843,인천광역시 미추홀구청,미추홀구경찰서,Y,1,30~37,2019-10-07
"초등학교",석암초등학교,인천광역시 미추홀구 주안동로 46(주안동),인천광역시 미추홀구 주안동 55-1,37.46235036,126.6867275,인천광역시 미추홀구청,미추홀구경찰서,Y,4,6~10,2019-10-07
"초등학교",연학초등학교,인천광역시 미추홀구 주승로 20(학익동),인천광역시 미추홀구 학익동 29-2,37.44356556,126.6719164,인천광역시 미추홀구청,미추홀구경찰서,Y,4,8~9,2019-10-07
"초등학교",백학초등학교,인천광역시 미추홀구 매소홀로446번길 25(학익동),인천광역시 미추홀구 학익동 674,37.43892004,126.6719502,인천광역시 미추홀구청,미추홀구경찰서,Y,4,6~20,2019-10-07
"초등학교",숭의초등학교,인천광역시 미추홀구 장천로 99(숭의동),인천광역시 미추홀구 숭의동 42-2,37.46372007,126.6557051,인천광역시 미추홀구청,미추홀구경찰서,Y,4,6~12,2019-10-07
"초등학교",문학초등학교,인천광역시 미추홀구 매소홀로 553(문학동),인천광역시 미추홀구 문학동 343-2,37.43989041,126.6828345,인천광역시 미추홀구청,미추홀구경찰서,Y,3,4.5~22,2019-10-07
"초등학교",승학초등학교,인천광역시 미추홀구 주승로 259(관교동),인천광역시 미추홀구 관교동 13-4,37.44040217,126.6965596,인천광역시 미추홀구청,미추홀구경찰서,Y,2,5~7,2019-10-07
"초등학교",서화초등학교,인천광역시 미추홀구 송림로 250(도화동),인천광역시 미추홀구 도화동 1003,37.4739847,126.6608131,인천광역시 미추홀구청,미추홀구경찰서,Y,3,6.5~30,2019-10-07
"초등학교",대화초등학교,인천광역시 미추홀구 석정로301번길 13(도화동),인천광역시 미추홀구 도화동 105-11,37.46901863,126.6685315,인천광역시 미추홀구청,미추홀구경찰서,Y,3,5~16,2019-10-07
"초등학교",용일초등학교,인천광역시 미추홀구 인주대로 244(용현동),인천광역시 미추홀구 용현동 74-1,37.45245069,126.6633606,인천광역시 미추홀구청,미추홀구경찰서,Y,3,4~22,2019-10-07
"초등학교",용정초등학교,인천광역시 미추홀구 독정안길 26(숭의동),인천광역시 미추홀구 숭의동 12-8,37.459404,126.657236,인천광역시 미추홀구청,미추홀구경찰서,Y,3,7~15,2019-10-07
"초등학교",용현남초등학교,인천광역시 미추홀구 매소홀로 133(용현동),인천광역시 미추홀구 용현동 627-449,37.44789356,126.6419587,인천광역시 미추홀구청,미추홀구경찰서,Y,4,8~15,2019-10-07
"초등학교",주안남초등학교,인천광역시 미추홀구 인주대로434번길 11(주안동),인천광역시 미추홀구 주안동 1503,37.44955505,126.6850043,인천광역시 미추홀구청,미추홀구경찰서,Y,3,6~15,2019-10-07
"초등학교",관교초등학교,인천광역시 미추홀구 인하로 414(관교동),인천광역시 미추홀구 관교동 334,37.44625619,126.6927795,인천광역시 미추홀구청,미추홀구경찰서,Y,3,8~12,2019-10-07
