"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",부평동초등학교,인천광역시 부평구 부평대로88번길 19,인천광역시 부평구 부평동 440-1,37.4995152398,126.7244071757,인천광역시 부평구,삼산경찰서,Y,4,6.5~8,2019-11-29
"초등학교",삼산초등학교,인천광역시 부평구 후정동로 44,인천광역시 부평구 삼산동 58-2,37.5213257549,126.7382544901,인천광역시 부평구,삼산경찰서,Y,4,9~15,2019-11-29
"초등학교",부평북초등학교,인천광역시 부평구 주부토로 292,인천광역시 부평구 갈산동 10-1,37.5202021745,126.7290504644,인천광역시 부평구,삼산경찰서,Y,2,15,2019-11-29
"초등학교",부개초등학교,인천광역시 부평구 마분로 9,인천광역시 부평구 부개동 356,37.4856641362,126.7382930257,인천광역시 부평구,삼산경찰서,Y,4,6.5~8,2019-11-29
"초등학교",부흥초등학교,인천광역시 부평구 부흥로366번길 34,인천광역시 부평구 부평동 171,37.4962548099,126.7311860825,인천광역시 부평구,삼산경찰서,Y,4,6.5~8,2019-11-29
"초등학교",부광초등학교,인천광역시 부평구 충선로 104,인천광역시 부평구 부개동 69-6,37.4990819,126.7366041,인천광역시 부평구,삼산경찰서,Y,1,10,2019-11-29
"초등학교",개흥초등학교,인천광역시 부평구 길주남로65번길 11,인천광역시 부평구 부평동 905,37.5052979143,126.7283126575,인천광역시 부평구,삼산경찰서,Y,4,7~8.5,2019-11-29
"초등학교",구산초등학교,인천광역시 부평구 부개로 93,인천광역시 부평구 부개동 496-5,37.5060510005,126.7394433377,인천광역시 부평구,삼산경찰서,Y,1,18,2019-11-29
"초등학교",일신초등학교,인천광역시 부평구 항동로75번길 36,인천광역시 부평구 일신동 112-3,37.4838567171,126.7423922825,인천광역시 부평구,삼산경찰서,Y,3,5.5~15,2019-11-29
"초등학교",부개서초등학교,인천광역시 부평구 부일로 39,인천광역시 부평구 부개동 155-1,37.4899027374,126.7351800088,인천광역시 부평구,삼산경찰서,Y,6,9~13.5,2019-11-29
"초등학교",갈산초등학교,인천광역시 부평구 갈월동로 55,인천광역시 부평구 갈산동 360-1,37.5125528581,126.7283451779,인천광역시 부평구,삼산경찰서,Y,2,8.5~23.5,2019-11-29
"초등학교",부내초등학교,인천광역시 부평구 수변로 129,인천광역시 부평구 부개동 501-12,37.4981108,126.7417008507,인천광역시 부평구,삼산경찰서,Y,1,16.5~23.5,2019-11-29
"초등학교",부일초등학교,인천광역시 부평구 부흥북로 175,인천광역시 부평구 부개동 499-8,37.5012009246,126.7415048799,인천광역시 부평구,삼산경찰서,Y,2,12~20,2019-11-29
"초등학교",갈월초등학교,인천광역시 부평구 주부토로 165,인천광역시 부평구 갈산동 373,37.5101849804,126.7252094503,인천광역시 부평구,삼산경찰서,Y,2,8.5~14,2019-11-29
"초등학교",한길초등학교,인천광역시 부평구 영성중로 32,인천광역시 부평구 삼산동 393-1,37.5191180115,126.7455424873,인천광역시 부평구,삼산경찰서,Y,1,8~10,2019-11-29
