"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가석초등학교,인천광역시 서구 서달로 174,인천광역시 서구 가정동 430-37,37.514338,126.679546,인천서구청,인천서부경찰서,Y,4,,2019-09-03
"초등학교",검단초등학교,인천광역시 서구 마전로115번길 24,인천광역시 서구 마전동 147-1,37.610791,126.669756,인천서구청,인천서부경찰서,Y,3,,2019-09-03
"초등학교",서곶초등학교,인천광역시 서구 대평로56번길 9,인천광역시 서구 연희동 255,37.548126,126.669605,인천서구청,인천서부경찰서,Y,1,,2019-09-03
"초등학교",석남초등학교,인천광역시 서구 서달로130번길 4,인천광역시 서구 석남동 87,37.510374,126.6800501,인천서구청,인천서부경찰서,Y,4,,2019-09-03
"초등학교",신현초등학교,인천광역시 서구 율도로77번길 1,인천광역시 서구 신현동 291,37.514237,126.669944,인천서구청,인천서부경찰서,Y,3,,2019-09-03
"초등학교",석남서초등학교,인천광역시 서구 건지로249번길 6,인천광역시 서구 석남동 580,37.500018,126.670749,인천서구청,인천서부경찰서,Y,3,,2019-09-03
"초등학교",신석초등학교,인천광역시 서구 새오개로 9,인천광역시 서구 석남동 208-2,37.510815,126.664374,인천서구청,인천서부경찰서,Y,5,,2019-09-03
"초등학교",봉수초등학교,인천광역시 서구 봉오대로267번길 11-4,인천광역시 서구 가정동 산22,37.5263864931,126.678649,인천서구청,인천서부경찰서,Y,2,,2019-09-03
"초등학교",건지초등학교,인천광역시 서구 건지로318번길 39,인천광역시 서구 가좌동 200,37.4952973,126.6778774,인천서구청,인천서부경찰서,Y,6,,2019-09-03
"초등학교",가정초등학교,인천광역시 서구 장고개로 336-1,인천광역시 서구 가좌동 395,37.491586,126.688469,인천서구청,인천서부경찰서,Y,2,,2019-09-03
"초등학교",신현북초등학교,인천광역시 서구 원창로 147,인천광역시 서구 신현동 산38-5,37.518736,126.666319,인천서구청,인천서부경찰서,Y,2,,2019-09-03
"초등학교",가좌초등학교,인천광역시 서구 장고개로309번길 5,인천광역시 서구 가좌동 30-87,37.4901600,126.683957,인천서구청,인천서부경찰서,Y,2,,2019-09-03
