"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",선학초등학교,인천광역시 연수구 선학로 67,인천광역시 연수구 선학동 358,37.4241440279,126.7006967998,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",연화초등학교,인천광역시 연수구 원인재로 150,인천광역시 연수구 연수동 635-1,37.4111886771,126.6818531492,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",동춘초등학교,인천광역시 연수구 앵고개로 224,인천광역시 연수구 동춘동 938-1,37.4097000072,126.6686429,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",연수초등학교,인천광역시 연수구 원인재로 324,인천광역시 연수구 연수동 532-1,37.4227329331,126.6943171882,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",송도초등학교,인천광역시 연수구 비류대로224번길 25-11,인천광역시 연수구 옥련동 314-2,37.426431,126.6594051999,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",중앙초등학교,인천광역시 연수구 새말로 153,인천광역시 연수구 연수동 579-1,37.4172509316,126.6859486,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",문남초등학교,인천광역시 연수구 먼우금로 273,인천광역시 연수구 연수동 541-1,37.4209796,126.6792947025,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",동막초등학교,인천광역시 연수구 원인재로 36,인천광역시 연수구 동춘동 928-1,37.4030452493,126.6745553044,인천광역시 연수구청,연수경찰서,N,,,2019-09-10
"초등학교",옥련초등학교,인천광역시 연수구 한진로 30,인천광역시 연수구 옥련동 232,37.4255548,126.6488484502,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
"초등학교",서면초등학교,인천광역시 연수구 먼우금로 54,인천광역시 연수구 동춘동 932-4,37.4036656361,126.6708254628,인천광역시 연수구청,연수경찰서,Y,1,,2019-09-10
