"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",신흥초등학교,인천광역시 중구 제물량로 134,인천광역시 중구 답동 6,37.4702465191,126.6282009187,인천광역시 중구,인천중부경찰서,Y,2,6~30,2019-03-29
"초등학교",송월초등학교,인천광역시 중구 자유공원로 106-8,인천광역시 중구 전동 25-37,37.4788776712,126.624601,인천광역시 중구,인천중부경찰서,Y,1,9~25,2019-03-29
"초등학교",신광초등학교,인천광역시 중구 인중로 63,인천광역시 중구 신흥동3가 7-8,37.4643339779,126.6345104383,인천광역시 중구,인천중부경찰서,Y,3,9~30,2019-03-29
"초등학교",연안초등학교,인천광역시 중구 연안부두로 33번길 53,인천광역시 중구 항동7가 27-74,37.4536879733,126.6076275108,인천광역시 중구,인천중부경찰서,Y,2,30,2019-03-29
"초등학교",인성초등학교,인천광역시 중구 신포로 39번길 42,인천광역시 중구 송학동2가 18,37.4739461586,126.624201,인천광역시 중구,인천중부경찰서,Y,2,5.5~12,2019-03-29
"초등학교",신선초등학교,인천광역시 중구 축항대로 291번길 33,인천광역시 중구 신흥동3가 31-8,37.451331,126.627501,인천광역시 중구,인천중부경찰서,Y,2,20~30,2019-03-29
"유치원",성산유치원,인천광역시 중구 답동로 24번길 7,인천광역시 중구 율목동 241,37.4701506984,126.632101,인천광역시 중구,인천중부경찰서,Y,1,6,2019-03-29
"유치원",자유유치원,인천광역시 중구 자유공원로 105,인천광역시 중구 송월동3가 3-140,37.4783801254,126.6223088258,인천광역시 중구,인천중부경찰서,Y,1,8,2019-03-29
"유치원",박문유치원,인천광역시 중구 우현로 50번길 2,인천광역시 중구 답동 3-3,37.4715144528,126.6291306599,인천광역시 중구,인천중부경찰서,Y,1,6~8,2019-03-29
"유치원",지영유치원,인천광역시 중구 도원로 8번길 28,인천광역시 중구 신흥동3가 11-2,37.4644304415,126.637701,인천광역시 중구,인천중부경찰서,Y,1,5~6,2019-03-29
"어린이집",양문선교어린이집,인천광역시 중구 답동로 30번길 29,인천광역시 중구 경동 177,37.471641,126.633001,인천광역시 중구,인천중부경찰서,Y,1,5~6,2019-03-29
"어린이집",월디어린이집,인천광역시 중구 제물량로 169,인천광역시 중구 사동 2-1,37.469931,126.624801,인천광역시 중구,인천중부경찰서,Y,1,6~25,2019-03-29
"어린이집",세연어린이집,인천광역시 중구 인항로 30,인천광역시 중구 신흥동3가 7-235,37.4573884641,126.6331698605,인천광역시 중구,인천중부경찰서,N,,10,2019-03-29
"어린이집",장미어린이집,인천광역시 중구 참외전로 174번길 12-1,인천광역시 중구 경동 51-2,37.4719465282,126.6347853834,인천광역시 중구,인천중부경찰서,Y,1,5,2019-03-29
"어린이집",섭리어린이집,인천광역시 중구 자유공원서로 45번길 40,인천광역시 중구 송월동3가 9-2,37.4781038436,126.6204425317,인천광역시 중구,인천중부경찰서,Y,1,5~7,2019-03-29
"어린이집",푸른숲어린이집,인천광역시 중구 자유공원서로 13,인천광역시 중구 북성동3가 5-1,37.4756451151,126.6201972075,인천광역시 중구,인천중부경찰서,Y,1,4~6,2019-03-29
"어린이집",비둘기어린이집,인천광역시 중구 자유공원서로 29번길 3-19,인천광역시 중구 북성동3가 3-22,37.4766600937,126.6197760330,인천광역시 중구,인천중부경찰서,N,,4~6,2019-03-29
"어린이집",갈매기어린이집,인천광역시 중구 도산로 21,인천광역시 중구 도원동 71-20,37.4675396140,126.6385642764,인천광역시 중구,인천중부경찰서,N,,4~8,2019-03-29
"학원",에듀존학원,인천광역시 중구 인중로 109,인천광역시 중구 신흥동1가 34-8,37.4650937093,126.6319566384,인천광역시 중구,인천중부경찰서,N,,12,2019-03-29
